variant,region,year,lifeexpectancyatbirth,gender
estimates,954,1950,51.536,male
estimates,954,1951,51.698,male
estimates,954,1952,52.029,male
estimates,954,1953,52.376,male
estimates,954,1954,52.739,male
estimates,954,1955,53.119,male
estimates,954,1956,53.514,male
estimates,954,1957,53.923,male
estimates,954,1958,54.345,male
estimates,954,1959,54.777,male
estimates,954,1960,55.214,male
estimates,954,1961,55.654,male
estimates,954,1962,56.092,male
estimates,954,1963,56.524,male
estimates,954,1964,56.95,male
estimates,954,1965,57.37,male
estimates,954,1966,57.788,male
estimates,954,1967,58.209,male
estimates,954,1968,58.632,male
estimates,954,1969,59.055,male
estimates,954,1970,59.474,male
estimates,954,1971,59.882,male
estimates,954,1972,60.274,male
estimates,954,1973,60.645,male
estimates,954,1974,60.99,male
estimates,954,1975,61.307,male
estimates,954,1976,61.591,male
estimates,954,1977,61.847,male
estimates,954,1978,62.08,male
estimates,954,1979,62.295,male
estimates,954,1980,62.498,male
estimates,954,1981,62.698,male
estimates,954,1982,62.901,male
estimates,954,1983,63.113,male
estimates,954,1984,63.337,male
estimates,954,1985,63.575,male
estimates,954,1986,63.827,male
estimates,954,1987,64.087,male
estimates,954,1988,64.354,male
estimates,954,1989,64.628,male
estimates,954,1990,64.913,male
estimates,954,1991,65.214,male
estimates,954,1992,65.535,male
estimates,954,1993,65.872,male
estimates,954,1994,66.224,male
estimates,954,1995,66.585,male
estimates,954,1996,66.948,male
estimates,954,1997,67.305,male
estimates,954,1998,67.648,male
estimates,954,1999,67.971,male
estimates,954,2000,68.269,male
estimates,954,2001,68.535,male
estimates,954,2002,68.774,male
estimates,954,2003,68.987,male
estimates,954,2004,69.177,male
estimates,954,2005,69.348,male
estimates,954,2006,69.503,male
estimates,954,2007,69.649,male
estimates,954,2008,69.79,male
estimates,954,2009,69.932,male
estimates,954,2010,70.077,male
estimates,954,2011,70.228,male
estimates,954,2012,70.384,male
estimates,954,2013,70.543,male
estimates,954,2014,70.707,male
estimates,954,2015,70.875,male
medium_variant,954,2015,70.875,male
medium_variant,954,2016,71.047,male
medium_variant,954,2017,71.222,male
medium_variant,954,2018,71.397,male
medium_variant,954,2019,71.573,male
medium_variant,954,2020,71.749,male
medium_variant,954,2021,71.924,male
medium_variant,954,2022,72.099,male
medium_variant,954,2023,72.274,male
medium_variant,954,2024,72.446,male
medium_variant,954,2025,72.618,male
medium_variant,954,2026,72.787,male
medium_variant,954,2027,72.954,male
medium_variant,954,2028,73.118,male
medium_variant,954,2029,73.28,male
medium_variant,954,2030,73.439,male
medium_variant,954,2031,73.595,male
medium_variant,954,2032,73.748,male
medium_variant,954,2033,73.898,male
medium_variant,954,2034,74.045,male
medium_variant,954,2035,74.188,male
medium_variant,954,2036,74.327,male
medium_variant,954,2037,74.462,male
medium_variant,954,2038,74.591,male
medium_variant,954,2039,74.716,male
medium_variant,954,2040,74.836,male
medium_variant,954,2041,74.951,male
medium_variant,954,2042,75.062,male
medium_variant,954,2043,75.17,male
medium_variant,954,2044,75.275,male
medium_variant,954,2045,75.378,male
medium_variant,954,2046,75.479,male
medium_variant,954,2047,75.579,male
medium_variant,954,2048,75.678,male
medium_variant,954,2049,75.776,male
medium_variant,954,2050,75.875,male
medium_variant,954,2051,75.974,male
medium_variant,954,2052,76.074,male
medium_variant,954,2053,76.174,male
medium_variant,954,2054,76.275,male
medium_variant,954,2055,76.376,male
medium_variant,954,2056,76.479,male
medium_variant,954,2057,76.583,male
medium_variant,954,2058,76.688,male
medium_variant,954,2059,76.795,male
medium_variant,954,2060,76.902,male
medium_variant,954,2061,77.012,male
medium_variant,954,2062,77.124,male
medium_variant,954,2063,77.238,male
medium_variant,954,2064,77.354,male
medium_variant,954,2065,77.471,male
medium_variant,954,2066,77.59,male
medium_variant,954,2067,77.71,male
medium_variant,954,2068,77.83,male
medium_variant,954,2069,77.95,male
medium_variant,954,2070,78.07,male
medium_variant,954,2071,78.19,male
medium_variant,954,2072,78.31,male
medium_variant,954,2073,78.431,male
medium_variant,954,2074,78.552,male
medium_variant,954,2075,78.672,male
medium_variant,954,2076,78.791,male
medium_variant,954,2077,78.908,male
medium_variant,954,2078,79.025,male
medium_variant,954,2079,79.139,male
medium_variant,954,2080,79.251,male
medium_variant,954,2081,79.362,male
medium_variant,954,2082,79.47,male
medium_variant,954,2083,79.577,male
medium_variant,954,2084,79.683,male
medium_variant,954,2085,79.789,male
medium_variant,954,2086,79.894,male
medium_variant,954,2087,80,male
medium_variant,954,2088,80.107,male
medium_variant,954,2089,80.216,male
medium_variant,954,2090,80.325,male
medium_variant,954,2091,80.436,male
medium_variant,954,2092,80.549,male
medium_variant,954,2093,80.662,male
medium_variant,954,2094,80.776,male
medium_variant,954,2095,80.891,male
medium_variant,954,2096,81.006,male
medium_variant,954,2097,81.123,male
medium_variant,954,2098,81.24,male
medium_variant,954,2099,81.357,male
estimates,954,1950,54.291,female
estimates,954,1951,54.451,female
estimates,954,1952,54.78,female
estimates,954,1953,55.128,female
estimates,954,1954,55.495,female
estimates,954,1955,55.881,female
estimates,954,1956,56.284,female
estimates,954,1957,56.705,female
estimates,954,1958,57.141,female
estimates,954,1959,57.588,female
estimates,954,1960,58.042,female
estimates,954,1961,58.5,female
estimates,954,1962,58.955,female
estimates,954,1963,59.405,female
estimates,954,1964,59.848,female
estimates,954,1965,60.284,female
estimates,954,1966,60.72,female
estimates,954,1967,61.158,female
estimates,954,1968,61.6,female
estimates,954,1969,62.043,female
estimates,954,1970,62.483,female
estimates,954,1971,62.914,female
estimates,954,1972,63.332,female
estimates,954,1973,63.729,female
estimates,954,1974,64.102,female
estimates,954,1975,64.447,female
estimates,954,1976,64.76,female
estimates,954,1977,65.044,female
estimates,954,1978,65.304,female
estimates,954,1979,65.547,female
estimates,954,1980,65.781,female
estimates,954,1981,66.015,female
estimates,954,1982,66.257,female
estimates,954,1983,66.514,female
estimates,954,1984,66.789,female
estimates,954,1985,67.086,female
estimates,954,1986,67.401,female
estimates,954,1987,67.73,female
estimates,954,1988,68.066,female
estimates,954,1989,68.409,female
estimates,954,1990,68.757,female
estimates,954,1991,69.11,female
estimates,954,1992,69.469,female
estimates,954,1993,69.833,female
estimates,954,1994,70.199,female
estimates,954,1995,70.565,female
estimates,954,1996,70.929,female
estimates,954,1997,71.288,female
estimates,954,1998,71.64,female
estimates,954,1999,71.983,female
estimates,954,2000,72.313,female
estimates,954,2001,72.628,female
estimates,954,2002,72.93,female
estimates,954,2003,73.216,female
estimates,954,2004,73.489,female
estimates,954,2005,73.745,female
estimates,954,2006,73.985,female
estimates,954,2007,74.211,female
estimates,954,2008,74.424,female
estimates,954,2009,74.628,female
estimates,954,2010,74.824,female
estimates,954,2011,75.017,female
estimates,954,2012,75.208,female
estimates,954,2013,75.401,female
estimates,954,2014,75.595,female
estimates,954,2015,75.791,female
medium_variant,954,2015,75.791,female
medium_variant,954,2016,75.99,female
medium_variant,954,2017,76.188,female
medium_variant,954,2018,76.383,female
medium_variant,954,2019,76.576,female
medium_variant,954,2020,76.765,female
medium_variant,954,2021,76.952,female
medium_variant,954,2022,77.135,female
medium_variant,954,2023,77.316,female
medium_variant,954,2024,77.494,female
medium_variant,954,2025,77.669,female
medium_variant,954,2026,77.842,female
medium_variant,954,2027,78.013,female
medium_variant,954,2028,78.18,female
medium_variant,954,2029,78.345,female
medium_variant,954,2030,78.506,female
medium_variant,954,2031,78.664,female
medium_variant,954,2032,78.819,female
medium_variant,954,2033,78.97,female
medium_variant,954,2034,79.118,female
medium_variant,954,2035,79.262,female
medium_variant,954,2036,79.402,female
medium_variant,954,2037,79.539,female
medium_variant,954,2038,79.674,female
medium_variant,954,2039,79.805,female
medium_variant,954,2040,79.933,female
medium_variant,954,2041,80.058,female
medium_variant,954,2042,80.18,female
medium_variant,954,2043,80.298,female
medium_variant,954,2044,80.413,female
medium_variant,954,2045,80.525,female
medium_variant,954,2046,80.635,female
medium_variant,954,2047,80.741,female
medium_variant,954,2048,80.845,female
medium_variant,954,2049,80.947,female
medium_variant,954,2050,81.047,female
medium_variant,954,2051,81.145,female
medium_variant,954,2052,81.24,female
medium_variant,954,2053,81.333,female
medium_variant,954,2054,81.424,female
medium_variant,954,2055,81.514,female
medium_variant,954,2056,81.602,female
medium_variant,954,2057,81.689,female
medium_variant,954,2058,81.776,female
medium_variant,954,2059,81.864,female
medium_variant,954,2060,81.952,female
medium_variant,954,2061,82.042,female
medium_variant,954,2062,82.133,female
medium_variant,954,2063,82.227,female
medium_variant,954,2064,82.323,female
medium_variant,954,2065,82.421,female
medium_variant,954,2066,82.523,female
medium_variant,954,2067,82.627,female
medium_variant,954,2068,82.733,female
medium_variant,954,2069,82.841,female
medium_variant,954,2070,82.95,female
medium_variant,954,2071,83.061,female
medium_variant,954,2072,83.172,female
medium_variant,954,2073,83.283,female
medium_variant,954,2074,83.394,female
medium_variant,954,2075,83.505,female
medium_variant,954,2076,83.615,female
medium_variant,954,2077,83.725,female
medium_variant,954,2078,83.834,female
medium_variant,954,2079,83.943,female
medium_variant,954,2080,84.05,female
medium_variant,954,2081,84.155,female
medium_variant,954,2082,84.258,female
medium_variant,954,2083,84.358,female
medium_variant,954,2084,84.456,female
medium_variant,954,2085,84.551,female
medium_variant,954,2086,84.643,female
medium_variant,954,2087,84.734,female
medium_variant,954,2088,84.822,female
medium_variant,954,2089,84.91,female
medium_variant,954,2090,84.996,female
medium_variant,954,2091,85.083,female
medium_variant,954,2092,85.169,female
medium_variant,954,2093,85.256,female
medium_variant,954,2094,85.343,female
medium_variant,954,2095,85.431,female
medium_variant,954,2096,85.519,female
medium_variant,954,2097,85.609,female
medium_variant,954,2098,85.699,female
medium_variant,954,2099,85.789,female
