continent,variant,freq,year,meanageforchildbearing
908,estimates,5Yearly,1950,28.602
908,estimates,5Yearly,1955,28.144
908,estimates,5Yearly,1960,27.659
908,estimates,5Yearly,1965,27.348
908,estimates,5Yearly,1970,26.949
908,estimates,5Yearly,1975,26.537
908,estimates,5Yearly,1980,26.489
908,estimates,5Yearly,1985,26.753
908,estimates,5Yearly,1990,26.858
908,estimates,5Yearly,1995,27.58
908,estimates,5Yearly,2000,28.264
908,estimates,5Yearly,2005,28.853
908,estimates,5Yearly,2010,29.363
908,medium variant,5Yearly,2015,30.379
908,medium variant,5Yearly,2020,30.707
908,medium variant,5Yearly,2025,30.911
908,medium variant,5Yearly,2030,31.037
908,medium variant,5Yearly,2035,31.1
908,medium variant,5Yearly,2040,31.131
908,medium variant,5Yearly,2045,31.142
908,medium variant,5Yearly,2050,31.142
908,medium variant,5Yearly,2055,31.141
908,medium variant,5Yearly,2060,31.14
908,medium variant,5Yearly,2065,31.141
908,medium variant,5Yearly,2070,31.145
908,medium variant,5Yearly,2075,31.147
908,medium variant,5Yearly,2080,31.147
908,medium variant,5Yearly,2085,31.145
908,medium variant,5Yearly,2090,31.144
908,medium variant,5Yearly,2095,31.143
