country,variant,freq,year,meanageforchildbearing
246,Estimates,5yearly,1950,29.269
246,Estimates,5yearly,1955,28.665
246,Estimates,5yearly,1960,28.227
246,Estimates,5yearly,1965,27.672
246,Estimates,5yearly,1970,26.967
246,Estimates,5yearly,1975,27.343
246,Estimates,5yearly,1980,28.022
246,Estimates,5yearly,1985,28.624
246,Estimates,5yearly,1990,28.954
246,Estimates,5yearly,1995,29.43
246,Estimates,5yearly,2000,29.726
246,Estimates,5yearly,2005,30.02
246,Estimates,5yearly,2010,30.372
246,Medium_variant,5yearly,2015,30.777
246,Medium_variant,5yearly,2020,30.786
246,Medium_variant,5yearly,2025,30.788
246,Medium_variant,5yearly,2030,30.788
246,Medium_variant,5yearly,2035,30.788
246,Medium_variant,5yearly,2040,30.788
246,Medium_variant,5yearly,2045,30.788
246,Medium_variant,5yearly,2050,30.788
246,Medium_variant,5yearly,2055,30.788
246,Medium_variant,5yearly,2060,30.788
246,Medium_variant,5yearly,2065,30.788
246,Medium_variant,5yearly,2070,30.788
246,Medium_variant,5yearly,2075,30.788
246,Medium_variant,5yearly,2080,30.788
246,Medium_variant,5yearly,2085,30.788
246,Medium_variant,5yearly,2090,30.788
246,Medium_variant,5yearly,2095,30.788
