country,variant,freq,year,meanageforchildbearing
434,estimates,5Yearly,1950,29.346
434,estimates,5Yearly,1955,29.346
434,estimates,5Yearly,1960,29.346
434,estimates,5Yearly,1965,29.346
434,estimates,5Yearly,1970,29.346
434,estimates,5Yearly,1975,30.437
434,estimates,5Yearly,1980,31.338
434,estimates,5Yearly,1985,32.207
434,estimates,5Yearly,1990,33.301
434,estimates,5Yearly,1995,33.285
434,estimates,5Yearly,2000,32.864
434,estimates,5Yearly,2005,32.854
434,estimates,5Yearly,2010,32.854
434,medium variant,5Yearly,2015,32.805
434,medium variant,5Yearly,2020,32.749
434,medium variant,5Yearly,2025,32.673
434,medium variant,5Yearly,2030,32.579
434,medium variant,5Yearly,2035,32.468
434,medium variant,5Yearly,2040,32.341
434,medium variant,5Yearly,2045,32.202
434,medium variant,5Yearly,2050,32.05
434,medium variant,5Yearly,2055,31.889
434,medium variant,5Yearly,2060,31.721
434,medium variant,5Yearly,2065,31.657
434,medium variant,5Yearly,2070,31.548
434,medium variant,5Yearly,2075,31.548
434,medium variant,5Yearly,2080,31.491
434,medium variant,5Yearly,2085,31.447
434,medium variant,5Yearly,2090,31.369
434,medium variant,5Yearly,2095,31.285
