global,variant,freq,year,meanageforchildbearing
900,estimates,5yearly,1950,29.141
900,estimates,5yearly,1955,29.061
900,estimates,5yearly,1960,29.01
900,estimates,5yearly,1965,28.96
900,estimates,5yearly,1970,28.757
900,estimates,5yearly,1975,28.35
900,estimates,5yearly,1980,27.909
900,estimates,5yearly,1985,27.67
900,estimates,5yearly,1990,27.533
900,estimates,5yearly,1995,27.503
900,estimates,5yearly,2000,27.508
900,estimates,5yearly,2005,27.567
900,estimates,5yearly,2010,27.617
900,medium_variant,5yearly,2015,27.703
900,medium_variant,5yearly,2020,27.771
900,medium_variant,5yearly,2025,27.878
900,medium_variant,5yearly,2030,28.018
900,medium_variant,5yearly,2035,28.162
900,medium_variant,5yearly,2040,28.309
900,medium_variant,5yearly,2045,28.462
900,medium_variant,5yearly,2050,28.62
900,medium_variant,5yearly,2055,28.725
900,medium_variant,5yearly,2060,28.846
900,medium_variant,5yearly,2065,28.974
900,medium_variant,5yearly,2070,29.107
900,medium_variant,5yearly,2075,29.238
900,medium_variant,5yearly,2080,29.377
900,medium_variant,5yearly,2085,29.527
900,medium_variant,5yearly,2090,29.684
900,medium_variant,5yearly,2095,29.84
