region,variant,freq,year,meanageforchildbearing
5500,estimates,5yearly,1950,30.304
5500,estimates,5yearly,1955,30.223
5500,estimates,5yearly,1960,30.145
5500,estimates,5yearly,1965,29.942
5500,estimates,5yearly,1970,29.492
5500,estimates,5yearly,1975,28.826
5500,estimates,5yearly,1980,28.179
5500,estimates,5yearly,1985,27.633
5500,estimates,5yearly,1990,26.848
5500,estimates,5yearly,1995,26.781
5500,estimates,5yearly,2000,27.316
5500,estimates,5yearly,2005,27.558
5500,estimates,5yearly,2010,27.612
5500,medium_variant,5yearly,2015,27.741
5500,medium_variant,5yearly,2020,27.898
5500,medium_variant,5yearly,2025,28.081
5500,medium_variant,5yearly,2030,28.259
5500,medium_variant,5yearly,2035,28.433
5500,medium_variant,5yearly,2040,28.642
5500,medium_variant,5yearly,2045,28.873
5500,medium_variant,5yearly,2050,29.071
5500,medium_variant,5yearly,2055,29.226
5500,medium_variant,5yearly,2060,29.368
5500,medium_variant,5yearly,2065,29.508
5500,medium_variant,5yearly,2070,29.642
5500,medium_variant,5yearly,2075,29.766
5500,medium_variant,5yearly,2080,29.88
5500,medium_variant,5yearly,2085,29.984
5500,medium_variant,5yearly,2090,30.078
5500,medium_variant,5yearly,2095,30.164
