continent,variant,gender,freq,year,mortality15to50per1000aliveat15
903,estimates,female,5yearly,1950,308.907559458105
903,estimates,male,5yearly,1950,344.887942054726
903,estimates,female,5yearly,1955,288.045300255602
903,estimates,male,5yearly,1955,323.951369303929
903,estimates,female,5yearly,1960,267.774169652892
903,estimates,male,5yearly,1960,303.272185122809
903,estimates,female,5yearly,1965,249.690243846323
903,estimates,male,5yearly,1965,284.562336470425
903,estimates,female,5yearly,1970,231.241344654463
903,estimates,male,5yearly,1970,265.363056648463
903,estimates,female,5yearly,1975,213.748047134055
903,estimates,male,5yearly,1975,247.369956200187
903,estimates,female,5yearly,1980,199.294532207737
903,estimates,male,5yearly,1980,233.097712909437
903,estimates,female,5yearly,1985,192.448302617386
903,estimates,male,5yearly,1985,227.728067446922
903,estimates,female,5yearly,1990,205.797958644102
903,estimates,male,5yearly,1990,239.355756499984
903,estimates,female,5yearly,1995,232.74654059468
903,estimates,male,5yearly,1995,255.20837604197
903,estimates,female,5yearly,2000,252.436933489835
903,estimates,male,5yearly,2000,264.084230768272
903,estimates,female,5yearly,2005,216.560011797491
903,estimates,male,5yearly,2005,228.066471157852
903,estimates,female,5yearly,2010,175.650384667617
903,estimates,male,5yearly,2010,195.444667007228
903,medium_variant,female,5yearly,2015,158.284293520348
903,medium_variant,male,5yearly,2015,178.201150398546
903,medium_variant,female,5yearly,2020,145.521207153386
903,medium_variant,male,5yearly,2020,165.987929261348
903,medium_variant,female,5yearly,2025,131.156871106887
903,medium_variant,male,5yearly,2025,152.877233083953
903,medium_variant,female,5yearly,2030,117.449646599126
903,medium_variant,male,5yearly,2030,140.416577147622
903,medium_variant,female,5yearly,2035,105.162958983768
903,medium_variant,male,5yearly,2035,128.807532408124
903,medium_variant,female,5yearly,2040,94.5664602983711
903,medium_variant,male,5yearly,2040,118.43283728968
903,medium_variant,female,5yearly,2045,85.0560534617735
903,medium_variant,male,5yearly,2045,108.860272002321
903,medium_variant,female,5yearly,2050,77.1112259763335
903,medium_variant,male,5yearly,2050,100.513215748116
903,medium_variant,female,5yearly,2055,70.2771670190623
903,medium_variant,male,5yearly,2055,93.3207156933718
903,medium_variant,female,5yearly,2060,64.303662204917
903,medium_variant,male,5yearly,2060,87.3623609750124
903,medium_variant,female,5yearly,2065,58.9049747433019
903,medium_variant,male,5yearly,2065,81.9078300258955
903,medium_variant,female,5yearly,2070,54.2113737718951
903,medium_variant,male,5yearly,2070,76.642907955047
903,medium_variant,female,5yearly,2075,49.9997697991387
903,medium_variant,male,5yearly,2075,71.6391053604057
903,medium_variant,female,5yearly,2080,46.0996580716235
903,medium_variant,male,5yearly,2080,67.0021581167118
903,medium_variant,female,5yearly,2085,42.6775252866274
903,medium_variant,male,5yearly,2085,62.6147430575726
903,medium_variant,female,5yearly,2090,39.6200980040464
903,medium_variant,male,5yearly,2090,58.7887464898016
903,medium_variant,female,5yearly,2095,37.0417246065133
903,medium_variant,male,5yearly,2095,55.0428342523687
