continent,variant,freq,year,mortality15to60per1000aliveat15
904,Estimates,5yearly,1950,331.553374543583
904,Estimates,5yearly,1955,300.116056541731
904,Estimates,5yearly,1960,271.981923082656
904,Estimates,5yearly,1965,251.513913178199
904,Estimates,5yearly,1970,234.002693333261
904,Estimates,5yearly,1975,225.169707921376
904,Estimates,5yearly,1980,214.690669553281
904,Estimates,5yearly,1985,203.603594914455
904,Estimates,5yearly,1990,191.206836639335
904,Estimates,5yearly,1995,173.983741523816
904,Estimates,5yearly,2000,159.550207866576
904,Estimates,5yearly,2005,147.832968512469
904,Estimates,5yearly,2010,137.685168692204
904,Medium_variant,5yearly,2015,128.363381668656
904,Medium_variant,5yearly,2020,118.671817936469
904,Medium_variant,5yearly,2025,109.491667797366
904,Medium_variant,5yearly,2030,100.526256434602
904,Medium_variant,5yearly,2035,91.8313764018014
904,Medium_variant,5yearly,2040,83.5441192610212
904,Medium_variant,5yearly,2045,75.8461127534869
904,Medium_variant,5yearly,2050,69.0320494063082
904,Medium_variant,5yearly,2055,62.9933963558136
904,Medium_variant,5yearly,2060,57.6566887108255
904,Medium_variant,5yearly,2065,52.8584149347132
904,Medium_variant,5yearly,2070,48.4634939807299
904,Medium_variant,5yearly,2075,44.4339905890961
904,Medium_variant,5yearly,2080,40.7294893996911
904,Medium_variant,5yearly,2085,37.2141203190061
904,Medium_variant,5yearly,2090,33.9578542271669
904,Medium_variant,5yearly,2095,31.0060262304481
