global,variant,freq,year,mortality15to60per1000aliveat15
900,estimates,5yearly,1950,383.534738010356
900,estimates,5yearly,1955,356.033234142013
900,estimates,5yearly,1960,333.29912452225
900,estimates,5yearly,1965,279.714132679049
900,estimates,5yearly,1970,247.19519651648
900,estimates,5yearly,1975,224.655466482395
900,estimates,5yearly,1980,211.055175366941
900,estimates,5yearly,1985,197.449130320988
900,estimates,5yearly,1990,192.996034627567
900,estimates,5yearly,1995,188.149694851129
900,estimates,5yearly,2000,180.157830166387
900,estimates,5yearly,2005,166.4218637952
900,estimates,5yearly,2010,152.564409636748
900,mediumvariant,5yearly,2015,143.236210889697
900,mediumvariant,5yearly,2020,135.340164479785
900,mediumvariant,5yearly,2025,128.925737255603
900,mediumvariant,5yearly,2030,123.089516789629
900,mediumvariant,5yearly,2035,116.783379801816
900,mediumvariant,5yearly,2040,110.203393731182
900,mediumvariant,5yearly,2045,104.862973915066
900,mediumvariant,5yearly,2050,99.9136433232358
900,mediumvariant,5yearly,2055,94.8780358200635
900,mediumvariant,5yearly,2060,89.8394640620154
900,mediumvariant,5yearly,2065,84.8212985225224
900,mediumvariant,5yearly,2070,80.3304743364707
900,mediumvariant,5yearly,2075,76.1521243455136
900,mediumvariant,5yearly,2080,71.882574947598
900,mediumvariant,5yearly,2085,67.5376232115079
900,mediumvariant,5yearly,2090,63.4760739167919
900,mediumvariant,5yearly,2095,59.6474150935209
