region,variant,gender,freq,year,mortality15to60per1000aliveat15
914,Estimates,female,5yearly,1950,496.201159999962
914,Estimates,male,5yearly,1950,555.062173158871
914,Estimates,female,5yearly,1955,473.093444238686
914,Estimates,male,5yearly,1955,530.505031154886
914,Estimates,female,5yearly,1960,448.64023649849
914,Estimates,male,5yearly,1960,505.554364540159
914,Estimates,female,5yearly,1965,426.684515396925
914,Estimates,male,5yearly,1965,482.18367250124
914,Estimates,female,5yearly,1970,399.035096786595
914,Estimates,male,5yearly,1970,453.899311487376
914,Estimates,female,5yearly,1975,368.251707492439
914,Estimates,male,5yearly,1975,422.677891394839
914,Estimates,female,5yearly,1980,341.827961334704
914,Estimates,male,5yearly,1980,394.944683133062
914,Estimates,female,5yearly,1985,330.282200917049
914,Estimates,male,5yearly,1985,380.564841234007
914,Estimates,female,5yearly,1990,328.215254664363
914,Estimates,male,5yearly,1990,378.646764476372
914,Estimates,female,5yearly,1995,349.54703910246
914,Estimates,male,5yearly,1995,388.540055935887
914,Estimates,female,5yearly,2000,359.014286557361
914,Estimates,male,5yearly,2000,395.23123580166
914,Estimates,female,5yearly,2005,333.48297912066
914,Estimates,male,5yearly,2005,364.517198343606
914,Estimates,female,5yearly,2010,311.023731191681
914,Estimates,male,5yearly,2010,345.092701704226
914,Medium_variant,female,5yearly,2015,293.745444298776
914,Medium_variant,male,5yearly,2015,330.423108247411
914,Medium_variant,female,5yearly,2020,275.204214194284
914,Medium_variant,male,5yearly,2020,314.871743385411
914,Medium_variant,female,5yearly,2025,257.153992510592
914,Medium_variant,male,5yearly,2025,296.55254783358
914,Medium_variant,female,5yearly,2030,239.602717010545
914,Medium_variant,male,5yearly,2030,279.002598525889
914,Medium_variant,female,5yearly,2035,221.679409793521
914,Medium_variant,male,5yearly,2035,261.820360546254
914,Medium_variant,female,5yearly,2040,204.920765052236
914,Medium_variant,male,5yearly,2040,246.809568207501
914,Medium_variant,female,5yearly,2045,189.179278483566
914,Medium_variant,male,5yearly,2045,232.36947531214
914,Medium_variant,female,5yearly,2050,174.118066531852
914,Medium_variant,male,5yearly,2050,218.524793852449
914,Medium_variant,female,5yearly,2055,159.813433502689
914,Medium_variant,male,5yearly,2055,205.722798593949
914,Medium_variant,female,5yearly,2060,147.209639729545
914,Medium_variant,male,5yearly,2060,195.473370921294
914,Medium_variant,female,5yearly,2065,135.207454338816
914,Medium_variant,male,5yearly,2065,185.34533651297
914,Medium_variant,female,5yearly,2070,124.62684255359
914,Medium_variant,male,5yearly,2070,175.073640365543
914,Medium_variant,female,5yearly,2075,114.773336467398
914,Medium_variant,male,5yearly,2075,165.522264789037
914,Medium_variant,female,5yearly,2080,105.563759511723
914,Medium_variant,male,5yearly,2080,156.736449365904
914,Medium_variant,female,5yearly,2085,97.4237555685676
914,Medium_variant,male,5yearly,2085,147.558090132992
914,Medium_variant,female,5yearly,2090,90.3461112395294
914,Medium_variant,male,5yearly,2090,139.455530654967
914,Medium_variant,female,5yearly,2095,84.1617941242384
914,Medium_variant,male,5yearly,2095,130.460059465722
