continent,variant,freq,year,netmigrationrateper1000pop
908,estimates,5yearly,1950,-0.462
908,estimates,5yearly,1955,-0.856
908,estimates,5yearly,1960,0.129
908,estimates,5yearly,1965,-0.084
908,estimates,5yearly,1970,0.624
908,estimates,5yearly,1975,0.608
908,estimates,5yearly,1980,0.466
908,estimates,5yearly,1985,0.721
908,estimates,5yearly,1990,1.572
908,estimates,5yearly,1995,0.924
908,estimates,5yearly,2000,2.273
908,estimates,5yearly,2005,2.32
908,estimates,5yearly,2010,1.119
908,medium_variant,5yearly,2015,1.216
908,medium_variant,5yearly,2020,1.13
908,medium_variant,5yearly,2025,1.169
908,medium_variant,5yearly,2030,1.225
908,medium_variant,5yearly,2035,1.239
908,medium_variant,5yearly,2040,1.25
908,medium_variant,5yearly,2045,1.263
908,medium_variant,5yearly,2050,1.214
908,medium_variant,5yearly,2055,1.165
908,medium_variant,5yearly,2060,1.115
908,medium_variant,5yearly,2065,1.063
908,medium_variant,5yearly,2070,1.008
908,medium_variant,5yearly,2075,0.949
908,medium_variant,5yearly,2080,0.887
908,medium_variant,5yearly,2085,0.824
908,medium_variant,5yearly,2090,0.759
908,medium_variant,5yearly,2095,0.693
