continent,variant,freq,year,netmigrationrateper1000pop
935,estimates,5yearly,1950,0.013
935,estimates,5yearly,1955,0.17
935,estimates,5yearly,1960,-0.028
935,estimates,5yearly,1965,0.059
935,estimates,5yearly,1970,-0.132
935,estimates,5yearly,1975,-0.106
935,estimates,5yearly,1980,-0.039
935,estimates,5yearly,1985,-0.132
935,estimates,5yearly,1990,-0.428
935,estimates,5yearly,1995,-0.337
935,estimates,5yearly,2000,-0.398
935,estimates,5yearly,2005,-0.504
935,estimates,5yearly,2010,-0.255
935,medium_variant,5yearly,2015,-0.343
935,medium_variant,5yearly,2020,-0.305
935,medium_variant,5yearly,2025,-0.321
935,medium_variant,5yearly,2030,-0.311
935,medium_variant,5yearly,2035,-0.306
935,medium_variant,5yearly,2040,-0.302
935,medium_variant,5yearly,2045,-0.299
935,medium_variant,5yearly,2050,-0.282
935,medium_variant,5yearly,2055,-0.267
935,medium_variant,5yearly,2060,-0.253
935,medium_variant,5yearly,2065,-0.24
935,medium_variant,5yearly,2070,-0.227
935,medium_variant,5yearly,2075,-0.215
935,medium_variant,5yearly,2080,-0.202
935,medium_variant,5yearly,2085,-0.189
935,medium_variant,5yearly,2090,-0.176
935,medium_variant,5yearly,2095,-0.162
935,estimates,5yearly,Regi,ASIA
935,medium_variant,5yearly,Regi,ASIA
