country,variant,freq,year,netmigrationrateper1000pop
710,estimates,5Yearly,1950,-0.094
710,estimates,5Yearly,1955,0.164
710,estimates,5Yearly,1960,1.238
710,estimates,5Yearly,1965,1.899
710,estimates,5Yearly,1970,1.922
710,estimates,5Yearly,1975,0.535
710,estimates,5Yearly,1980,1.129
710,estimates,5Yearly,1985,-0.765
710,estimates,5Yearly,1990,4.115
710,estimates,5Yearly,1995,0.736
710,estimates,5Yearly,2000,4.599
710,estimates,5Yearly,2005,5.612
710,estimates,5Yearly,2010,2.262
710,medium variant,5Yearly,2015,0.72
710,medium variant,5Yearly,2020,0.348
710,medium variant,5Yearly,2025,0.338
710,medium variant,5Yearly,2030,0.329
710,medium variant,5Yearly,2035,0.321
710,medium variant,5Yearly,2040,0.314
710,medium variant,5Yearly,2045,0.308
710,medium variant,5Yearly,2050,0.288
710,medium variant,5Yearly,2055,0.269
710,medium variant,5Yearly,2060,0.252
710,medium variant,5Yearly,2065,0.236
710,medium variant,5Yearly,2070,0.221
710,medium variant,5Yearly,2075,0.207
710,medium variant,5Yearly,2080,0.192
710,medium variant,5Yearly,2085,0.179
710,medium variant,5Yearly,2090,0.165
710,medium variant,5Yearly,2095,0.151
