global,variant,freq,year,netmigrationrateper1000pop
900,estimates,5Yearly,1950,0
900,estimates,5Yearly,1955,0
900,estimates,5Yearly,1960,0
900,estimates,5Yearly,1965,0
900,estimates,5Yearly,1970,0
900,estimates,5Yearly,1975,0
900,estimates,5Yearly,1980,0
900,estimates,5Yearly,1985,0
900,estimates,5Yearly,1990,0
900,estimates,5Yearly,1995,0
900,estimates,5Yearly,2000,0
900,estimates,5Yearly,2005,0
900,estimates,5Yearly,2010,0
900,medium variant,5Yearly,2015,0
900,medium variant,5Yearly,2020,0
900,medium variant,5Yearly,2025,0
900,medium variant,5Yearly,2030,0
900,medium variant,5Yearly,2035,0
900,medium variant,5Yearly,2040,0
900,medium variant,5Yearly,2045,0
900,medium variant,5Yearly,2050,0
900,medium variant,5Yearly,2055,0
900,medium variant,5Yearly,2060,0
900,medium variant,5Yearly,2065,0
900,medium variant,5Yearly,2070,0
900,medium variant,5Yearly,2075,0
900,medium variant,5Yearly,2080,0
900,medium variant,5Yearly,2085,0
900,medium variant,5Yearly,2090,0
900,medium variant,5Yearly,2095,0
