region,variant,freq,year,netmigrationrateper1000pop
1503,estimates,5Yearly,1950,0.434
1503,estimates,5Yearly,1955,0.284
1503,estimates,5Yearly,1960,0.55
1503,estimates,5Yearly,1965,0.743
1503,estimates,5Yearly,1970,1.354
1503,estimates,5Yearly,1975,1.556
1503,estimates,5Yearly,1980,1.486
1503,estimates,5Yearly,1985,1.619
1503,estimates,5Yearly,1990,2.293
1503,estimates,5Yearly,1995,2.623
1503,estimates,5Yearly,2000,3.122
1503,estimates,5Yearly,2005,3.694
1503,estimates,5Yearly,2010,2.378
1503,medium variant,5Yearly,2015,1.962
1503,medium variant,5Yearly,2020,1.779
1503,medium variant,5Yearly,2025,1.744
1503,medium variant,5Yearly,2030,1.745
1503,medium variant,5Yearly,2035,1.732
1503,medium variant,5Yearly,2040,1.723
1503,medium variant,5Yearly,2045,1.722
1503,medium variant,5Yearly,2050,1.631
1503,medium variant,5Yearly,2055,1.544
1503,medium variant,5Yearly,2060,1.458
1503,medium variant,5Yearly,2065,1.373
1503,medium variant,5Yearly,2070,1.288
1503,medium variant,5Yearly,2075,1.202
1503,medium variant,5Yearly,2080,1.117
1503,medium variant,5Yearly,2085,1.031
1503,medium variant,5Yearly,2090,0.945
1503,medium variant,5Yearly,2095,0.859
