region,variant,freq,year,netmigrationrateper1000pop
934,estimates,5Yearly,1950,-0.027
934,estimates,5Yearly,1955,0.081
934,estimates,5Yearly,1960,-0.13
934,estimates,5Yearly,1965,-0.243
934,estimates,5Yearly,1970,-0.132
934,estimates,5Yearly,1975,-0.16
934,estimates,5Yearly,1980,0.027
934,estimates,5Yearly,1985,-0.196
934,estimates,5Yearly,1990,-0.713
934,estimates,5Yearly,1995,-0.455
934,estimates,5Yearly,2000,-0.52
934,estimates,5Yearly,2005,-0.343
934,estimates,5Yearly,2010,-0.278
934,medium variant,5Yearly,2015,-0.289
934,medium variant,5Yearly,2020,-0.255
934,medium variant,5Yearly,2025,-0.249
934,medium variant,5Yearly,2030,-0.249
934,medium variant,5Yearly,2035,-0.241
934,medium variant,5Yearly,2040,-0.235
934,medium variant,5Yearly,2045,-0.23
934,medium variant,5Yearly,2050,-0.215
934,medium variant,5Yearly,2055,-0.201
934,medium variant,5Yearly,2060,-0.188
934,medium variant,5Yearly,2065,-0.176
934,medium variant,5Yearly,2070,-0.164
934,medium variant,5Yearly,2075,-0.153
934,medium variant,5Yearly,2080,-0.142
934,medium variant,5Yearly,2085,-0.131
934,medium variant,5Yearly,2090,-0.12
934,medium variant,5Yearly,2095,-0.11
