continent,variant,freq,year,netnumberofmigrants
905,estimates,5yearly,1950,1573.912
905,estimates,5yearly,1955,2672.769
905,estimates,5yearly,1960,2006.412
905,estimates,5yearly,1965,2159.582
905,estimates,5yearly,1970,3711.842
905,estimates,5yearly,1975,4362.149
905,estimates,5yearly,1980,3777.765
905,estimates,5yearly,1985,4302.38
905,estimates,5yearly,1990,5211.559
905,estimates,5yearly,1995,9370.78
905,estimates,5yearly,2000,6231.241
905,estimates,5yearly,2005,6258.974
905,estimates,5yearly,2010,5641.359
905,medium_variant,5yearly,2015,5597.817
905,medium_variant,5yearly,2020,5849.49
905,medium_variant,5yearly,2025,6099.487
905,medium_variant,5yearly,2030,6099.487
905,medium_variant,5yearly,2035,6099.487
905,medium_variant,5yearly,2040,6099.487
905,medium_variant,5yearly,2045,6099.487
905,medium_variant,5yearly,2050,5794.517
905,medium_variant,5yearly,2055,5489.54
905,medium_variant,5yearly,2060,5184.564
905,medium_variant,5yearly,2065,4879.586
905,medium_variant,5yearly,2070,4574.619
905,medium_variant,5yearly,2075,4269.644
905,medium_variant,5yearly,2080,3964.667
905,medium_variant,5yearly,2085,3659.691
905,medium_variant,5yearly,2090,3354.717
905,medium_variant,5yearly,2095,3049.754
905,estimates,5yearly,Regi,NORTHERN AMERICA
905,medium_variant,5yearly,Regi,NORTHERN AMERICA
