country,variant,freq,year,netnumberofmigrants
266,estimates,5yearly,1950,2.999
266,estimates,5yearly,1955,2.999
266,estimates,5yearly,1960,9.41
266,estimates,5yearly,1965,16.188
266,estimates,5yearly,1970,2.999
266,estimates,5yearly,1975,4.999
266,estimates,5yearly,1980,4.999
266,estimates,5yearly,1985,4.999
266,estimates,5yearly,1990,4.999
266,estimates,5yearly,1995,9.566
266,estimates,5yearly,2000,30.783
266,estimates,5yearly,2005,68.72
266,estimates,5yearly,2010,85.442
266,medium_variant,5yearly,2015,5.0
266,medium_variant,5yearly,2020,5.0
266,medium_variant,5yearly,2025,5.0
266,medium_variant,5yearly,2030,5.0
266,medium_variant,5yearly,2035,5.0
266,medium_variant,5yearly,2040,5.0
266,medium_variant,5yearly,2045,5.0
266,medium_variant,5yearly,2050,4.753
266,medium_variant,5yearly,2055,4.499
266,medium_variant,5yearly,2060,4.249
266,medium_variant,5yearly,2065,4.003
266,medium_variant,5yearly,2070,3.752
266,medium_variant,5yearly,2075,3.503
266,medium_variant,5yearly,2080,3.254
266,medium_variant,5yearly,2085,3.001
266,medium_variant,5yearly,2090,2.749
266,medium_variant,5yearly,2095,2.509
266,estimates,5yearly,Regi,Gabon
266,medium_variant,5yearly,Regi,Gabon
