global,variant,freq,year,netnumberofmigrants
900,estimates,5Yearly,1950,-0.00199999999972533
900,estimates,5Yearly,1955,4.2632564145606e-13
900,estimates,5Yearly,1960,-4.54747350886464e-13
900,estimates,5Yearly,1965,0.00100000000156797
900,estimates,5Yearly,1970,0.00100000000384171
900,estimates,5Yearly,1975,-0.00100000000020373
900,estimates,5Yearly,1980,9.09494701772928e-13
900,estimates,5Yearly,1985,-0.00199999999949796
900,estimates,5Yearly,1990,-3.63797880709171e-12
900,estimates,5Yearly,1995,1.81898940354586e-12
900,estimates,5Yearly,2000,-0.00299999999879219
900,estimates,5Yearly,2005,-0.00100000000020373
900,estimates,5Yearly,2010,-3.63797880709171e-12
900,medium variant,5Yearly,2015,0
900,medium variant,5Yearly,2020,7.27595761418343e-12
900,medium variant,5Yearly,2025,0.00299999999515421
900,medium variant,5Yearly,2030,0
900,medium variant,5Yearly,2035,0.0029999999969732
900,medium variant,5Yearly,2040,-0.00200000000222644
900,medium variant,5Yearly,2045,-5.45696821063757e-12
900,medium variant,5Yearly,2050,0.00100000000747968
900,medium variant,5Yearly,2055,3.63797880709171e-12
900,medium variant,5Yearly,2060,0
900,medium variant,5Yearly,2065,-0.000999999994746759
900,medium variant,5Yearly,2070,0.00100000000747968
900,medium variant,5Yearly,2075,0.00100000000020373
900,medium variant,5Yearly,2080,0.00199999999676947
900,medium variant,5Yearly,2085,-0.00100000000020373
900,medium variant,5Yearly,2090,-0.00199999999949796
900,medium variant,5Yearly,2095,0
