region,variant,freq,year,netnumberofmigrants
1501,estimates,5yearly,1950,87.449
1501,estimates,5yearly,1955,-575.51
1501,estimates,5yearly,1960,-151.359
1501,estimates,5yearly,1965,-1948.64
1501,estimates,5yearly,1970,-3128.412
1501,estimates,5yearly,1975,-2128.06
1501,estimates,5yearly,1980,-1251.195
1501,estimates,5yearly,1985,-3359.977
1501,estimates,5yearly,1990,-6072.47
1501,estimates,5yearly,1995,-9275.915
1501,estimates,5yearly,2000,-13249.559
1501,estimates,5yearly,2005,-16400.405
1501,estimates,5yearly,2010,-15611.461
1501,medium_variant,5yearly,2015,-11999.856
1501,medium_variant,5yearly,2020,-6384.256
1501,medium_variant,5yearly,2025,-7504.168
1501,medium_variant,5yearly,2030,-8204.515
1501,medium_variant,5yearly,2035,-8274.955
1501,medium_variant,5yearly,2040,-8267.94
1501,medium_variant,5yearly,2045,-8264.692
1501,medium_variant,5yearly,2050,-7851.453
1501,medium_variant,5yearly,2055,-7438.248
1501,medium_variant,5yearly,2060,-7025.001
1501,medium_variant,5yearly,2065,-6611.755
1501,medium_variant,5yearly,2070,-6198.547
1501,medium_variant,5yearly,2075,-5785.278
1501,medium_variant,5yearly,2080,-5372.074
1501,medium_variant,5yearly,2085,-4958.799
1501,medium_variant,5yearly,2090,-4545.583
1501,medium_variant,5yearly,2095,-4132.392
1501,estimates,5yearly,Regi,Lower-middle-income countries
1501,medium_variant,5yearly,Regi,Lower-middle-income countries
