region,variant,freq,year,netnumberofmigrants
901,estimates,5yearly,1950,698.34
901,estimates,5yearly,1955,192.409
901,estimates,5yearly,1960,2529.843
901,estimates,5yearly,1965,3356.689
901,estimates,5yearly,1970,6885.076
901,estimates,5yearly,1975,6685.832
901,estimates,5yearly,1980,5853.938
901,estimates,5yearly,1985,7329.668
901,estimates,5yearly,1990,10967.514
901,estimates,5yearly,1995,13403.91
901,estimates,5yearly,2000,15655.945
901,estimates,5yearly,2005,16523.476
901,estimates,5yearly,2010,11057.23
901,medium_variant,5yearly,2015,12063.829
901,medium_variant,5yearly,2020,11196.036
901,medium_variant,5yearly,2025,11716.194
901,medium_variant,5yearly,2030,11721.195
901,medium_variant,5yearly,2035,11721.191
901,medium_variant,5yearly,2040,11721.182
901,medium_variant,5yearly,2045,11720.975
901,medium_variant,5yearly,2050,11134.952
901,medium_variant,5yearly,2055,10548.927
901,medium_variant,5yearly,2060,9962.853
901,medium_variant,5yearly,2065,9376.811
901,medium_variant,5yearly,2070,8790.773
901,medium_variant,5yearly,2075,8204.72
901,medium_variant,5yearly,2080,7618.665
901,medium_variant,5yearly,2085,7032.616
901,medium_variant,5yearly,2090,6446.573
901,medium_variant,5yearly,2095,5860.558
901,estimates,5yearly,Regi,More developed regions
901,medium_variant,5yearly,Regi,More developed regions
