continent,variant,freq,year,noofbirth
935,estimates,5yearly,1950,308125.083
935,estimates,5yearly,1955,318312.058
935,estimates,5yearly,1960,359081.048
935,estimates,5yearly,1965,390067.55
935,estimates,5yearly,1970,393203.289
935,estimates,5yearly,1975,377710.87
935,estimates,5yearly,1980,402814.728
935,estimates,5yearly,1985,439833.16
935,estimates,5yearly,1990,408769.154
935,estimates,5yearly,1995,382665.226
935,estimates,5yearly,2000,378649.844
935,estimates,5yearly,2005,382612.702
935,estimates,5yearly,2010,380645.478
935,constant_fertility,5yearly,2015,387710.726
935,constant_mortality,5yearly,2015,372166.951
935,high_variant,5yearly,2015,415836.114
935,instant_replacement,5yearly,2015,382984.703
935,low_variant,5yearly,2015,328704.086
935,medium_variant,5yearly,2015,372314
935,momentum,5yearly,2015,386483.897
935,no_change,5yearly,2015,387554.656
935,zero_migration,5yearly,2015,373091.971
935,constant_fertility,5yearly,2020,386897.801
935,constant_mortality,5yearly,2020,357991.668
935,high_variant,5yearly,2020,427219.938
935,instant_replacement,5yearly,2020,374605.159
935,low_variant,5yearly,2020,289784.473
935,medium_variant,5yearly,2020,358514.102
935,momentum,5yearly,2020,381444.628
935,no_change,5yearly,2020,386312.928
935,zero_migration,5yearly,2020,360505.024
935,constant_fertility,5yearly,2025,388401.466
935,constant_mortality,5yearly,2025,345035.594
935,high_variant,5yearly,2025,430906.459
935,instant_replacement,5yearly,2025,367393
935,low_variant,5yearly,2025,261204.448
935,medium_variant,5yearly,2025,346073.403
935,momentum,5yearly,2025,376808.642
935,no_change,5yearly,2025,387177.729
935,zero_migration,5yearly,2025,348961.542
935,constant_fertility,5yearly,2030,393753.695
935,constant_mortality,5yearly,2030,334322.909
935,high_variant,5yearly,2030,421294.426
935,instant_replacement,5yearly,2030,361871.185
935,low_variant,5yearly,2030,251120.158
935,medium_variant,5yearly,2030,336025.037
935,momentum,5yearly,2030,373213.192
935,no_change,5yearly,2030,391609.021
935,zero_migration,5yearly,2030,339620.228
935,constant_fertility,5yearly,2035,402846.797
935,constant_mortality,5yearly,2035,325712.051
935,high_variant,5yearly,2035,421347.794
935,instant_replacement,5yearly,2035,358521.15
935,low_variant,5yearly,2035,239141.121
935,medium_variant,5yearly,2035,328445.846
935,momentum,5yearly,2035,371340.47
935,no_change,5yearly,2035,399104.865
935,zero_migration,5yearly,2035,332588.555
935,constant_fertility,5yearly,2040,414612.009
935,constant_mortality,5yearly,2040,317900.465
935,high_variant,5yearly,2040,432506.112
935,instant_replacement,5yearly,2040,358877.02
935,low_variant,5yearly,2040,222767.063
935,medium_variant,5yearly,2040,322113.269
935,momentum,5yearly,2040,373069.241
935,no_change,5yearly,2040,408375.42
935,zero_migration,5yearly,2040,326805.165
935,constant_fertility,5yearly,2045,426705.271
935,constant_mortality,5yearly,2045,308390.736
935,high_variant,5yearly,2045,446979.221
935,instant_replacement,5yearly,2045,360999.564
935,low_variant,5yearly,2045,202642.717
935,medium_variant,5yearly,2045,314310.292
935,momentum,5yearly,2045,376728.96
935,no_change,5yearly,2045,417325.071
935,zero_migration,5yearly,2045,319608.873
935,constant_fertility,5yearly,2050,439379.077
935,constant_mortality,5yearly,2050,296607.832
935,high_variant,5yearly,2050,456407.588
935,instant_replacement,5yearly,2050,360544.012
935,low_variant,5yearly,2050,182356.461
935,medium_variant,5yearly,2050,304213.128
935,momentum,5yearly,2050,377810.169
935,no_change,5yearly,2050,426456.247
935,zero_migration,5yearly,2050,310132.024
935,constant_fertility,5yearly,2055,454114.2
935,constant_mortality,5yearly,2055,284453.856
935,high_variant,5yearly,2055,458791.045
935,instant_replacement,5yearly,2055,356769.423
935,low_variant,5yearly,2055,165847.526
935,medium_variant,5yearly,2055,293619.991
935,momentum,5yearly,2055,375376.853
935,no_change,5yearly,2055,437246.265
935,zero_migration,5yearly,2055,300095.315
935,constant_fertility,5yearly,2060,472105.474
935,constant_mortality,5yearly,2060,273964.593
935,high_variant,5yearly,2060,459235.673
935,instant_replacement,5yearly,2060,352507.698
935,low_variant,5yearly,2060,153735.285
935,medium_variant,5yearly,2060,284639.097
935,momentum,5yearly,2060,372186.985
935,no_change,5yearly,2060,450633.08
935,zero_migration,5yearly,2060,291566.214
935,constant_fertility,5yearly,2065,493576.467
935,constant_mortality,5yearly,2065,265172.53
935,high_variant,5yearly,2065,462985.704
935,instant_replacement,5yearly,2065,350148.234
935,low_variant,5yearly,2065,143658.601
935,medium_variant,5yearly,2065,277387.187
935,momentum,5yearly,2065,370716.382
935,no_change,5yearly,2065,466587.854
935,zero_migration,5yearly,2065,284680.497
935,constant_fertility,5yearly,2070,518018.642
935,constant_mortality,5yearly,2070,257275.419
935,high_variant,5yearly,2070,471692.799
935,instant_replacement,5yearly,2070,350419.467
935,low_variant,5yearly,2070,133556.909
935,medium_variant,5yearly,2070,271076.542
935,momentum,5yearly,2070,371815.898
935,no_change,5yearly,2070,484538.252
935,zero_migration,5yearly,2070,278692.423
935,constant_fertility,5yearly,2075,545205.58
935,constant_mortality,5yearly,2075,249133.79
935,high_variant,5yearly,2075,482382.27
935,instant_replacement,5yearly,2075,351834.752
935,low_variant,5yearly,2075,122832.647
935,medium_variant,5yearly,2075,264501.309
935,momentum,5yearly,2075,374087.693
935,no_change,5yearly,2075,504286.679
935,zero_migration,5yearly,2075,272415.97
935,constant_fertility,5yearly,2080,575634.358
935,constant_mortality,5yearly,2080,240518.329
935,high_variant,5yearly,2080,491597.217
935,instant_replacement,5yearly,2080,352439.016
935,low_variant,5yearly,2080,112295.614
935,medium_variant,5yearly,2080,257369.002
935,momentum,5yearly,2080,375527.243
935,no_change,5yearly,2080,526263.202
935,zero_migration,5yearly,2080,265560.788
935,constant_fertility,5yearly,2085,610259.865
935,constant_mortality,5yearly,2085,231672.932
935,high_variant,5yearly,2085,497734.501
935,instant_replacement,5yearly,2085,351248.146
935,low_variant,5yearly,2085,102775.372
935,medium_variant,5yearly,2085,249880.536
935,momentum,5yearly,2085,375066.667
935,no_change,5yearly,2085,551183.966
935,zero_migration,5yearly,2085,258308.517
935,constant_fertility,5yearly,2090,649895.571
935,constant_mortality,5yearly,2090,223469.707
935,high_variant,5yearly,2090,502648.296
935,instant_replacement,5yearly,2090,349008.917
935,low_variant,5yearly,2090,94800.728
935,medium_variant,5yearly,2090,242957.544
935,momentum,5yearly,2090,373426.476
935,no_change,5yearly,2090,579555.432
935,zero_migration,5yearly,2090,251573.553
935,constant_fertility,5yearly,2095,695000.615
935,constant_mortality,5yearly,2095,216269.519
935,high_variant,5yearly,2095,508955.3
935,instant_replacement,5yearly,2095,347286.31
935,low_variant,5yearly,2095,88075.629
935,medium_variant,5yearly,2095,237012.358
935,momentum,5yearly,2095,372224.025
935,no_change,5yearly,2095,611567.681
935,zero_migration,5yearly,2095,245771.812
