variant,continent,year,noofbirth
estimates,904,1950,7445.908
estimates,904,1951,7514.776
estimates,904,1952,7659.394
estimates,904,1953,7817.762
estimates,904,1954,7989.871
estimates,904,1955,8175.405
estimates,904,1956,8373.262
estimates,904,1957,8581.77
estimates,904,1958,8797.803
estimates,904,1959,9015.988
estimates,904,1960,9230.037
estimates,904,1961,9433.412
estimates,904,1962,9619.737
estimates,904,1963,9784.848
estimates,904,1964,9927.99
estimates,904,1965,10051.31
estimates,904,1966,10159.848
estimates,904,1967,10261.624
estimates,904,1968,10363.494
estimates,904,1969,10468.87
estimates,904,1970,10580.41
estimates,904,1971,10698.989
estimates,904,1972,10821.951
estimates,904,1973,10946.476
estimates,904,1974,11071.104
estimates,904,1975,11194.488
estimates,904,1976,11315.362
estimates,904,1977,11431.845
estimates,904,1978,11541.638
estimates,904,1979,11642.415
estimates,904,1980,11731.539
estimates,904,1981,11806.809
estimates,904,1982,11867.771
estimates,904,1983,11914.459
estimates,904,1984,11946.961
estimates,904,1985,11964.922
estimates,904,1986,11968.339
estimates,904,1987,11959.483
estimates,904,1988,11941.593
estimates,904,1989,11917.934
estimates,904,1990,11893.374
estimates,904,1991,11872.865
estimates,904,1992,11858.752
estimates,904,1993,11851.895
estimates,904,1994,11851.951
estimates,904,1995,11857.362
estimates,904,1996,11865.177
estimates,904,1997,11870.193
estimates,904,1998,11867.385
estimates,904,1999,11853.328
estimates,904,2000,11822.753
estimates,904,2001,11770.919
estimates,904,2002,11698.471
estimates,904,2003,11608.51
estimates,904,2004,11505.08
estimates,904,2005,11395.793
estimates,904,2006,11289.835
estimates,904,2007,11194.802
estimates,904,2008,11115.798
estimates,904,2009,11054.632
estimates,904,2010,11010.092
estimates,904,2011,10977.83
estimates,904,2012,10949.994
estimates,904,2013,10919.928
estimates,904,2014,10884.599
estimates,904,2015,10842.132
medium_variant,904,2015,10842.132
medium_variant,904,2016,10792.391
medium_variant,904,2017,10737.631
medium_variant,904,2018,10679.675
medium_variant,904,2019,10618.81
medium_variant,904,2020,10555.144
medium_variant,904,2021,10488.723
medium_variant,904,2022,10419.774
medium_variant,904,2023,10348.713
medium_variant,904,2024,10276.081
medium_variant,904,2025,10202.382
medium_variant,904,2026,10128.008
medium_variant,904,2027,10053.348
medium_variant,904,2028,9978.86
medium_variant,904,2029,9905.04
medium_variant,904,2030,9832.311
medium_variant,904,2031,9760.912
medium_variant,904,2032,9690.815
medium_variant,904,2033,9622.05
medium_variant,904,2034,9554.751
medium_variant,904,2035,9489.037
medium_variant,904,2036,9424.937
medium_variant,904,2037,9362.329
medium_variant,904,2038,9301.094
medium_variant,904,2039,9241.177
medium_variant,904,2040,9182.575
medium_variant,904,2041,9125.31
medium_variant,904,2042,9069.306
medium_variant,904,2043,9014.415
medium_variant,904,2044,8960.46
medium_variant,904,2045,8907.212
medium_variant,904,2046,8854.464
medium_variant,904,2047,8802.07
medium_variant,904,2048,8749.859
medium_variant,904,2049,8697.714
medium_variant,904,2050,8645.545
medium_variant,904,2051,8593.343
medium_variant,904,2052,8541.211
medium_variant,904,2053,8489.248
medium_variant,904,2054,8437.479
medium_variant,904,2055,8385.909
medium_variant,904,2056,8334.517
medium_variant,904,2057,8283.333
medium_variant,904,2058,8232.441
medium_variant,904,2059,8181.963
medium_variant,904,2060,8132.03
medium_variant,904,2061,8082.795
medium_variant,904,2062,8034.354
medium_variant,904,2063,7986.808
medium_variant,904,2064,7940.224
medium_variant,904,2065,7894.648
medium_variant,904,2066,7850.112
medium_variant,904,2067,7806.52
medium_variant,904,2068,7763.765
medium_variant,904,2069,7721.776
medium_variant,904,2070,7680.493
medium_variant,904,2071,7639.849
medium_variant,904,2072,7599.785
medium_variant,904,2073,7560.217
medium_variant,904,2074,7521.069
medium_variant,904,2075,7482.251
medium_variant,904,2076,7443.718
medium_variant,904,2077,7405.452
medium_variant,904,2078,7367.473
medium_variant,904,2079,7329.771
medium_variant,904,2080,7292.382
medium_variant,904,2081,7255.356
medium_variant,904,2082,7218.76
medium_variant,904,2083,7182.605
medium_variant,904,2084,7146.88
medium_variant,904,2085,7111.529
medium_variant,904,2086,7076.458
medium_variant,904,2087,7041.606
medium_variant,904,2088,7006.931
medium_variant,904,2089,6972.444
medium_variant,904,2090,6938.188
medium_variant,904,2091,6904.218
medium_variant,904,2092,6870.613
medium_variant,904,2093,6837.43
medium_variant,904,2094,6804.736
medium_variant,904,2095,6772.555
medium_variant,904,2096,6740.9
medium_variant,904,2097,6709.798
medium_variant,904,2098,6679.238
medium_variant,904,2099,6649.225
