country,variant,freq,year,noofbirth
158,Estimates,5yearly,1950,1678.717
158,Estimates,5yearly,1955,2015.413
158,Estimates,5yearly,1960,2070.378
158,Estimates,5yearly,1965,2015.268
158,Estimates,5yearly,1970,1914.488
158,Estimates,5yearly,1975,1954.331
158,Estimates,5yearly,1980,1922.221
158,Estimates,5yearly,1985,1704.605
158,Estimates,5yearly,1990,1660.621
158,Estimates,5yearly,1995,1585.373
158,Estimates,5yearly,2000,1314.25
158,Estimates,5yearly,2005,1170.346
158,Estimates,5yearly,2010,978.306
158,Constant_fertility,5yearly,2015,898.272
158,Constant_mortality,5yearly,2015,893.218
158,High_variant,5yearly,2015,1109.838
158,Instant_replacement,5yearly,2015,1822.336
158,Low_variant,5yearly,2015,676.78
158,Medium_variant,5yearly,2015,893.31
158,No_change,5yearly,2015,898.183
158,Zero_migration,5yearly,2015,893.31
158,Constant_fertility,5yearly,2020,819.047
158,Constant_mortality,5yearly,2020,840.316
158,High_variant,5yearly,2020,1157.86
158,Instant_replacement,5yearly,2020,1658.724
158,Low_variant,5yearly,2020,523.459
158,Medium_variant,5yearly,2020,840.66
158,No_change,5yearly,2020,818.736
158,Zero_migration,5yearly,2020,840.66
158,Constant_fertility,5yearly,2025,745.395
158,Constant_mortality,5yearly,2025,844.795
158,High_variant,5yearly,2025,1212.459
158,Instant_replacement,5yearly,2025,1526.208
158,Low_variant,5yearly,2025,478.614
158,Medium_variant,5yearly,2025,845.536
158,No_change,5yearly,2025,744.802
158,Zero_migration,5yearly,2025,845.536
158,Constant_fertility,5yearly,2030,653.048
158,Constant_mortality,5yearly,2030,820.342
158,High_variant,5yearly,2030,1154.167
158,Instant_replacement,5yearly,2030,1380.089
158,Low_variant,5yearly,2030,489.084
158,Medium_variant,5yearly,2030,821.53
158,No_change,5yearly,2030,652.222
158,Zero_migration,5yearly,2030,821.53
158,Constant_fertility,5yearly,2035,561.635
158,Constant_mortality,5yearly,2035,750.092
158,High_variant,5yearly,2035,1040.594
158,Instant_replacement,5yearly,2035,1198.996
158,Low_variant,5yearly,2035,464.332
158,Medium_variant,5yearly,2035,751.648
158,No_change,5yearly,2035,560.762
158,Zero_migration,5yearly,2035,751.648
158,Constant_fertility,5yearly,2040,500.379
158,Constant_mortality,5yearly,2040,681.986
158,High_variant,5yearly,2040,952.451
158,Instant_replacement,5yearly,2040,1116.178
158,Low_variant,5yearly,2040,426.648
158,Medium_variant,5yearly,2040,683.879
158,No_change,5yearly,2040,499.843
158,Zero_migration,5yearly,2040,683.879
158,Constant_fertility,5yearly,2045,460.83
158,Constant_mortality,5yearly,2045,650.626
158,High_variant,5yearly,2045,967.252
158,Instant_replacement,5yearly,2045,1277.921
158,Low_variant,5yearly,2045,384.216
158,Medium_variant,5yearly,2045,653.014
158,No_change,5yearly,2045,461.171
158,Zero_migration,5yearly,2045,653.014
158,Constant_fertility,5yearly,2050,423.227
158,Constant_mortality,5yearly,2050,635.744
158,High_variant,5yearly,2050,1051.548
158,Instant_replacement,5yearly,2050,1521.465
158,Low_variant,5yearly,2050,325.994
158,Medium_variant,5yearly,2050,638.829
158,No_change,5yearly,2050,424.728
158,Zero_migration,5yearly,2050,638.829
158,Constant_fertility,5yearly,2055,382.791
158,Constant_mortality,5yearly,2055,630.06
158,High_variant,5yearly,2055,1133.279
158,Instant_replacement,5yearly,2055,1579.918
158,Low_variant,5yearly,2055,278.49
158,Medium_variant,5yearly,2055,633.952
158,No_change,5yearly,2055,385.179
158,Zero_migration,5yearly,2055,633.952
158,Constant_fertility,5yearly,2060,340.566
158,Constant_mortality,5yearly,2060,628.403
158,High_variant,5yearly,2060,1167.021
158,Instant_replacement,5yearly,2060,1479.828
158,Low_variant,5yearly,2060,259.686
158,Medium_variant,5yearly,2060,633.11
158,No_change,5yearly,2060,343.247
158,Zero_migration,5yearly,2060,633.11
158,Constant_fertility,5yearly,2065,300.001
158,Constant_mortality,5yearly,2065,614.154
158,High_variant,5yearly,2065,1138.705
158,Instant_replacement,5yearly,2065,1340.218
158,Low_variant,5yearly,2065,256.334
158,Medium_variant,5yearly,2065,619.548
158,No_change,5yearly,2065,302.523
158,Zero_migration,5yearly,2065,619.548
158,Constant_fertility,5yearly,2070,266.228
158,Constant_mortality,5yearly,2070,584.271
158,High_variant,5yearly,2070,1079.874
158,Instant_replacement,5yearly,2070,1234.077
