country,variant,freq,year,noofbirth
850,estimates,5yearly,1950,4.804
850,estimates,5yearly,1955,5.594
850,estimates,5yearly,1960,8.588
850,estimates,5yearly,1965,13.314
850,estimates,5yearly,1970,14.508
850,estimates,5yearly,1975,13.032
850,estimates,5yearly,1980,12.406
850,estimates,5yearly,1985,12.45
850,estimates,5yearly,1990,11.161
850,estimates,5yearly,1995,8.394
850,estimates,5yearly,2000,7.806
850,estimates,5yearly,2005,8.481
850,estimates,5yearly,2010,7.372
850,constant_fertility,5yearly,2015,7.001
850,constant_mortality,5yearly,2015,6.66
850,high_variant,5yearly,2015,7.423
850,instant_replacement,5yearly,2015,6.367
850,low_variant,5yearly,2015,5.899
850,medium_variant,5yearly,2015,6.66
850,momentum,5yearly,2015,6.564
850,no_change,5yearly,2015,7.0
850,zero_migration,5yearly,2015,6.861
850,constant_fertility,5yearly,2020,6.882
850,constant_mortality,5yearly,2020,6.238
850,high_variant,5yearly,2020,7.434
850,instant_replacement,5yearly,2020,6.242
850,low_variant,5yearly,2020,5.043
850,medium_variant,5yearly,2020,6.24
850,momentum,5yearly,2020,6.81
850,no_change,5yearly,2020,6.882
850,zero_migration,5yearly,2020,6.792
850,constant_fertility,5yearly,2025,6.876
850,constant_mortality,5yearly,2025,5.991
850,high_variant,5yearly,2025,7.485
850,instant_replacement,5yearly,2025,6.216
850,low_variant,5yearly,2025,4.504
850,medium_variant,5yearly,2025,5.994
850,momentum,5yearly,2025,7.078
850,no_change,5yearly,2025,6.872
850,zero_migration,5yearly,2025,6.803
850,constant_fertility,5yearly,2030,6.816
850,constant_mortality,5yearly,2030,5.744
850,high_variant,5yearly,2030,7.253
850,instant_replacement,5yearly,2030,6.123
850,low_variant,5yearly,2030,4.258
850,medium_variant,5yearly,2030,5.749
850,momentum,5yearly,2030,7.195
850,no_change,5yearly,2030,6.809
850,zero_migration,5yearly,2030,6.729
850,constant_fertility,5yearly,2035,6.633
850,constant_mortality,5yearly,2035,5.385
850,high_variant,5yearly,2035,7.026
850,instant_replacement,5yearly,2035,5.831
850,low_variant,5yearly,2035,3.855
