variant,country,year,noofbirth
estimates,740,1950,10.774
estimates,740,1951,10.857
estimates,740,1952,11.038
estimates,740,1953,11.243
estimates,740,1954,11.474
estimates,740,1955,11.729
estimates,740,1956,12.007
estimates,740,1957,12.304
estimates,740,1958,12.613
estimates,740,1959,12.925
estimates,740,1960,13.224
estimates,740,1961,13.497
estimates,740,1962,13.728
estimates,740,1963,13.902
estimates,740,1964,14.012
estimates,740,1965,14.052
estimates,740,1966,14.024
estimates,740,1967,13.938
estimates,740,1968,13.804
estimates,740,1969,13.627
estimates,740,1970,13.403
estimates,740,1971,13.124
estimates,740,1972,12.792
estimates,740,1973,12.421
estimates,740,1974,12.027
estimates,740,1975,11.642
estimates,740,1976,11.295
estimates,740,1977,11.009
estimates,740,1978,10.797
estimates,740,1979,10.667
estimates,740,1980,10.614
estimates,740,1981,10.625
estimates,740,1982,10.673
estimates,740,1983,10.735
estimates,740,1984,10.8
estimates,740,1985,10.863
estimates,740,1986,10.926
estimates,740,1987,10.994
estimates,740,1988,11.07
estimates,740,1989,11.148
estimates,740,1990,11.22
estimates,740,1991,11.279
estimates,740,1992,11.319
estimates,740,1993,11.336
estimates,740,1994,11.328
estimates,740,1995,11.297
estimates,740,1996,11.247
estimates,740,1997,11.183
estimates,740,1998,11.114
estimates,740,1999,11.041
estimates,740,2000,10.967
estimates,740,2001,10.891
estimates,740,2002,10.813
estimates,740,2003,10.732
estimates,740,2004,10.652
estimates,740,2005,10.574
estimates,740,2006,10.505
estimates,740,2007,10.444
estimates,740,2008,10.394
estimates,740,2009,10.355
estimates,740,2010,10.324
estimates,740,2011,10.3
estimates,740,2012,10.279
estimates,740,2013,10.257
estimates,740,2014,10.232
estimates,740,2015,10.203
medium_variant,740,2015,10.203
medium_variant,740,2016,10.167
medium_variant,740,2017,10.128
medium_variant,740,2018,10.084
medium_variant,740,2019,10.036
medium_variant,740,2020,9.985
medium_variant,740,2021,9.93
medium_variant,740,2022,9.872
medium_variant,740,2023,9.811
medium_variant,740,2024,9.749
medium_variant,740,2025,9.686
medium_variant,740,2026,9.62
medium_variant,740,2027,9.553
medium_variant,740,2028,9.485
medium_variant,740,2029,9.415
medium_variant,740,2030,9.344
medium_variant,740,2031,9.273
medium_variant,740,2032,9.201
medium_variant,740,2033,9.129
medium_variant,740,2034,9.058
medium_variant,740,2035,8.987
medium_variant,740,2036,8.918
medium_variant,740,2037,8.851
medium_variant,740,2038,8.785
medium_variant,740,2039,8.721
medium_variant,740,2040,8.658
medium_variant,740,2041,8.597
medium_variant,740,2042,8.537
medium_variant,740,2043,8.478
medium_variant,740,2044,8.419
medium_variant,740,2045,8.361
medium_variant,740,2046,8.303
medium_variant,740,2047,8.246
medium_variant,740,2048,8.189
medium_variant,740,2049,8.133
medium_variant,740,2050,8.076
medium_variant,740,2051,8.019
medium_variant,740,2052,7.962
medium_variant,740,2053,7.904
medium_variant,740,2054,7.846
medium_variant,740,2055,7.788
medium_variant,740,2056,7.729
medium_variant,740,2057,7.67
medium_variant,740,2058,7.611
medium_variant,740,2059,7.552
medium_variant,740,2060,7.494
medium_variant,740,2061,7.437
medium_variant,740,2062,7.38
medium_variant,740,2063,7.324
medium_variant,740,2064,7.269
medium_variant,740,2065,7.214
medium_variant,740,2066,7.16
medium_variant,740,2067,7.107
medium_variant,740,2068,7.054
medium_variant,740,2069,7.002
medium_variant,740,2070,6.95
medium_variant,740,2071,6.899
medium_variant,740,2072,6.85
medium_variant,740,2073,6.802
medium_variant,740,2074,6.756
medium_variant,740,2075,6.71
medium_variant,740,2076,6.666
medium_variant,740,2077,6.622
medium_variant,740,2078,6.578
medium_variant,740,2079,6.535
medium_variant,740,2080,6.492
medium_variant,740,2081,6.449
medium_variant,740,2082,6.406
medium_variant,740,2083,6.364
medium_variant,740,2084,6.322
medium_variant,740,2085,6.281
medium_variant,740,2086,6.24
medium_variant,740,2087,6.199
medium_variant,740,2088,6.158
medium_variant,740,2089,6.117
medium_variant,740,2090,6.077
medium_variant,740,2091,6.036
medium_variant,740,2092,5.997
medium_variant,740,2093,5.957
medium_variant,740,2094,5.918
medium_variant,740,2095,5.88
medium_variant,740,2096,5.842
medium_variant,740,2097,5.805
medium_variant,740,2098,5.768
medium_variant,740,2099,5.732
