global,variant,freq,year,noofbirth
900,estimates,5yearly,1950,487364.363
900,estimates,5yearly,1955,512937.177
900,estimates,5yearly,1960,561132.795
900,estimates,5yearly,1965,597172.105
900,estimates,5yearly,1970,611175.699
900,estimates,5yearly,1975,607055.97
900,estimates,5yearly,1980,646458.598
900,estimates,5yearly,1985,698316.802
900,estimates,5yearly,1990,676437.337
900,estimates,5yearly,1995,650312.457
900,estimates,5yearly,2000,658430.353
900,estimates,5yearly,2005,680566.922
900,estimates,5yearly,2010,699213.776
900,constant_fertility,5yearly,2015,735291.265
900,constant_mortality,5yearly,2015,702636.717
900,high_variant,5yearly,2015,774572.238
900,instant_replacement,5yearly,2015,629356.655
900,low_variant,5yearly,2015,631566.907
900,medium_variant,5yearly,2015,703126.432
900,no_change,5yearly,2015,734764.764
900,zero_migration,5yearly,2015,703538.024
900,constant_fertility,5yearly,2020,764295.871
900,constant_mortality,5yearly,2020,694106.237
900,high_variant,5yearly,2020,810477.692
900,instant_replacement,5yearly,2020,626098.605
900,low_variant,5yearly,2020,581234.152
900,medium_variant,5yearly,2020,695871.098
900,no_change,5yearly,2020,762258.991
900,zero_migration,5yearly,2020,696830.655
900,constant_fertility,5yearly,2025,799952.361
900,constant_mortality,5yearly,2025,688876.723
900,high_variant,5yearly,2025,837166.564
900,instant_replacement,5yearly,2025,627761.621
900,low_variant,5yearly,2025,548004.466
900,medium_variant,5yearly,2025,692606.11
900,no_change,5yearly,2025,795335.421
900,zero_migration,5yearly,2025,693737.982
900,constant_fertility,5yearly,2030,848124.679
900,constant_mortality,5yearly,2030,690108.114
900,high_variant,5yearly,2030,847255.398
900,instant_replacement,5yearly,2030,633401.884
900,low_variant,5yearly,2030,547221.384
900,medium_variant,5yearly,2030,696814.53
900,no_change,5yearly,2030,839150.404000001
900,zero_migration,5yearly,2030,697809.622
900,constant_fertility,5yearly,2035,910789.681
900,constant_mortality,5yearly,2035,693274.003
900,high_variant,5yearly,2035,874371.966
900,instant_replacement,5yearly,2035,634232.657
900,low_variant,5yearly,2035,541266.257
900,medium_variant,5yearly,2035,704564.121
900,no_change,5yearly,2035,894433.024
900,zero_migration,5yearly,2035,705342.891
900,constant_fertility,5yearly,2040,986475.417
900,constant_mortality,5yearly,2040,693225.143
900,high_variant,5yearly,2040,916852.281
900,instant_replacement,5yearly,2040,629787.092
900,low_variant,5yearly,2040,523820.23
900,medium_variant,5yearly,2040,710814.74
900,no_change,5yearly,2040,958777.89
900,zero_migration,5yearly,2040,711533.861
900,constant_fertility,5yearly,2045,1073297.562
900,constant_mortality,5yearly,2045,687087.847
900,high_variant,5yearly,2045,962541.092
900,instant_replacement,5yearly,2045,627231.803
900,low_variant,5yearly,2045,497280.356
900,medium_variant,5yearly,2045,712083.901
900,no_change,5yearly,2045,1029928.763
900,zero_migration,5yearly,2045,712859.179
900,constant_fertility,5yearly,2050,1173909.792
900,constant_mortality,5yearly,2050,675850.815
900,high_variant,5yearly,2050,1000432.227
900,instant_replacement,5yearly,2050,626400.366
900,low_variant,5yearly,2050,469018.809
900,medium_variant,5yearly,2050,708771.021
900,no_change,5yearly,2050,1110009.705
900,zero_migration,5yearly,2050,709609.305
900,constant_fertility,5yearly,2055,1293355.31
