region,variant,freq,year,noofbirth
1503,Estimates,5yearly,1950,95941.961
1503,Estimates,5yearly,1955,100518.177
1503,Estimates,5yearly,1960,100339.025
1503,Estimates,5yearly,1965,92811.929
1503,Estimates,5yearly,1970,90497.716
1503,Estimates,5yearly,1975,87499.086
1503,Estimates,5yearly,1980,88625.22
1503,Estimates,5yearly,1985,88189.776
1503,Estimates,5yearly,1990,83561.368
1503,Estimates,5yearly,1995,78818.596
1503,Estimates,5yearly,2000,78348.773
1503,Estimates,5yearly,2005,81832.264
1503,Estimates,5yearly,2010,81416.276
1503,Constant_fertility,5yearly,2015,80266.418
1503,Constant_mortality,5yearly,2015,81213.823
1503,High_variant,5yearly,2015,92852.183
1503,Instant_replacement,5yearly,2015,96725.422
1503,Low_variant,5yearly,2015,69589.854
1503,Medium_variant,5yearly,2015,81221.027
1503,No_change,5yearly,2015,80259.641
1503,Zero_migration,5yearly,2015,80381.551
1503,Constant_fertility,5yearly,2020,78319.495
1503,Constant_mortality,5yearly,2020,79801.043
1503,High_variant,5yearly,2020,97941.252
1503,Instant_replacement,5yearly,2020,94034.769
1503,Low_variant,5yearly,2020,61715.833
1503,Medium_variant,5yearly,2020,79828.556
1503,No_change,5yearly,2020,78294.287
1503,Zero_migration,5yearly,2020,77308.729
1503,Constant_fertility,5yearly,2025,76837.563
1503,Constant_mortality,5yearly,2025,78017.405
1503,High_variant,5yearly,2025,100018.308
1503,Instant_replacement,5yearly,2025,91044.625
1503,Low_variant,5yearly,2025,56129.229
1503,Medium_variant,5yearly,2025,78073.763
1503,No_change,5yearly,2025,76785.977
1503,Zero_migration,5yearly,2025,73938.919
1503,Constant_fertility,5yearly,2030,76519.669
1503,Constant_mortality,5yearly,2030,77056.326
1503,High_variant,5yearly,2030,98871.564
1503,Instant_replacement,5yearly,2030,89351.813
1503,Low_variant,5yearly,2030,55508.991
1503,Medium_variant,5yearly,2030,77147.78
1503,No_change,5yearly,2030,76433.888
1503,Zero_migration,5yearly,2030,71626.935
1503,Constant_fertility,5yearly,2035,77151.144
1503,Constant_mortality,5yearly,2035,77429.958
1503,High_variant,5yearly,2035,100304.894
1503,Instant_replacement,5yearly,2035,90002.092
1503,Low_variant,5yearly,2035,55356.82
1503,Medium_variant,5yearly,2035,77566.058
1503,No_change,5yearly,2035,77018.4749999999
1503,Zero_migration,5yearly,2035,70915.58
1503,Constant_fertility,5yearly,2040,77764.855
1503,Constant_mortality,5yearly,2040,78262.066
1503,High_variant,5yearly,2040,104390.851
1503,Instant_replacement,5yearly,2040,93035.103
1503,Low_variant,5yearly,2040,54369.376
1503,Medium_variant,5yearly,2040,78457.937
1503,No_change,5yearly,2040,77567.642
1503,Zero_migration,5yearly,2040,70770.341
1503,Constant_fertility,5yearly,2045,77786.057
1503,Constant_mortality,5yearly,2045,78600.903
1503,High_variant,5yearly,2045,110527.86
1503,Instant_replacement,5yearly,2045,97640.606
1503,Low_variant,5yearly,2045,51522.997
1503,Medium_variant,5yearly,2045,78872.413
1503,No_change,5yearly,2045,77507.297
1503,Zero_migration,5yearly,2045,70021.834
1503,Constant_fertility,5yearly,2050,77427.72
1503,Constant_mortality,5yearly,2050,78185.044
1503,High_variant,5yearly,2050,116674.921
1503,Instant_replacement,5yearly,2050,101016.656
1503,Low_variant,5yearly,2050,47592.471
1503,Medium_variant,5yearly,2050,78540.697
1503,No_change,5yearly,2050,77054.766
1503,Zero_migration,5yearly,2050,68407.696
1503,Constant_fertility,5yearly,2055,77160.193
1503,Constant_mortality,5yearly,2055,77355.886
1503,High_variant,5yearly,2055,120700.304
1503,Instant_replacement,5yearly,2055,101178.067
1503,Low_variant,5yearly,2055,44287.465
1503,Medium_variant,5yearly,2055,77796.362
1503,No_change,5yearly,2055,76682.176
1503,Zero_migration,5yearly,2055,66422.125
1503,Constant_fertility,5yearly,2060,77237.407
1503,Constant_mortality,5yearly,2060,76685.295
1503,High_variant,5yearly,2060,122812.685
1503,Instant_replacement,5yearly,2060,100039.218
1503,Low_variant,5yearly,2060,42390.138
1503,Medium_variant,5yearly,2060,77210.901
1503,No_change,5yearly,2060,76641.516
1503,Zero_migration,5yearly,2060,64754.289
1503,Constant_fertility,5yearly,2065,77591.451
1503,Constant_mortality,5yearly,2065,76477.681
1503,High_variant,5yearly,2065,124898.281
1503,Instant_replacement,5yearly,2065,99883.322
1503,Low_variant,5yearly,2065,41418.793
1503,Medium_variant,5yearly,2065,77093.273
1503,No_change,5yearly,2065,76861.885
1503,Zero_migration,5yearly,2065,63742.651
1503,Constant_fertility,5yearly,2070,78002.605
1503,Constant_mortality,5yearly,2070,76540.186
1503,High_variant,5yearly,2070,128417.713
1503,Instant_replacement,5yearly,2070,101216.025
1503,Low_variant,5yearly,2070,40420.613
1503,Medium_variant,5yearly,2070,77253.135
1503,No_change,5yearly,2070,77122.056
1503,Zero_migration,5yearly,2070,63145.078
1503,Constant_fertility,5yearly,2075,78306.397
1503,Constant_mortality,5yearly,2075,76503.687
1503,High_variant,5yearly,2075,133437.294
1503,Instant_replacement,5yearly,2075,103536.112
1503,Low_variant,5yearly,2075,38852.745
