region,variant,freq,year,noofbirth
921,estimates,5yearly,1950,117155.791
921,estimates,5yearly,1955,127492.759
921,estimates,5yearly,1960,138680.832
921,estimates,5yearly,1965,149298.377
921,estimates,5yearly,1970,161656.03
921,estimates,5yearly,1975,174956.169
921,estimates,5yearly,1980,192607.035
921,estimates,5yearly,1985,202223.515
921,estimates,5yearly,1990,202700.286
921,estimates,5yearly,1995,202744.16
921,estimates,5yearly,2000,201791.911
921,estimates,5yearly,2005,201587.555
921,estimates,5yearly,2010,197221.958
921,constant_fertility,5yearly,2015,208324.894
921,constant_mortality,5yearly,2015,195492.082
921,high_variant,5yearly,2015,215848.332
921,instant_replacement,5yearly,2015,181011.253
921,low_variant,5yearly,2015,175383.646
921,medium_variant,5yearly,2015,195616.003
921,no_change,5yearly,2015,208193.484
921,zero_migration,5yearly,2015,196113.132
921,constant_fertility,5yearly,2020,215718.852
921,constant_mortality,5yearly,2020,190151.739
921,high_variant,5yearly,2020,223882.632
921,instant_replacement,5yearly,2020,184005.141
921,low_variant,5yearly,2020,157292.612
921,medium_variant,5yearly,2020,190587.626
921,no_change,5yearly,2020,215227.633
921,zero_migration,5yearly,2020,191970.975
921,constant_fertility,5yearly,2025,220814.1
921,constant_mortality,5yearly,2025,183871.036
921,high_variant,5yearly,2025,227000.563
921,instant_replacement,5yearly,2025,185029.902
921,low_variant,5yearly,2025,142448.72
921,medium_variant,5yearly,2025,184724.64
921,no_change,5yearly,2025,219791.267
921,zero_migration,5yearly,2025,186772.2
921,constant_fertility,5yearly,2030,224950.829
921,constant_mortality,5yearly,2030,177696.296
921,high_variant,5yearly,2030,222227.393
921,instant_replacement,5yearly,2030,184580.259
921,low_variant,5yearly,2030,136156.468
921,medium_variant,5yearly,2030,179085.066
921,no_change,5yearly,2030,223164.555
921,zero_migration,5yearly,2030,181543.375
921,constant_fertility,5yearly,2035,231416.162
921,constant_mortality,5yearly,2035,171763.17
921,high_variant,5yearly,2035,222395.182
921,instant_replacement,5yearly,2035,181862.63
921,low_variant,5yearly,2035,127894.679
921,medium_variant,5yearly,2035,174025.405
921,no_change,5yearly,2035,228333.566
921,zero_migration,5yearly,2035,176802.489
921,constant_fertility,5yearly,2040,241849.571
921,constant_mortality,5yearly,2040,166211.801
921,high_variant,5yearly,2040,229395.789
921,instant_replacement,5yearly,2040,178338.596
