variant,region,year,noofbirth
estimates,922,1950,2434.944
estimates,922,1951,2452.123
estimates,922,1952,2488.111
estimates,922,1953,2527.352
estimates,922,1954,2569.848
estimates,922,1955,2615.562
estimates,922,1956,2664.363
estimates,922,1957,2716.064
estimates,922,1958,2770.303
estimates,922,1959,2826.472
estimates,922,1960,2883.848
estimates,922,1961,2941.687
estimates,922,1962,2999.278
estimates,922,1963,3056.177
estimates,922,1964,3112.33
estimates,922,1965,3168.121
estimates,922,1966,3224.268
estimates,922,1967,3281.723
estimates,922,1968,3341.205
estimates,922,1969,3402.979
estimates,922,1970,3466.986
estimates,922,1971,3532.882
estimates,922,1972,3600.129
estimates,922,1973,3668.369
estimates,922,1974,3737.596
estimates,922,1975,3808.67
estimates,922,1976,3882.796
estimates,922,1977,3960.276
estimates,922,1978,4040.562
estimates,922,1979,4122.38
estimates,922,1980,4203.721
estimates,922,1981,4282.236
estimates,922,1982,4355.767
estimates,922,1983,4422.589
estimates,922,1984,4481.686
estimates,922,1985,4532.456
estimates,922,1986,4575.06
estimates,922,1987,4611.1
estimates,922,1988,4642.229
estimates,922,1989,4669.461
estimates,922,1990,4693.765
estimates,922,1991,4715.94
estimates,922,1992,4736.541
estimates,922,1993,4756.169
estimates,922,1994,4775.505
estimates,922,1995,4794.317
estimates,922,1996,4811.861
estimates,922,1997,4827.918
estimates,922,1998,4843.114
estimates,922,1999,4858.868
estimates,922,2000,4877.621
estimates,922,2001,4902.087
estimates,922,2002,4934.084
estimates,922,2003,4974.623
estimates,922,2004,5023.865
estimates,922,2005,5082.053
estimates,922,2006,5148.85
estimates,922,2007,5221.584
estimates,922,2008,5296.856
estimates,922,2009,5371.573
estimates,922,2010,5441.657
estimates,922,2011,5503.195
estimates,922,2012,5554.292
estimates,922,2013,5593.999
estimates,922,2014,5622.039
estimates,922,2015,5639.312
medium_variant,922,2015,5639.312
medium_variant,922,2016,5647.981
medium_variant,922,2017,5651.692
medium_variant,922,2018,5653.691
medium_variant,922,2019,5655.771
medium_variant,922,2020,5659.059
medium_variant,922,2021,5663.776
medium_variant,922,2022,5669.053
medium_variant,922,2023,5674.35
medium_variant,922,2024,5679.953
medium_variant,922,2025,5686.137
medium_variant,922,2026,5693.117
medium_variant,922,2027,5700.961
medium_variant,922,2028,5709.726
medium_variant,922,2029,5719.506
medium_variant,922,2030,5730.436
medium_variant,922,2031,5742.622
medium_variant,922,2032,5755.919
medium_variant,922,2033,5770.096
medium_variant,922,2034,5784.904
medium_variant,922,2035,5800.135
medium_variant,922,2036,5815.61
medium_variant,922,2037,5831.037
medium_variant,922,2038,5846.049
medium_variant,922,2039,5860.252
medium_variant,922,2040,5873.291
medium_variant,922,2041,5884.915
medium_variant,922,2042,5895.003
medium_variant,922,2043,5903.42
medium_variant,922,2044,5909.977
medium_variant,922,2045,5914.457
medium_variant,922,2046,5916.729
medium_variant,922,2047,5916.895
medium_variant,922,2048,5915.131
medium_variant,922,2049,5911.574
medium_variant,922,2050,5906.316
medium_variant,922,2051,5899.42
medium_variant,922,2052,5891.135
medium_variant,922,2053,5881.827
medium_variant,922,2054,5871.88
medium_variant,922,2055,5861.74
medium_variant,922,2056,5851.792
medium_variant,922,2057,5842.262
medium_variant,922,2058,5833.331
medium_variant,922,2059,5825.168
medium_variant,922,2060,5817.821
medium_variant,922,2061,5811.197
medium_variant,922,2062,5805.041
medium_variant,922,2063,5799.147
medium_variant,922,2064,5793.447
medium_variant,922,2065,5787.99
medium_variant,922,2066,5782.875
medium_variant,922,2067,5778.15
medium_variant,922,2068,5773.765
medium_variant,922,2069,5769.573
medium_variant,922,2070,5765.389
medium_variant,922,2071,5761.001
medium_variant,922,2072,5756.19
medium_variant,922,2073,5750.75
medium_variant,922,2074,5744.525
medium_variant,922,2075,5737.395
medium_variant,922,2076,5729.339
medium_variant,922,2077,5720.439
medium_variant,922,2078,5710.766
medium_variant,922,2079,5700.331
medium_variant,922,2080,5689.11
medium_variant,922,2081,5677.082
medium_variant,922,2082,5664.277
medium_variant,922,2083,5650.764
medium_variant,922,2084,5636.604
medium_variant,922,2085,5621.857
medium_variant,922,2086,5606.56
medium_variant,922,2087,5590.791
medium_variant,922,2088,5574.672
medium_variant,922,2089,5558.328
medium_variant,922,2090,5541.895
medium_variant,922,2091,5525.47
medium_variant,922,2092,5509.144
medium_variant,922,2093,5492.973
medium_variant,922,2094,5476.996
medium_variant,922,2095,5461.243
medium_variant,922,2096,5445.736
medium_variant,922,2097,5430.479
medium_variant,922,2098,5415.467
medium_variant,922,2099,5400.7
