continent,year,variant,freq,age5yearinterval,noofbirthbymother
909,1950,estimates,5yearly,15_19,137.99
909,1950,estimates,5yearly,20_24,525.439
909,1950,estimates,5yearly,25_29,547.591
909,1950,estimates,5yearly,30_34,359.425
909,1950,estimates,5yearly,35_39,194.16
909,1950,estimates,5yearly,40_44,66.913
909,1950,estimates,5yearly,45_49,13.085
909,1955,estimates,5yearly,15_19,167.723
909,1955,estimates,5yearly,20_24,600.717
909,1955,estimates,5yearly,25_29,593.023
909,1955,estimates,5yearly,30_34,395.664
909,1955,estimates,5yearly,35_39,213.292
909,1955,estimates,5yearly,40_44,72.183
909,1955,estimates,5yearly,45_49,14.497
909,1960,estimates,5yearly,15_19,204.166
909,1960,estimates,5yearly,20_24,669.266
909,1960,estimates,5yearly,25_29,608.125
909,1960,estimates,5yearly,30_34,388.423
909,1960,estimates,5yearly,35_39,217.848
909,1960,estimates,5yearly,40_44,75.726
909,1960,estimates,5yearly,45_49,15.777
909,1965,estimates,5yearly,15_19,252.87
909,1965,estimates,5yearly,20_24,735.609
909,1965,estimates,5yearly,25_29,647.145
909,1965,estimates,5yearly,30_34,364.543
909,1965,estimates,5yearly,35_39,194.239
909,1965,estimates,5yearly,40_44,72.018
909,1965,estimates,5yearly,45_49,17.483
909,1970,estimates,5yearly,15_19,286.879
909,1970,estimates,5yearly,20_24,802.702
909,1970,estimates,5yearly,25_29,729.261
909,1970,estimates,5yearly,30_34,365.835
909,1970,estimates,5yearly,35_39,169.536
909,1970,estimates,5yearly,40_44,63.184
909,1970,estimates,5yearly,45_49,18.698
909,1975,estimates,5yearly,15_19,243.901
909,1975,estimates,5yearly,20_24,729.138
909,1975,estimates,5yearly,25_29,750.348
909,1975,estimates,5yearly,30_34,385.522
909,1975,estimates,5yearly,35_39,155.595
909,1975,estimates,5yearly,40_44,54.159
909,1975,estimates,5yearly,45_49,18.07
909,1980,estimates,5yearly,15_19,226.533
909,1980,estimates,5yearly,20_24,711.061
909,1980,estimates,5yearly,25_29,806.34
909,1980,estimates,5yearly,30_34,466.356
909,1980,estimates,5yearly,35_39,178.281
909,1980,estimates,5yearly,40_44,54.318
909,1980,estimates,5yearly,45_49,17.847
909,1985,estimates,5yearly,15_19,219.803
909,1985,estimates,5yearly,20_24,665.299
909,1985,estimates,5yearly,25_29,846.932
909,1985,estimates,5yearly,30_34,562.939
909,1985,estimates,5yearly,35_39,222.334
909,1985,estimates,5yearly,40_44,59.067
909,1985,estimates,5yearly,45_49,17.578
909,1990,estimates,5yearly,15_19,221.226
909,1990,estimates,5yearly,20_24,653.718
909,1990,estimates,5yearly,25_29,846.933
909,1990,estimates,5yearly,30_34,659.795
909,1990,estimates,5yearly,35_39,281.21
909,1990,estimates,5yearly,40_44,71.31
909,1990,estimates,5yearly,45_49,18.764
909,1995,estimates,5yearly,15_19,213.681
909,1995,estimates,5yearly,20_24,631.007
909,1995,estimates,5yearly,25_29,811.343
909,1995,estimates,5yearly,30_34,706.191
909,1995,estimates,5yearly,35_39,342.158
909,1995,estimates,5yearly,40_44,86.869
909,1995,estimates,5yearly,45_49,21.311
909,2000,estimates,5yearly,15_19,204.264
909,2000,estimates,5yearly,20_24,625.599
909,2000,estimates,5yearly,25_29,785.017
909,2000,estimates,5yearly,30_34,752.712
909,2000,estimates,5yearly,35_39,396.313
909,2000,estimates,5yearly,40_44,101.769
909,2000,estimates,5yearly,45_49,23.565
909,2005,estimates,5yearly,15_19,213.063
909,2005,estimates,5yearly,20_24,660.796
909,2005,estimates,5yearly,25_29,835.785
909,2005,estimates,5yearly,30_34,840.403
909,2005,estimates,5yearly,35_39,480.825
909,2005,estimates,5yearly,40_44,123.925
909,2005,estimates,5yearly,45_49,26.272
909,2010,estimates,5yearly,15_19,204.135
909,2010,estimates,5yearly,20_24,653.316
909,2010,estimates,5yearly,25_29,869.007
909,2010,estimates,5yearly,30_34,872.432
909,2010,estimates,5yearly,35_39,505.371
909,2010,estimates,5yearly,40_44,137.95
909,2010,estimates,5yearly,45_49,29.511
909,2015,constant_fertility,5yearly,15_19,218.416
909,2015,constant_mortality,5yearly,15_19,198.537
909,2015,high_variant,5yearly,15_19,216.926
909,2015,instant_replacement,5yearly,15_19,158.557
909,2015,low_variant,5yearly,15_19,180.224
909,2015,medium_variant,5yearly,15_19,198.576
909,2015,momentum,5yearly,15_19,157.343
909,2015,no_change,5yearly,15_19,218.374
909,2015,zero_migration,5yearly,15_19,196.892
909,2015,constant_fertility,5yearly,20_24,698.371
909,2015,constant_mortality,5yearly,20_24,642.612
909,2015,high_variant,5yearly,20_24,704.529
909,2015,instant_replacement,5yearly,20_24,530.662
909,2015,low_variant,5yearly,20_24,581.017
909,2015,medium_variant,5yearly,20_24,642.772
909,2015,momentum,5yearly,20_24,525.142
909,2015,no_change,5yearly,20_24,698.199
909,2015,zero_migration,5yearly,20_24,636.407
909,2015,constant_fertility,5yearly,25_29,921.12
909,2015,constant_mortality,5yearly,25_29,859.239
909,2015,high_variant,5yearly,25_29,952.669
909,2015,instant_replacement,5yearly,25_29,789.867
909,2015,low_variant,5yearly,25_29,766.163
909,2015,medium_variant,5yearly,25_29,859.419
909,2015,momentum,5yearly,25_29,776.767
909,2015,no_change,5yearly,25_29,920.931
909,2015,zero_migration,5yearly,25_29,846.793
909,2015,constant_fertility,5yearly,30_34,959.473
909,2015,constant_mortality,5yearly,30_34,931.775
909,2015,high_variant,5yearly,30_34,1040.115
909,2015,instant_replacement,5yearly,30_34,909.97
909,2015,low_variant,5yearly,30_34,823.761
909,2015,medium_variant,5yearly,30_34,931.937
