country,year,variant,freq,age5yearinterval,noofbirthbymother
120,1950,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1950,estimates,5yearly,15_19,186.233
120,1950,estimates,5yearly,20_24,255.572
120,1950,estimates,5yearly,25_29,211.846
120,1950,estimates,5yearly,30_34,147.67
120,1950,estimates,5yearly,35_39,89.025
120,1950,estimates,5yearly,40_44,47.411
120,1950,estimates,5yearly,45_49,15.843
120,1955,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1955,estimates,5yearly,15_19,202.519
120,1955,estimates,5yearly,20_24,280.097
120,1955,estimates,5yearly,25_29,232.093
120,1955,estimates,5yearly,30_34,161.83
120,1955,estimates,5yearly,35_39,97.632
120,1955,estimates,5yearly,40_44,52.02
120,1955,estimates,5yearly,45_49,17.378
120,1960,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1960,estimates,5yearly,15_19,231.446
120,1960,estimates,5yearly,20_24,318.536
120,1960,estimates,5yearly,25_29,266.114
120,1960,estimates,5yearly,30_34,185.588
120,1960,estimates,5yearly,35_39,112.069
120,1960,estimates,5yearly,40_44,59.777
120,1960,estimates,5yearly,45_49,19.981
120,1965,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1965,estimates,5yearly,15_19,270.636
120,1965,estimates,5yearly,20_24,364.242
120,1965,estimates,5yearly,25_29,302.911
120,1965,estimates,5yearly,30_34,213.106
120,1965,estimates,5yearly,35_39,128.795
120,1965,estimates,5yearly,40_44,68.785
120,1965,estimates,5yearly,45_49,23.02
120,1970,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1970,estimates,5yearly,15_19,317.045
120,1970,estimates,5yearly,20_24,422.203
120,1970,estimates,5yearly,25_29,343.485
120,1970,estimates,5yearly,30_34,240.689
120,1970,estimates,5yearly,35_39,146.837
120,1970,estimates,5yearly,40_44,78.516
120,1970,estimates,5yearly,45_49,26.312
120,1975,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1975,estimates,5yearly,15_19,376.504
120,1975,estimates,5yearly,20_24,494.139
120,1975,estimates,5yearly,25_29,399.419
120,1975,estimates,5yearly,30_34,275.45
120,1975,estimates,5yearly,35_39,166.486
120,1975,estimates,5yearly,40_44,87.046
120,1975,estimates,5yearly,45_49,28.771
120,1980,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1980,estimates,5yearly,15_19,454.125
120,1980,estimates,5yearly,20_24,594.442
120,1980,estimates,5yearly,25_29,473.113
120,1980,estimates,5yearly,30_34,326.594
120,1980,estimates,5yearly,35_39,190.744
120,1980,estimates,5yearly,40_44,93.21
120,1980,estimates,5yearly,45_49,30.041
120,1985,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1985,estimates,5yearly,15_19,524.265
120,1985,estimates,5yearly,20_24,697.651
120,1985,estimates,5yearly,25_29,547.584
120,1985,estimates,5yearly,30_34,373.016
120,1985,estimates,5yearly,35_39,213.097
120,1985,estimates,5yearly,40_44,95.337
120,1985,estimates,5yearly,45_49,29.41
120,1990,estimates,5yearly,"Region, subregion, country or area *",Cameroon
120,1990,estimates,5yearly,15_19,578.684
120,1990,estimates,5yearly,20_24,783.69
120,1990,estimates,5yearly,25_29,617.951
120,1990,estimates,5yearly,30_34,415.01
120,1990,estimates,5yearly,35_39,228.545
120,1990,estimates,5yearly,40_44,94.321
120,1990,estimates,5yearly,45_49,27.187
