country,year,variant,freq,age5yearinterval,noofbirthbymother
418,1950,estimates,5yearly,15_19,46.06
418,1950,estimates,5yearly,20_24,107.475
418,1950,estimates,5yearly,25_29,105.253
418,1950,estimates,5yearly,30_34,73.639
418,1950,estimates,5yearly,35_39,45.209
418,1950,estimates,5yearly,40_44,22.518
418,1950,estimates,5yearly,45_49,6.003
418,1955,estimates,5yearly,15_19,51.644
418,1955,estimates,5yearly,20_24,115.867
418,1955,estimates,5yearly,25_29,111.796
418,1955,estimates,5yearly,30_34,79.432
418,1955,estimates,5yearly,35_39,49.288
418,1955,estimates,5yearly,40_44,25.147
418,1955,estimates,5yearly,45_49,6.779
418,1960,estimates,5yearly,15_19,59.973
418,1960,estimates,5yearly,20_24,130.175
418,1960,estimates,5yearly,25_29,120.819
418,1960,estimates,5yearly,30_34,84.593
418,1960,estimates,5yearly,35_39,53.321
418,1960,estimates,5yearly,40_44,27.5
418,1960,estimates,5yearly,45_49,7.594
418,1965,estimates,5yearly,15_19,69.507
418,1965,estimates,5yearly,20_24,151.462
418,1965,estimates,5yearly,25_29,136.042
418,1965,estimates,5yearly,30_34,91.651
418,1965,estimates,5yearly,35_39,56.942
418,1965,estimates,5yearly,40_44,29.837
418,1965,estimates,5yearly,45_49,8.329
418,1970,estimates,5yearly,15_19,78.006
418,1970,estimates,5yearly,20_24,175.865
418,1970,estimates,5yearly,25_29,158.633
418,1970,estimates,5yearly,30_34,103.454
418,1970,estimates,5yearly,35_39,61.863
418,1970,estimates,5yearly,40_44,31.955
418,1970,estimates,5yearly,45_49,9.063
418,1975,estimates,5yearly,15_19,87.507
418,1975,estimates,5yearly,20_24,192.159
418,1975,estimates,5yearly,25_29,173.247
418,1975,estimates,5yearly,30_34,111.384
418,1975,estimates,5yearly,35_39,65.577
418,1975,estimates,5yearly,40_44,34.087
418,1975,estimates,5yearly,45_49,9.809
418,1980,estimates,5yearly,15_19,101.336
418,1980,estimates,5yearly,20_24,216.381
418,1980,estimates,5yearly,25_29,189.007
418,1980,estimates,5yearly,30_34,121.208
418,1980,estimates,5yearly,35_39,70.402
418,1980,estimates,5yearly,40_44,36.215
418,1980,estimates,5yearly,45_49,10.532
418,1985,estimates,5yearly,15_19,116.499
418,1985,estimates,5yearly,20_24,251.432
418,1985,estimates,5yearly,25_29,220.083
418,1985,estimates,5yearly,30_34,140.561
418,1985,estimates,5yearly,35_39,80.254
418,1985,estimates,5yearly,40_44,38.995
418,1985,estimates,5yearly,45_49,10.904
418,1990,estimates,5yearly,15_19,126.352
418,1990,estimates,5yearly,20_24,274.126
418,1990,estimates,5yearly,25_29,240.033
418,1990,estimates,5yearly,30_34,161.753
418,1990,estimates,5yearly,35_39,89.954
418,1990,estimates,5yearly,40_44,41.844
418,1990,estimates,5yearly,45_49,10.998
418,1995,estimates,5yearly,15_19,118.201
418,1995,estimates,5yearly,20_24,258.083
418,1995,estimates,5yearly,25_29,224.575
418,1995,estimates,5yearly,30_34,152.426
418,1995,estimates,5yearly,35_39,84.047
418,1995,estimates,5yearly,40_44,37.205
418,1995,estimates,5yearly,45_49,9.441
418,2000,estimates,5yearly,15_19,117.877
418,2000,estimates,5yearly,20_24,248.344
418,2000,estimates,5yearly,25_29,207.97
418,2000,estimates,5yearly,30_34,135.32
418,2000,estimates,5yearly,35_39,74.081
418,2000,estimates,5yearly,40_44,31.1
418,2000,estimates,5yearly,45_49,7.164
418,2005,estimates,5yearly,15_19,127.046
418,2005,estimates,5yearly,20_24,266.119
418,2005,estimates,5yearly,25_29,211.622
418,2005,estimates,5yearly,30_34,129.458
418,2005,estimates,5yearly,35_39,70.124
418,2005,estimates,5yearly,40_44,27.204
418,2005,estimates,5yearly,45_49,5.347
418,2010,estimates,5yearly,15_19,120.342
418,2010,estimates,5yearly,20_24,268.669
418,2010,estimates,5yearly,25_29,215.459
418,2010,estimates,5yearly,30_34,124.313
418,2010,estimates,5yearly,35_39,65.941
418,2010,estimates,5yearly,40_44,23.637
418,2010,estimates,5yearly,45_49,3.765
418,2015,constant_fertility,5yearly,15_19,115.203
418,2015,constant_mortality,5yearly,15_19,109.341
418,2015,high_variant,5yearly,15_19,119.834
418,2015,instant_replacement,5yearly,15_19,92.073
418,2015,low_variant,5yearly,15_19,98.978
418,2015,medium_variant,5yearly,15_19,109.405
418,2015,momentum,5yearly,15_19,94.344
418,2015,no_change,5yearly,15_19,115.135
418,2015,zero_migration,5yearly,15_19,110.108
418,2015,constant_fertility,5yearly,20_24,275.888
418,2015,constant_mortality,5yearly,20_24,256.54
418,2015,high_variant,5yearly,20_24,281.233
418,2015,instant_replacement,5yearly,20_24,216.082
418,2015,low_variant,5yearly,20_24,232.282
418,2015,medium_variant,5yearly,20_24,256.758
418,2015,momentum,5yearly,20_24,222.783
418,2015,no_change,5yearly,20_24,275.653
418,2015,zero_migration,5yearly,20_24,260.077
418,2015,constant_fertility,5yearly,25_29,243.168
418,2015,constant_mortality,5yearly,25_29,221.523
418,2015,high_variant,5yearly,25_29,242.897
418,2015,instant_replacement,5yearly,25_29,186.627
418,2015,low_variant,5yearly,25_29,200.62
418,2015,medium_variant,5yearly,25_29,221.758
418,2015,momentum,5yearly,25_29,192.677
418,2015,no_change,5yearly,25_29,242.911
418,2015,zero_migration,5yearly,25_29,224.978
418,2015,constant_fertility,5yearly,30_34,144.523
