global,year,variant,freq,age5yearinterval,noofbirthbymother
900,1950,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1950,estimates,5yearly,15_19,52295.941
900,1950,estimates,5yearly,20_24,131304.84
900,1950,estimates,5yearly,25_29,128064.701
900,1950,estimates,5yearly,30_34,89893.844
900,1950,estimates,5yearly,35_39,57258.177
900,1950,estimates,5yearly,40_44,25218.633
900,1950,estimates,5yearly,45_49,5359.53
900,1955,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1955,estimates,5yearly,15_19,53294.416
900,1955,estimates,5yearly,20_24,138953.613
900,1955,estimates,5yearly,25_29,135244.372
900,1955,estimates,5yearly,30_34,96893.236
900,1955,estimates,5yearly,35_39,58555.55
900,1955,estimates,5yearly,40_44,25090.987
900,1955,estimates,5yearly,45_49,5447.746
900,1960,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1960,estimates,5yearly,15_19,58592.763
900,1960,estimates,5yearly,20_24,150974.838
900,1960,estimates,5yearly,25_29,148476.435
900,1960,estimates,5yearly,30_34,107385.228
900,1960,estimates,5yearly,35_39,66184.159
900,1960,estimates,5yearly,40_44,26482.224
900,1960,estimates,5yearly,45_49,5468.275
900,1965,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1965,estimates,5yearly,15_19,66333.896
900,1965,estimates,5yearly,20_24,164616.545
900,1965,estimates,5yearly,25_29,154775.304
900,1965,estimates,5yearly,30_34,111873.821
900,1965,estimates,5yearly,35_39,67369.811
900,1965,estimates,5yearly,40_44,27836.198
900,1965,estimates,5yearly,45_49,5619.58300000001
900,1970,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1970,estimates,5yearly,15_19,69921.345
900,1970,estimates,5yearly,20_24,184202.718
900,1970,estimates,5yearly,25_29,160138.139
900,1970,estimates,5yearly,30_34,103886.899
900,1970,estimates,5yearly,35_39,61914.398
900,1970,estimates,5yearly,40_44,25431.664
900,1970,estimates,5yearly,45_49,5599.482
900,1975,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1975,estimates,5yearly,15_19,73243.427
900,1975,estimates,5yearly,20_24,193703.36
900,1975,estimates,5yearly,25_29,168447.008
900,1975,estimates,5yearly,30_34,96060.774
900,1975,estimates,5yearly,35_39,50711.605
900,1975,estimates,5yearly,40_44,21341.654
900,1975,estimates,5yearly,45_49,5276.734
900,1980,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1980,estimates,5yearly,15_19,79698.376
900,1980,estimates,5yearly,20_24,214635.16
900,1980,estimates,5yearly,25_29,186472.124
900,1980,estimates,5yearly,30_34,98538.132
900,1980,estimates,5yearly,35_39,47067.409
900,1980,estimates,5yearly,40_44,18779.467
900,1980,estimates,5yearly,45_49,4863.184
900,1985,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1985,estimates,5yearly,15_19,83862.583
900,1985,estimates,5yearly,20_24,239708.39
900,1985,estimates,5yearly,25_29,194018.433
900,1985,estimates,5yearly,30_34,108208.283
900,1985,estimates,5yearly,35_39,50816.06
