region,year,variant,freq,age5yearinterval,noofbirthbymother
921,1950,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1950,estimates,5yearly,15_19,14628.022
921,1950,estimates,5yearly,20_24,30594.285
921,1950,estimates,5yearly,25_29,29750.867
921,1950,estimates,5yearly,30_34,21620.013
921,1950,estimates,5yearly,35_39,13158.213
921,1950,estimates,5yearly,40_44,5680.239
921,1950,estimates,5yearly,45_49,1582.41
921,1955,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1955,estimates,5yearly,15_19,15560.394
921,1955,estimates,5yearly,20_24,33490.438
921,1955,estimates,5yearly,25_29,32720.05
921,1955,estimates,5yearly,30_34,23780.161
921,1955,estimates,5yearly,35_39,14282.257
921,1955,estimates,5yearly,40_44,6086.553
921,1955,estimates,5yearly,45_49,1731.583
921,1960,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1960,estimates,5yearly,15_19,16891.733
921,1960,estimates,5yearly,20_24,35871.216
921,1960,estimates,5yearly,25_29,35442.989
921,1960,estimates,5yearly,30_34,26405.8
921,1960,estimates,5yearly,35_39,15916.524
921,1960,estimates,5yearly,40_44,6702.262
921,1960,estimates,5yearly,45_49,1771.072
921,1965,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1965,estimates,5yearly,15_19,19884.879
921,1965,estimates,5yearly,20_24,39202.545
921,1965,estimates,5yearly,25_29,36816.317
921,1965,estimates,5yearly,30_34,27892.918
921,1965,estimates,5yearly,35_39,16901.218
921,1965,estimates,5yearly,40_44,7093.645
921,1965,estimates,5yearly,45_49,1763.496
921,1970,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1970,estimates,5yearly,15_19,23306.051
921,1970,estimates,5yearly,20_24,46364.693
921,1970,estimates,5yearly,25_29,38771.481
921,1970,estimates,5yearly,30_34,27955.887
921,1970,estimates,5yearly,35_39,16850.928
921,1970,estimates,5yearly,40_44,6880.432
921,1970,estimates,5yearly,45_49,1781.284
921,1975,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1975,estimates,5yearly,15_19,26328.143
921,1975,estimates,5yearly,20_24,54121.905
921,1975,estimates,5yearly,25_29,43012.872
921,1975,estimates,5yearly,30_34,27577.781
921,1975,estimates,5yearly,35_39,15931.551
921,1975,estimates,5yearly,40_44,6570.24
921,1975,estimates,5yearly,45_49,1707.678
921,1980,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1980,estimates,5yearly,15_19,29769.365
921,1980,estimates,5yearly,20_24,62178.908
921,1980,estimates,5yearly,25_29,48669.666
921,1980,estimates,5yearly,30_34,29088.636
921,1980,estimates,5yearly,35_39,15178.266
921,1980,estimates,5yearly,40_44,6209.037
921,1980,estimates,5yearly,45_49,1673.614
921,1985,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1985,estimates,5yearly,15_19,31377.301
921,1985,estimates,5yearly,20_24,67433.657
921,1985,estimates,5yearly,25_29,51527.527
921,1985,estimates,5yearly,30_34,29924.742
921,1985,estimates,5yearly,35_39,14882.622
921,1985,estimates,5yearly,40_44,5677.732
921,1985,estimates,5yearly,45_49,1484.598
921,1990,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1990,estimates,5yearly,15_19,30647.856
921,1990,estimates,5yearly,20_24,69907.47
921,1990,estimates,5yearly,25_29,52151.317
921,1990,estimates,5yearly,30_34,29509.071
921,1990,estimates,5yearly,35_39,14347.398
921,1990,estimates,5yearly,40_44,5186.943
921,1990,estimates,5yearly,45_49,1223.96
921,1995,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,1995,estimates,5yearly,15_19,28320.63
921,1995,estimates,5yearly,20_24,72350.453
921,1995,estimates,5yearly,25_29,53279.377
921,1995,estimates,5yearly,30_34,29125.288
921,1995,estimates,5yearly,35_39,13810.979
921,1995,estimates,5yearly,40_44,4958.386
921,1995,estimates,5yearly,45_49,1176.762
921,2000,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,2000,estimates,5yearly,15_19,24772.645
921,2000,estimates,5yearly,20_24,75381.282
921,2000,estimates,5yearly,25_29,55191.698
921,2000,estimates,5yearly,30_34,28212.976
921,2000,estimates,5yearly,35_39,12770.509
921,2000,estimates,5yearly,40_44,4532.616
921,2000,estimates,5yearly,45_49,1208.281
921,2005,estimates,5yearly,"Region, subregion, country or area *",South-Central Asia
921,2005,estimates,5yearly,15_19,20529.747
921,2005,estimates,5yearly,20_24,77933.138
921,2005,estimates,5yearly,25_29,58853.641
