region,year,variant,freq,age5yearinterval,noofbirthbymother
925,1950,estimates,5yearly,15_19,459.37
925,1950,estimates,5yearly,20_24,2892.749
925,1950,estimates,5yearly,25_29,3813.165
925,1950,estimates,5yearly,30_34,2410.301
925,1950,estimates,5yearly,35_39,1506.222
925,1950,estimates,5yearly,40_44,605.103
925,1950,estimates,5yearly,45_49,83.492
925,1955,estimates,5yearly,15_19,489.408
925,1955,estimates,5yearly,20_24,2958.929
925,1955,estimates,5yearly,25_29,3878.637
925,1955,estimates,5yearly,30_34,2669.918
925,1955,estimates,5yearly,35_39,1388.23
925,1955,estimates,5yearly,40_44,476.579
925,1955,estimates,5yearly,45_49,65.903
925,1960,estimates,5yearly,15_19,578.894
925,1960,estimates,5yearly,20_24,2950.579
925,1960,estimates,5yearly,25_29,3981.533
925,1960,estimates,5yearly,30_34,2817.341
925,1960,estimates,5yearly,35_39,1480.554
925,1960,estimates,5yearly,40_44,471.279
925,1960,estimates,5yearly,45_49,53.33
925,1965,estimates,5yearly,15_19,732.726
925,1965,estimates,5yearly,20_24,3186.951
925,1965,estimates,5yearly,25_29,3619.83
925,1965,estimates,5yearly,30_34,2614.755
925,1965,estimates,5yearly,35_39,1446.916
925,1965,estimates,5yearly,40_44,458.331
925,1965,estimates,5yearly,45_49,47.109
925,1970,estimates,5yearly,15_19,831.932
925,1970,estimates,5yearly,20_24,3509.85
925,1970,estimates,5yearly,25_29,3647.427
925,1970,estimates,5yearly,30_34,2160.473
925,1970,estimates,5yearly,35_39,1194.606
925,1970,estimates,5yearly,40_44,394.493
925,1970,estimates,5yearly,45_49,35.35
925,1975,estimates,5yearly,15_19,903.955
925,1975,estimates,5yearly,20_24,3449.327
925,1975,estimates,5yearly,25_29,3432.6
925,1975,estimates,5yearly,30_34,1918.211
925,1975,estimates,5yearly,35_39,863.786
925,1975,estimates,5yearly,40_44,278.938
925,1975,estimates,5yearly,45_49,27.378
925,1980,estimates,5yearly,15_19,731.079
925,1980,estimates,5yearly,20_24,3024.15
925,1980,estimates,5yearly,25_29,3072.981
925,1980,estimates,5yearly,30_34,1705.821
925,1980,estimates,5yearly,35_39,688.039
925,1980,estimates,5yearly,40_44,169.047
925,1980,estimates,5yearly,45_49,16.762
925,1985,estimates,5yearly,15_19,539.308
925,1985,estimates,5yearly,20_24,2374.292
925,1985,estimates,5yearly,25_29,2953.011
925,1985,estimates,5yearly,30_34,1714.956
925,1985,estimates,5yearly,35_39,639.639
925,1985,estimates,5yearly,40_44,136.592
925,1985,estimates,5yearly,45_49,10.316
925,1990,estimates,5yearly,15_19,378.021
925,1990,estimates,5yearly,20_24,1797.408
925,1990,estimates,5yearly,25_29,2774.657
925,1990,estimates,5yearly,30_34,1964.07
925,1990,estimates,5yearly,35_39,702.613
925,1990,estimates,5yearly,40_44,130.628
925,1990,estimates,5yearly,45_49,7.786
925,1995,estimates,5yearly,15_19,290.512
925,1995,estimates,5yearly,20_24,1350.845
925,1995,estimates,5yearly,25_29,2411.945
925,1995,estimates,5yearly,30_34,2233.274
