continent,variant,year,oldagedependencyratio1564
904,Estimates,1950,6.33288051428026
904,Estimates,1955,6.44348203672712
904,Estimates,1960,6.77847001088314
904,Estimates,1965,7.20524767861752
904,Estimates,1970,7.46017238534913
904,Estimates,1975,7.63525391251342
904,Estimates,1980,7.78783396573476
904,Estimates,1985,7.82113042168251
904,Estimates,1990,8.04900787673233
904,Estimates,1995,8.43558972545907
904,Estimates,2000,8.91789816109675
904,Estimates,2005,9.56600575063493
904,Estimates,2010,10.3161892037647
904,Constant_fertility,2015,11.4100193838882
904,Constant_mortality,2015,11.4100193838882
904,Estimates,2015,11.4100193838882
904,High_variant,2015,11.4100193838882
904,Instant_replacement,2015,11.4100193838882
904,Low_variant,2015,11.4100193838882
904,Medium_variant,2015,11.4100193838882
904,No_change,2015,11.4100193838882
904,Zero_migration,2015,11.4100193838882
904,Constant_fertility,2020,13.1315668200915
904,Constant_mortality,2020,12.9961613213647
904,High_variant,2020,13.1315668200915
904,Instant_replacement,2020,13.1315668200915
904,Low_variant,2020,13.1315668200915
904,Medium_variant,2020,13.1315668200915
904,No_change,2020,12.9961613213647
904,Zero_migration,2020,13.1057996085118
904,Constant_fertility,2025,15.2791006813971
904,Constant_mortality,2025,14.8850295400632
904,High_variant,2025,15.2791006813971
904,Instant_replacement,2025,15.2791006487327
904,Low_variant,2025,15.2791006813971
904,Medium_variant,2025,15.2791006813971
904,No_change,2025,14.8850295400632
904,Zero_migration,2025,15.2207873810613
904,Constant_fertility,2030,17.9641853440553
904,Constant_mortality,2030,17.1687167111335
904,High_variant,2030,17.9641853440553
904,Instant_replacement,2030,17.9641853067947
904,Low_variant,2030,17.9641853440553
904,Medium_variant,2030,17.9641853440553
904,No_change,2030,17.1687167111335
904,Zero_migration,2030,17.8610193204113
904,Constant_fertility,2035,20.6739905351705
904,Constant_mortality,2035,19.4501111002332
904,High_variant,2035,20.5319122276642
904,Instant_replacement,2035,20.7338025701694
904,Low_variant,2035,21.0690344824278
904,Medium_variant,2035,20.7970072117476
904,No_change,2035,19.3347644808619
904,Zero_migration,2035,20.6350278040763
904,Constant_fertility,2040,23.339180590959
904,Constant_mortality,2040,21.6711449696561
904,High_variant,2040,22.9640034370066
904,Instant_replacement,2040,23.4921520381716
904,Low_variant,2040,24.5521122810363
904,Medium_variant,2040,23.7315196914018
904,No_change,2040,21.3116490577528
904,Zero_migration,2040,23.4938065427029
904,Constant_fertility,2045,26.2763990380945
904,Constant_mortality,2045,24.1337472674856
904,High_variant,2045,25.5916875164551
904,Instant_replacement,2045,26.5624686533058
904,Low_variant,2045,28.8057657993208
904,Medium_variant,2045,27.1037754492062
904,No_change,2045,23.3936306587305
904,Zero_migration,2045,26.7707138258549
904,Constant_fertility,2050,29.3767291531901
904,Constant_mortality,2050,26.7540972267687
904,High_variant,2050,28.3934318683577
904,Instant_replacement,2050,29.8487530718983
904,Low_variant,2050,33.7248485425407
904,Medium_variant,2050,30.836607224504
904,No_change,2050,25.4802705887203
904,Zero_migration,2050,30.395454768992
904,Constant_fertility,2055,32.2950879818823
904,Constant_mortality,2055,29.2508719989036
904,High_variant,2055,31.0060591786806
904,Instant_replacement,2055,33.0277205271283
904,Low_variant,2055,39.1106240067431
904,Medium_variant,2055,34.628228492824
904,No_change,2055,27.2674572770995
904,Zero_migration,2055,34.0867098675451
904,Constant_fertility,2060,34.7954979062146
904,Constant_mortality,2060,31.4728650509025
904,High_variant,2060,33.1746672339029
904,Instant_replacement,2060,35.8802655774808
904,Low_variant,2060,44.9028576821083
904,Medium_variant,2060,38.282093008119
904,No_change,2060,28.5873866887701
904,Zero_migration,2060,37.6672348066844
904,Constant_fertility,2065,37.0132147513147
904,Constant_mortality,2065,33.6116415394687
904,High_variant,2065,35.007970788916
904,Instant_replacement,2065,38.550866012391
904,Low_variant,2065,51.5476416725511
904,Medium_variant,2065,41.9899113088859
904,No_change,2065,29.6025798942949
904,Zero_migration,2065,41.3240684479934
904,Constant_fertility,2070,38.6914981413337
904,Constant_mortality,2070,35.4522145812002
904,High_variant,2070,36.2821943588557
904,Instant_replacement,2070,40.7650257628287
904,Low_variant,2070,58.9434190728015
904,Medium_variant,2070,45.476682272419
904,No_change,2070,30.1333518581783
904,Zero_migration,2070,44.7676718556564
904,Constant_fertility,2075,39.4016865173151
904,Constant_mortality,2075,36.5671968455273
904,High_variant,2075,36.6577692392284
904,Instant_replacement,2075,42.0518617148473
904,Low_variant,2075,66.4439532402694
904,Medium_variant,2075,48.1693914693916
904,No_change,2075,29.8822058644275
904,Zero_migration,2075,47.4242727911251
904,Constant_fertility,2080,39.6950894080082
904,Constant_mortality,2080,37.5436363002623
904,High_variant,2080,36.6943753169117
904,Instant_replacement,2080,42.9924535474409
904,Low_variant,2080,75.1363100061715
904,Medium_variant,2080,50.6954505255797
904,No_change,2080,29.3770782231596
904,Zero_migration,2080,49.8806743349601
904,Constant_fertility,2085,40.2090956363178
904,Constant_mortality,2085,38.3054996429137
904,High_variant,2085,37.6784773215
904,Instant_replacement,2085,43.9648487975374
904,Low_variant,2085,81.3293703845284
904,Medium_variant,2085,52.9927502183112
904,No_change,2085,29.1438351431477
904,Zero_migration,2085,52.1072353793083
904,Constant_fertility,2090,40.8035599011838
904,Constant_mortality,2090,38.8137160003551
904,High_variant,2090,39.0251566449369
904,Instant_replacement,2090,45.0605751150821
904,Low_variant,2090,85.4164763499679
904,Medium_variant,2090,54.9897531656503
904,No_change,2090,29.0394309475108
904,Zero_migration,2090,54.0681066353717
904,Constant_fertility,2095,41.3103619259645
904,Constant_mortality,2095,39.0733432751266
904,High_variant,2095,40.3801948308413
904,Instant_replacement,2095,46.1135519616818
904,Low_variant,2095,87.7293566014302
904,Medium_variant,2095,56.6400871484202
904,No_change,2095,28.9122181802431
904,Zero_migration,2095,55.7073897133285
904,Constant_fertility,2100,41.689598121068
904,Constant_mortality,2100,39.1439358301534
904,High_variant,2100,41.2878535003654
904,Instant_replacement,2100,47.0755970955908
904,Low_variant,2100,90.0556560975614
904,Medium_variant,2100,58.002437893585
904,No_change,2100,28.7001193730811
904,Zero_migration,2100,57.0682020257079
