variant,country,year,oldagedependencyratio2064
estimates,52,1950,11.005
estimates,52,1951,11.503
estimates,52,1952,12.039
estimates,52,1953,12.549
estimates,52,1954,12.992
estimates,52,1955,13.404
estimates,52,1956,13.441
estimates,52,1957,13.573
estimates,52,1958,13.835
estimates,52,1959,14.219
estimates,52,1960,14.671
estimates,52,1961,15.011
estimates,52,1962,15.307
estimates,52,1963,15.624
estimates,52,1964,16.006
estimates,52,1965,16.475
estimates,52,1966,16.931
estimates,52,1967,17.422
estimates,52,1968,17.942
estimates,52,1969,18.444
estimates,52,1970,18.899
estimates,52,1971,19.045
estimates,52,1972,19.333
estimates,52,1973,19.816
estimates,52,1974,20.424
estimates,52,1975,21.025
estimates,52,1976,21.286
estimates,52,1977,21.393
estimates,52,1978,21.468
estimates,52,1979,21.581
estimates,52,1980,21.724
estimates,52,1981,21.424
estimates,52,1982,21.053
estimates,52,1983,20.619
estimates,52,1984,20.133
estimates,52,1985,19.614
estimates,52,1986,19.296
estimates,52,1987,18.942
estimates,52,1988,18.586
estimates,52,1989,18.259
estimates,52,1990,17.97
estimates,52,1991,17.926
estimates,52,1992,17.938
estimates,52,1993,17.988
estimates,52,1994,18.066
estimates,52,1995,18.157
estimates,52,1996,18.344
estimates,52,1997,18.569
estimates,52,1998,18.837
estimates,52,1999,19.155
estimates,52,2000,19.521
estimates,52,2001,19.493
estimates,52,2002,19.462
estimates,52,2003,19.432
estimates,52,2004,19.398
estimates,52,2005,19.367
estimates,52,2006,19.468
estimates,52,2007,19.599
estimates,52,2008,19.797
estimates,52,2009,20.097
estimates,52,2010,20.508
estimates,52,2011,20.932
estimates,52,2012,21.464
estimates,52,2013,22.101
estimates,52,2014,22.822
estimates,52,2015,23.607
medium_variant,52,2015,23.607
medium_variant,52,2016,24.327
medium_variant,52,2017,25.106
medium_variant,52,2018,25.967
medium_variant,52,2019,26.928
medium_variant,52,2020,27.99
medium_variant,52,2021,28.993
medium_variant,52,2022,30.079
medium_variant,52,2023,31.245
medium_variant,52,2024,32.481
medium_variant,52,2025,33.761
medium_variant,52,2026,34.898
medium_variant,52,2027,36.077
medium_variant,52,2028,37.279
medium_variant,52,2029,38.46
medium_variant,52,2030,39.58
medium_variant,52,2031,40.416
medium_variant,52,2032,41.169
medium_variant,52,2033,41.893
medium_variant,52,2034,42.647
medium_variant,52,2035,43.464
medium_variant,52,2036,44.107
medium_variant,52,2037,44.803
medium_variant,52,2038,45.528
medium_variant,52,2039,46.226
medium_variant,52,2040,46.845
