variant,country,year,gender,oldagedependencyratio2069
estimates,48,1950,male,2.902
estimates,48,1951,male,2.868
estimates,48,1952,male,2.831
estimates,48,1953,male,2.775
estimates,48,1954,male,2.705
estimates,48,1955,male,2.652
estimates,48,1956,male,2.669
estimates,48,1957,male,2.678
estimates,48,1958,male,2.706
estimates,48,1959,male,2.737
estimates,48,1960,male,2.79
estimates,48,1961,male,2.879
estimates,48,1962,male,2.866
estimates,48,1963,male,2.738
estimates,48,1964,male,2.5
estimates,48,1965,male,2.154
estimates,48,1966,male,2.223
estimates,48,1967,male,2.293
estimates,48,1968,male,2.4
estimates,48,1969,male,2.537
estimates,48,1970,male,2.726
estimates,48,1971,male,2.714
estimates,48,1972,male,2.668
estimates,48,1973,male,2.607
estimates,48,1974,male,2.52
estimates,48,1975,male,2.43
estimates,48,1976,male,2.297
estimates,48,1977,male,2.171
estimates,48,1978,male,2.048
estimates,48,1979,male,1.929
estimates,48,1980,male,1.812
estimates,48,1981,male,1.951
estimates,48,1982,male,2.073
estimates,48,1983,male,2.175
estimates,48,1984,male,2.277
estimates,48,1985,male,2.387
estimates,48,1986,male,2.33
estimates,48,1987,male,2.245
estimates,48,1988,male,2.11
estimates,48,1989,male,1.935
estimates,48,1990,male,1.749
estimates,48,1991,male,1.812
estimates,48,1992,male,1.868
estimates,48,1993,male,1.903
estimates,48,1994,male,1.915
estimates,48,1995,male,1.91
estimates,48,1996,male,1.957
estimates,48,1997,male,2
estimates,48,1998,male,2.025
estimates,48,1999,male,2.031
estimates,48,2000,male,2.021
estimates,48,2001,male,1.926
estimates,48,2002,male,1.829
estimates,48,2003,male,1.734
estimates,48,2004,male,1.644
estimates,48,2005,male,1.567
estimates,48,2006,male,1.47
estimates,48,2007,male,1.387
estimates,48,2008,male,1.317
estimates,48,2009,male,1.253
estimates,48,2010,male,1.194
estimates,48,2011,male,1.237
estimates,48,2012,male,1.28
estimates,48,2013,male,1.329
estimates,48,2014,male,1.38
estimates,48,2015,male,1.425
medium_variant,48,2015,male,1.425
medium_variant,48,2016,male,1.398
medium_variant,48,2017,male,1.38
medium_variant,48,2018,male,1.373
medium_variant,48,2019,male,1.374
medium_variant,48,2020,male,1.382
medium_variant,48,2021,male,1.464
medium_variant,48,2022,male,1.546
medium_variant,48,2023,male,1.646
medium_variant,48,2024,male,1.79
medium_variant,48,2025,male,1.987
medium_variant,48,2026,male,2.25
medium_variant,48,2027,male,2.557
medium_variant,48,2028,male,2.884
medium_variant,48,2029,male,3.197
medium_variant,48,2030,male,3.479
medium_variant,48,2031,male,3.759
medium_variant,48,2032,male,4.014
medium_variant,48,2033,male,4.264
medium_variant,48,2034,male,4.53
medium_variant,48,2035,male,4.827
medium_variant,48,2036,male,5.157
medium_variant,48,2037,male,5.504
medium_variant,48,2038,male,5.872
medium_variant,48,2039,male,6.265
medium_variant,48,2040,male,6.691
medium_variant,48,2041,male,7.155
medium_variant,48,2042,male,7.655
medium_variant,48,2043,male,8.177
medium_variant,48,2044,male,8.686
medium_variant,48,2045,male,9.145
medium_variant,48,2046,male,9.545
medium_variant,48,2047,male,9.894
