variant,region,year,oldagedependencyratio2069
estimates,926,1950,9.843
estimates,926,1951,10.104
estimates,926,1952,10.313
estimates,926,1953,10.477
estimates,926,1954,10.605
estimates,926,1955,10.704
estimates,926,1956,10.94
estimates,926,1957,11.134
estimates,926,1958,11.29
estimates,926,1959,11.414
estimates,926,1960,11.514
estimates,926,1961,11.73
estimates,926,1962,11.907
estimates,926,1963,12.059
estimates,926,1964,12.198
estimates,926,1965,12.33
estimates,926,1966,12.601
estimates,926,1967,12.833
estimates,926,1968,13.034
estimates,926,1969,13.218
estimates,926,1970,13.394
estimates,926,1971,13.754
estimates,926,1972,14.079
estimates,926,1973,14.366
estimates,926,1974,14.609
estimates,926,1975,14.807
estimates,926,1976,15.175
estimates,926,1977,15.473
estimates,926,1978,15.71
estimates,926,1979,15.898
estimates,926,1980,16.041
estimates,926,1981,16.329
estimates,926,1982,16.589
estimates,926,1983,16.758
estimates,926,1984,16.735
estimates,926,1985,16.483
estimates,926,1986,16.164
estimates,926,1987,15.64
estimates,926,1988,15.054
estimates,926,1989,14.593
estimates,926,1990,14.348
estimates,926,1991,14.428
estimates,926,1992,14.673
estimates,926,1993,15.014
estimates,926,1994,15.347
estimates,926,1995,15.614
estimates,926,1996,15.994
estimates,926,1997,16.331
estimates,926,1998,16.627
estimates,926,1999,16.883
estimates,926,2000,17.102
estimates,926,2001,17.39
estimates,926,2002,17.629
estimates,926,2003,17.857
estimates,926,2004,18.115
estimates,926,2005,18.422
estimates,926,2006,18.849
estimates,926,2007,19.347
estimates,926,2008,19.859
estimates,926,2009,20.324
estimates,926,2010,20.725
estimates,926,2011,21.041
estimates,926,2012,21.279
estimates,926,2013,21.502
estimates,926,2014,21.773
estimates,926,2015,22.101
medium_variant,926,2015,22.101
medium_variant,926,2016,22.46
medium_variant,926,2017,22.879
medium_variant,926,2018,23.346
medium_variant,926,2019,23.818
medium_variant,926,2020,24.285
medium_variant,926,2021,24.763
medium_variant,926,2022,25.258
medium_variant,926,2023,25.779
medium_variant,926,2024,26.339
medium_variant,926,2025,26.946
medium_variant,926,2026,27.551
medium_variant,926,2027,28.199
medium_variant,926,2028,28.905
medium_variant,926,2029,29.681
medium_variant,926,2030,30.523
medium_variant,926,2031,31.346
medium_variant,926,2032,32.247
medium_variant,926,2033,33.198
medium_variant,926,2034,34.165
medium_variant,926,2035,35.137
medium_variant,926,2036,36.007
medium_variant,926,2037,36.883
medium_variant,926,2038,37.742
medium_variant,926,2039,38.535
medium_variant,926,2040,39.212
medium_variant,926,2041,39.598
medium_variant,926,2042,39.895
medium_variant,926,2043,40.112
medium_variant,926,2044,40.273
medium_variant,926,2045,40.411
medium_variant,926,2046,40.35
medium_variant,926,2047,40.282
medium_variant,926,2048,40.237
medium_variant,926,2049,40.252
medium_variant,926,2050,40.344
medium_variant,926,2051,40.327
medium_variant,926,2052,40.414
medium_variant,926,2053,40.59
medium_variant,926,2054,40.818
medium_variant,926,2055,41.068
medium_variant,926,2056,41.169
medium_variant,926,2057,41.34
medium_variant,926,2058,41.558
medium_variant,926,2059,41.784
medium_variant,926,2060,41.992
medium_variant,926,2061,42.024
medium_variant,926,2062,42.085
medium_variant,926,2063,42.166
medium_variant,926,2064,42.272
medium_variant,926,2065,42.42
medium_variant,926,2066,42.43
medium_variant,926,2067,42.493
medium_variant,926,2068,42.612
medium_variant,926,2069,42.79
medium_variant,926,2070,43.019
medium_variant,926,2071,43.031
medium_variant,926,2072,43.1
medium_variant,926,2073,43.234
medium_variant,926,2074,43.422
medium_variant,926,2075,43.647
medium_variant,926,2076,43.62
medium_variant,926,2077,43.664
medium_variant,926,2078,43.766
medium_variant,926,2079,43.911
medium_variant,926,2080,44.099
medium_variant,926,2081,44.078
medium_variant,926,2082,44.131
medium_variant,926,2083,44.254
medium_variant,926,2084,44.443
medium_variant,926,2085,44.703
medium_variant,926,2086,44.751
medium_variant,926,2087,44.877
medium_variant,926,2088,45.088
medium_variant,926,2089,45.379
medium_variant,926,2090,45.737
medium_variant,926,2091,45.844
medium_variant,926,2092,46.032
medium_variant,926,2093,46.291
medium_variant,926,2094,46.61
medium_variant,926,2095,46.983
medium_variant,926,2096,47.096
medium_variant,926,2097,47.276
medium_variant,926,2098,47.526
medium_variant,926,2099,47.842
