variant,global,year,oldagedependencyratio2564
estimates,900,1950,6.545
estimates,900,1951,6.648
estimates,900,1952,6.708
estimates,900,1953,6.723
estimates,900,1954,6.696
estimates,900,1955,6.632
estimates,900,1956,6.745
estimates,900,1957,6.815
estimates,900,1958,6.84
estimates,900,1959,6.819
estimates,900,1960,6.754
estimates,900,1961,6.865
estimates,900,1962,6.933
estimates,900,1963,6.963
estimates,900,1964,6.966
estimates,900,1965,6.945
estimates,900,1966,7.098
estimates,900,1967,7.226
estimates,900,1968,7.329
estimates,900,1969,7.409
estimates,900,1970,7.465
estimates,900,1971,7.633
estimates,900,1972,7.765
estimates,900,1973,7.863
estimates,900,1974,7.931
estimates,900,1975,7.972
estimates,900,1976,8.123
estimates,900,1977,8.234
estimates,900,1978,8.313
estimates,900,1979,8.368
estimates,900,1980,8.407
estimates,900,1981,8.538
estimates,900,1982,8.646
estimates,900,1983,8.719
estimates,900,1984,8.738
estimates,900,1985,8.699
estimates,900,1986,8.721
estimates,900,1987,8.687
estimates,900,1988,8.621
estimates,900,1989,8.551
estimates,900,1990,8.494
estimates,900,1991,8.546
estimates,900,1992,8.59
estimates,900,1993,8.627
estimates,900,1994,8.658
estimates,900,1995,8.683
estimates,900,1996,8.8
estimates,900,1997,8.902
estimates,900,1998,8.989
estimates,900,1999,9.057
estimates,900,2000,9.108
estimates,900,2001,9.235
estimates,900,2002,9.337
estimates,900,2003,9.421
estimates,900,2004,9.494
estimates,900,2005,9.56
estimates,900,2006,9.698
estimates,900,2007,9.825
estimates,900,2008,9.931
estimates,900,2009,10.002
estimates,900,2010,10.035
estimates,900,2011,10.098
estimates,900,2012,10.127
estimates,900,2013,10.142
estimates,900,2014,10.169
estimates,900,2015,10.219
medium_variant,900,2015,10.219
medium_variant,900,2016,10.348
medium_variant,900,2017,10.486
medium_variant,900,2018,10.644
medium_variant,900,2019,10.832
medium_variant,900,2020,11.057
medium_variant,900,2021,11.371
medium_variant,900,2022,11.713
medium_variant,900,2023,12.068
medium_variant,900,2024,12.413
medium_variant,900,2025,12.738
medium_variant,900,2026,13.091
medium_variant,900,2027,13.42
medium_variant,900,2028,13.739
medium_variant,900,2029,14.064
medium_variant,900,2030,14.404
medium_variant,900,2031,14.787
medium_variant,900,2032,15.172
medium_variant,900,2033,15.561
medium_variant,900,2034,15.95
medium_variant,900,2035,16.342
medium_variant,900,2036,16.759
medium_variant,900,2037,17.167
medium_variant,900,2038,17.568
medium_variant,900,2039,17.959
medium_variant,900,2040,18.338
medium_variant,900,2041,18.724
medium_variant,900,2042,19.094
medium_variant,900,2043,19.445
medium_variant,900,2044,19.766
medium_variant,900,2045,20.053
medium_variant,900,2046,20.326
medium_variant,900,2047,20.567
medium_variant,900,2048,20.791
medium_variant,900,2049,21.019
medium_variant,900,2050,21.268
medium_variant,900,2051,21.551
medium_variant,900,2052,21.841
medium_variant,900,2053,22.149
medium_variant,900,2054,22.489
medium_variant,900,2055,22.863
medium_variant,900,2056,23.275
medium_variant,900,2057,23.717
medium_variant,900,2058,24.169
medium_variant,900,2059,24.601
medium_variant,900,2060,24.993
medium_variant,900,2061,25.349
medium_variant,900,2062,25.671
medium_variant,900,2063,25.957
medium_variant,900,2064,26.208
medium_variant,900,2065,26.425
medium_variant,900,2066,26.601
medium_variant,900,2067,26.745
medium_variant,900,2068,26.865
medium_variant,900,2069,26.977
medium_variant,900,2070,27.095
medium_variant,900,2071,27.201
medium_variant,900,2072,27.31
medium_variant,900,2073,27.429
medium_variant,900,2074,27.564
medium_variant,900,2075,27.717
medium_variant,900,2076,27.857
medium_variant,900,2077,28.014
medium_variant,900,2078,28.194
medium_variant,900,2079,28.396
medium_variant,900,2080,28.618
medium_variant,900,2081,28.831
medium_variant,900,2082,29.073
medium_variant,900,2083,29.333
medium_variant,900,2084,29.597
medium_variant,900,2085,29.863
medium_variant,900,2086,30.109
medium_variant,900,2087,30.361
medium_variant,900,2088,30.619
medium_variant,900,2089,30.88
medium_variant,900,2090,31.144
medium_variant,900,2091,31.356
medium_variant,900,2092,31.567
medium_variant,900,2093,31.782
medium_variant,900,2094,32.005
medium_variant,900,2095,32.238
medium_variant,900,2096,32.4
medium_variant,900,2097,32.575
medium_variant,900,2098,32.768
medium_variant,900,2099,32.973
medium_variant,900,2100,33.187
high_variant,900,2015,16.7454672753139
low_variant,900,2015,16.7454672753139
constant_fertility,900,2015,16.7454672753139
instant_replacement,900,2015,16.7454672753139
zero_migration,900,2015,16.7454672753139
constant_mortality,900,2015,16.7454672753139
no_change,900,2015,16.7454672753139
high_variant,900,2020,18.750883439861
low_variant,900,2020,18.750883439861
constant_fertility,900,2020,18.750883439861
instant_replacement,900,2020,18.7509014808212
zero_migration,900,2020,18.7539323664188
constant_mortality,900,2020,18.5557327785246
no_change,900,2020,18.5557307034528
high_variant,900,2025,20.941559029441
low_variant,900,2025,20.941559029441
constant_fertility,900,2025,20.941559029441
instant_replacement,900,2025,20.9416456166285
zero_migration,900,2025,20.9489045612443
constant_mortality,900,2025,20.385621648879
no_change,900,2025,20.3856096174283
high_variant,900,2030,23.631290986419
low_variant,900,2030,23.631290986419
constant_fertility,900,2030,23.631290986419
instant_replacement,900,2030,23.6315779347986
zero_migration,900,2030,23.6408412795243
constant_mortality,900,2030,22.5356990562742
no_change,900,2030,22.5356486438581
high_variant,900,2035,26.4600121461699
low_variant,900,2035,26.4600121461699
constant_fertility,900,2035,26.4600121461699
instant_replacement,900,2035,26.4606621010108
zero_migration,900,2035,26.4762760297271
constant_mortality,900,2035,24.6480979020799
no_change,900,2035,24.6479661125644
high_variant,900,2040,28.85376090196
low_variant,900,2040,28.85376090196
constant_fertility,900,2040,28.85376090196
instant_replacement,900,2040,28.8546366240234
zero_migration,900,2040,28.8904339021478
constant_mortality,900,2040,26.1730127295459
no_change,900,2040,26.1727725844724
high_variant,900,2045,30.1024247432216
low_variant,900,2045,30.9967289964569
constant_fertility,900,2045,30.3520301902111
