variant,region,year,gender,oldagedependencyratio2564
estimates,906,1950,male,3.819
estimates,906,1951,male,3.965
estimates,906,1952,male,4.063
estimates,906,1953,male,4.098
estimates,906,1954,male,4.056
estimates,906,1955,male,3.933
estimates,906,1956,male,4.002
estimates,906,1957,male,3.995
estimates,906,1958,male,3.92
estimates,906,1959,male,3.786
estimates,906,1960,male,3.596
estimates,906,1961,male,3.728
estimates,906,1962,male,3.811
estimates,906,1963,male,3.833
estimates,906,1964,male,3.785
estimates,906,1965,male,3.669
estimates,906,1966,male,3.842
estimates,906,1967,male,3.985
estimates,906,1968,male,4.102
estimates,906,1969,male,4.196
estimates,906,1970,male,4.268
estimates,906,1971,male,4.444
estimates,906,1972,male,4.598
estimates,906,1973,male,4.724
estimates,906,1974,male,4.813
estimates,906,1975,male,4.866
estimates,906,1976,male,4.985
estimates,906,1977,male,5.065
estimates,906,1978,male,5.124
estimates,906,1979,male,5.184
estimates,906,1980,male,5.257
estimates,906,1981,male,5.433
estimates,906,1982,male,5.602
estimates,906,1983,male,5.76
estimates,906,1984,male,5.902
estimates,906,1985,male,6.023
estimates,906,1986,male,6.214
estimates,906,1987,male,6.38
estimates,906,1988,male,6.516
estimates,906,1989,male,6.612
estimates,906,1990,male,6.669
estimates,906,1991,male,6.769
estimates,906,1992,male,6.819
estimates,906,1993,male,6.839
estimates,906,1994,male,6.854
estimates,906,1995,male,6.88
estimates,906,1996,male,6.995
estimates,906,1997,male,7.099
estimates,906,1998,male,7.198
estimates,906,1999,male,7.298
estimates,906,2000,male,7.405
estimates,906,2001,male,7.635
estimates,906,2002,male,7.862
estimates,906,2003,male,8.084
estimates,906,2004,male,8.295
estimates,906,2005,male,8.491
estimates,906,2006,male,8.75
estimates,906,2007,male,8.988
estimates,906,2008,male,9.196
estimates,906,2009,male,9.361
estimates,906,2010,male,9.477
estimates,906,2011,male,9.623
estimates,906,2012,male,9.716
estimates,906,2013,male,9.786
estimates,906,2014,male,9.872
estimates,906,2015,male,9.998
medium_variant,906,2015,male,9.998
medium_variant,906,2016,male,10.241
medium_variant,906,2017,male,10.495
medium_variant,906,2018,male,10.786
medium_variant,906,2019,male,11.147
medium_variant,906,2020,male,11.597
medium_variant,906,2021,male,12.207
medium_variant,906,2022,male,12.892
medium_variant,906,2023,male,13.603
medium_variant,906,2024,male,14.267
medium_variant,906,2025,male,14.844
medium_variant,906,2026,male,15.415
medium_variant,906,2027,male,15.897
medium_variant,906,2028,male,16.34
medium_variant,906,2029,male,16.814
medium_variant,906,2030,male,17.36
medium_variant,906,2031,male,18.034
medium_variant,906,2032,male,18.737
medium_variant,906,2033,male,19.483
medium_variant,906,2034,male,20.294
medium_variant,906,2035,male,21.183
medium_variant,906,2036,male,22.206
medium_variant,906,2037,male,23.269
medium_variant,906,2038,male,24.353
medium_variant,906,2039,male,25.43
medium_variant,906,2040,male,26.478
medium_variant,906,2041,male,27.563
medium_variant,906,2042,male,28.603
medium_variant,906,2043,male,29.563
medium_variant,906,2044,male,30.378
medium_variant,906,2045,male,31.014
medium_variant,906,2046,male,31.56
medium_variant,906,2047,male,31.91
medium_variant,906,2048,male,32.133
medium_variant,906,2049,male,32.324
medium_variant,906,2050,male,32.55
medium_variant,906,2051,male,32.888
medium_variant,906,2052,male,33.193
medium_variant,906,2053,male,33.552
medium_variant,906,2054,male,34.084
medium_variant,906,2055,male,34.858
medium_variant,906,2056,male,35.971
medium_variant,906,2057,male,37.298
medium_variant,906,2058,male,38.723
medium_variant,906,2059,male,40.051
medium_variant,906,2060,male,41.16
medium_variant,906,2061,male,42.165
medium_variant,906,2062,male,42.903
medium_variant,906,2063,male,43.416
medium_variant,906,2064,male,43.773
medium_variant,906,2065,male,44.025
medium_variant,906,2066,male,44.211
medium_variant,906,2067,male,44.212
medium_variant,906,2068,male,44.098
medium_variant,906,2069,male,43.954
medium_variant,906,2070,male,43.85
medium_variant,906,2071,male,43.749
medium_variant,906,2072,male,43.638
medium_variant,906,2073,male,43.559
medium_variant,906,2074,male,43.54
medium_variant,906,2075,male,43.595
medium_variant,906,2076,male,43.666
medium_variant,906,2077,male,43.769
medium_variant,906,2078,male,43.924
medium_variant,906,2079,male,44.152
medium_variant,906,2080,male,44.473
medium_variant,906,2081,male,44.902
medium_variant,906,2082,male,45.353
medium_variant,906,2083,male,45.81
medium_variant,906,2084,male,46.272
medium_variant,906,2085,male,46.779
medium_variant,906,2086,male,47.256
medium_variant,906,2087,male,47.668
medium_variant,906,2088,male,48.075
medium_variant,906,2089,male,48.511
medium_variant,906,2090,male,48.982
medium_variant,906,2091,male,49.276
medium_variant,906,2092,male,49.526
medium_variant,906,2093,male,49.759
medium_variant,906,2094,male,50.005
medium_variant,906,2095,male,50.289
medium_variant,906,2096,male,50.372
medium_variant,906,2097,male,50.447
medium_variant,906,2098,male,50.539
medium_variant,906,2099,male,50.656
medium_variant,906,2100,male,50.807
estimates,906,1950,female,6.036
estimates,906,1951,female,6.212
estimates,906,1952,female,6.344
estimates,906,1953,female,6.415
estimates,906,1954,female,6.402
estimates,906,1955,female,6.297
estimates,906,1956,female,6.342
estimates,906,1957,female,6.301
estimates,906,1958,female,6.191
estimates,906,1959,female,6.033
estimates,906,1960,female,5.836
estimates,906,1961,female,5.96
estimates,906,1962,female,6.039
estimates,906,1963,female,6.064
estimates,906,1964,female,6.025
estimates,906,1965,female,5.921
estimates,906,1966,female,6.098
estimates,906,1967,female,6.243
estimates,906,1968,female,6.372
estimates,906,1969,female,6.497
estimates,906,1970,female,6.624
estimates,906,1971,female,6.841
estimates,906,1972,female,7.043
estimates,906,1973,female,7.222
estimates,906,1974,female,7.362
estimates,906,1975,female,7.461
estimates,906,1976,female,7.606
estimates,906,1977,female,7.703
estimates,906,1978,female,7.775
estimates,906,1979,female,7.847
estimates,906,1980,female,7.937
estimates,906,1981,female,8.114
estimates,906,1982,female,8.29
estimates,906,1983,female,8.461
estimates,906,1984,female,8.615
estimates,906,1985,female,8.746
estimates,906,1986,female,8.917
estimates,906,1987,female,9.057
estimates,906,1988,female,9.165
estimates,906,1989,female,9.238
estimates,906,1990,female,9.281
estimates,906,1991,female,9.353
estimates,906,1992,female,9.387
estimates,906,1993,female,9.396
estimates,906,1994,female,9.402
estimates,906,1995,female,9.417
estimates,906,1996,female,9.479
estimates,906,1997,female,9.537
estimates,906,1998,female,9.605
estimates,906,1999,female,9.696
estimates,906,2000,female,9.819
estimates,906,2001,female,10.028
estimates,906,2002,female,10.253
estimates,906,2003,female,10.486
estimates,906,2004,female,10.712
estimates,906,2005,female,10.922
estimates,906,2006,female,11.164
estimates,906,2007,female,11.386
estimates,906,2008,female,11.586
estimates,906,2009,female,11.752
estimates,906,2010,female,11.883
estimates,906,2011,female,11.997
estimates,906,2012,female,12.069
estimates,906,2013,female,12.137
estimates,906,2014,female,12.246
estimates,906,2015,female,12.427
medium_variant,906,2015,female,12.427
medium_variant,906,2016,female,12.705
medium_variant,906,2017,female,13.025
medium_variant,906,2018,female,13.412
medium_variant,906,2019,female,13.891
medium_variant,906,2020,female,14.48
medium_variant,906,2021,female,15.195
medium_variant,906,2022,female,16.011
medium_variant,906,2023,female,16.878
medium_variant,906,2024,female,17.717
medium_variant,906,2025,female,18.486
medium_variant,906,2026,female,19.19
medium_variant,906,2027,female,19.814
medium_variant,906,2028,female,20.411
medium_variant,906,2029,female,21.062
medium_variant,906,2030,female,21.817
medium_variant,906,2031,female,22.642
medium_variant,906,2032,female,23.525
medium_variant,906,2033,female,24.487
medium_variant,906,2034,female,25.559
medium_variant,906,2035,female,26.76
medium_variant,906,2036,female,28.035
medium_variant,906,2037,female,29.402
medium_variant,906,2038,female,30.835
medium_variant,906,2039,female,32.285
medium_variant,906,2040,female,33.719
medium_variant,906,2041,female,35.08
medium_variant,906,2042,female,36.399
medium_variant,906,2043,female,37.639
medium_variant,906,2044,female,38.739
medium_variant,906,2045,female,39.671
medium_variant,906,2046,female,40.379
medium_variant,906,2047,female,40.874
medium_variant,906,2048,female,41.234
medium_variant,906,2049,female,41.576
medium_variant,906,2050,female,41.991
medium_variant,906,2051,female,42.383
medium_variant,906,2052,female,42.757
medium_variant,906,2053,female,43.22
medium_variant,906,2054,female,43.905
medium_variant,906,2055,female,44.889
medium_variant,906,2056,female,46.115
medium_variant,906,2057,female,47.611
medium_variant,906,2058,female,49.235
medium_variant,906,2059,female,50.748
medium_variant,906,2060,female,52.002
medium_variant,906,2061,female,52.978
medium_variant,906,2062,female,53.613
medium_variant,906,2063,female,53.968
medium_variant,906,2064,female,54.151
medium_variant,906,2065,female,54.249
medium_variant,906,2066,female,54.161
medium_variant,906,2067,female,53.878
medium_variant,906,2068,female,53.478
medium_variant,906,2069,female,53.06
medium_variant,906,2070,female,52.707
medium_variant,906,2071,female,52.244
medium_variant,906,2072,female,51.781
medium_variant,906,2073,female,51.376
medium_variant,906,2074,female,51.061
medium_variant,906,2075,female,50.842
medium_variant,906,2076,female,50.562
medium_variant,906,2077,female,50.339
medium_variant,906,2078,female,50.19
medium_variant,906,2079,female,50.134
medium_variant,906,2080,female,50.197
medium_variant,906,2081,female,50.342
medium_variant,906,2082,female,50.532
medium_variant,906,2083,female,50.741
medium_variant,906,2084,female,50.971
