variant,continent,year,gender,oldagedependencyratio2569
estimates,904,1950,male,4.953
estimates,904,1951,male,4.984
estimates,904,1952,male,4.993
estimates,904,1953,male,4.982
estimates,904,1954,male,4.957
estimates,904,1955,male,4.92
estimates,904,1956,male,5.022
estimates,904,1957,male,5.108
estimates,904,1958,male,5.173
estimates,904,1959,male,5.217
estimates,904,1960,male,5.24
estimates,904,1961,male,5.35
estimates,904,1962,male,5.432
estimates,904,1963,male,5.493
estimates,904,1964,male,5.541
estimates,904,1965,male,5.581
estimates,904,1966,male,5.71
estimates,904,1967,male,5.82
estimates,904,1968,male,5.907
estimates,904,1969,male,5.973
estimates,904,1970,male,6.017
estimates,904,1971,male,6.138
estimates,904,1972,male,6.229
estimates,904,1973,male,6.29
estimates,904,1974,male,6.322
estimates,904,1975,male,6.33
estimates,904,1976,male,6.418
estimates,904,1977,male,6.472
estimates,904,1978,male,6.498
estimates,904,1979,male,6.501
estimates,904,1980,male,6.489
estimates,904,1981,male,6.555
estimates,904,1982,male,6.596
estimates,904,1983,male,6.608
estimates,904,1984,male,6.587
estimates,904,1985,male,6.537
estimates,904,1986,male,6.562
estimates,904,1987,male,6.554
estimates,904,1988,male,6.523
estimates,904,1989,male,6.482
estimates,904,1990,male,6.442
estimates,904,1991,male,6.502
estimates,904,1992,male,6.55
estimates,904,1993,male,6.586
estimates,904,1994,male,6.612
estimates,904,1995,male,6.629
estimates,904,1996,male,6.754
estimates,904,1997,male,6.866
estimates,904,1998,male,6.964
estimates,904,1999,male,7.045
estimates,904,2000,male,7.11
estimates,904,2001,male,7.224
estimates,904,2002,male,7.318
estimates,904,2003,male,7.398
estimates,904,2004,male,7.471
estimates,904,2005,male,7.543
estimates,904,2006,male,7.658
estimates,904,2007,male,7.763
estimates,904,2008,male,7.861
estimates,904,2009,male,7.952
estimates,904,2010,male,8.038
estimates,904,2011,male,8.17
estimates,904,2012,male,8.293
estimates,904,2013,male,8.414
estimates,904,2014,male,8.539
estimates,904,2015,male,8.674
medium_variant,904,2015,male,8.674
medium_variant,904,2016,male,8.859
medium_variant,904,2017,male,9.044
medium_variant,904,2018,male,9.236
medium_variant,904,2019,male,9.446
medium_variant,904,2020,male,9.681
medium_variant,904,2021,male,9.966
medium_variant,904,2022,male,10.263
medium_variant,904,2023,male,10.57
medium_variant,904,2024,male,10.885
medium_variant,904,2025,male,11.208
medium_variant,904,2026,male,11.559
medium_variant,904,2027,male,11.908
medium_variant,904,2028,male,12.264
medium_variant,904,2029,male,12.638
medium_variant,904,2030,male,13.037
medium_variant,904,2031,male,13.471
medium_variant,904,2032,male,13.916
medium_variant,904,2033,male,14.371
medium_variant,904,2034,male,14.831
medium_variant,904,2035,male,15.296
medium_variant,904,2036,male,15.77
medium_variant,904,2037,male,16.238
medium_variant,904,2038,male,16.707
medium_variant,904,2039,male,17.188
medium_variant,904,2040,male,17.689
medium_variant,904,2041,male,18.203
medium_variant,904,2042,male,18.721
medium_variant,904,2043,male,19.25
medium_variant,904,2044,male,19.8
medium_variant,904,2045,male,20.377
medium_variant,904,2046,male,20.973
medium_variant,904,2047,male,21.576
medium_variant,904,2048,male,22.195
medium_variant,904,2049,male,22.835
medium_variant,904,2050,male,23.507
medium_variant,904,2051,male,24.188
medium_variant,904,2052,male,24.876
medium_variant,904,2053,male,25.579
medium_variant,904,2054,male,26.301
medium_variant,904,2055,male,27.049
medium_variant,904,2056,male,27.781
medium_variant,904,2057,male,28.51
medium_variant,904,2058,male,29.244
medium_variant,904,2059,male,29.994
medium_variant,904,2060,male,30.771
medium_variant,904,2061,male,31.506
medium_variant,904,2062,male,32.231
medium_variant,904,2063,male,32.96
medium_variant,904,2064,male,33.706
medium_variant,904,2065,male,34.48
medium_variant,904,2066,male,35.19
medium_variant,904,2067,male,35.887
medium_variant,904,2068,male,36.58
medium_variant,904,2069,male,37.277
medium_variant,904,2070,male,37.991
medium_variant,904,2071,male,38.608
medium_variant,904,2072,male,39.196
medium_variant,904,2073,male,39.772
medium_variant,904,2074,male,40.356
medium_variant,904,2075,male,40.968
medium_variant,904,2076,male,41.478
medium_variant,904,2077,male,41.964
medium_variant,904,2078,male,42.451
medium_variant,904,2079,male,42.966
medium_variant,904,2080,male,43.536
medium_variant,904,2081,male,44.012
medium_variant,904,2082,male,44.485
medium_variant,904,2083,male,44.972
medium_variant,904,2084,male,45.489
medium_variant,904,2085,male,46.054
medium_variant,904,2086,male,46.498
medium_variant,904,2087,male,46.928
medium_variant,904,2088,male,47.365
medium_variant,904,2089,male,47.833
medium_variant,904,2090,male,48.354
medium_variant,904,2091,male,48.738
medium_variant,904,2092,male,49.106
medium_variant,904,2093,male,49.481
medium_variant,904,2094,male,49.89
medium_variant,904,2095,male,50.359
medium_variant,904,2096,male,50.672
medium_variant,904,2097,male,50.972
medium_variant,904,2098,male,51.286
medium_variant,904,2099,male,51.644
medium_variant,904,2100,male,52.073
estimates,904,1950,female,6.005
estimates,904,1951,female,6.014
estimates,904,1952,female,6.005
estimates,904,1953,female,5.986
estimates,904,1954,female,5.961
estimates,904,1955,female,5.934
estimates,904,1956,female,6.043
estimates,904,1957,female,6.14
estimates,904,1958,female,6.223
estimates,904,1959,female,6.289
estimates,904,1960,female,6.338
estimates,904,1961,female,6.458
estimates,904,1962,female,6.556
estimates,904,1963,female,6.641
estimates,904,1964,female,6.722
estimates,904,1965,female,6.803
estimates,904,1966,female,6.949
estimates,904,1967,female,7.082
estimates,904,1968,female,7.199
estimates,904,1969,female,7.297
estimates,904,1970,female,7.379
estimates,904,1971,female,7.507
estimates,904,1972,female,7.61
