variant,continent,year,oldagedependencyratio2569
estimates,908,1950,10.015
estimates,908,1951,10.179
estimates,908,1952,10.289
estimates,908,1953,10.362
estimates,908,1954,10.416
estimates,908,1955,10.458
estimates,908,1956,10.643
estimates,908,1957,10.81
estimates,908,1958,10.953
estimates,908,1959,11.059
estimates,908,1960,11.122
estimates,908,1961,11.307
estimates,908,1962,11.435
estimates,908,1963,11.535
estimates,908,1964,11.641
estimates,908,1965,11.777
estimates,908,1966,12.061
estimates,908,1967,12.352
estimates,908,1968,12.646
estimates,908,1969,12.931
estimates,908,1970,13.198
estimates,908,1971,13.593
estimates,908,1972,13.941
estimates,908,1973,14.247
estimates,908,1974,14.525
estimates,908,1975,14.783
estimates,908,1976,15.191
estimates,908,1977,15.547
estimates,908,1978,15.853
estimates,908,1979,16.108
estimates,908,1980,16.308
estimates,908,1981,16.604
estimates,908,1982,16.847
estimates,908,1983,16.999
estimates,908,1984,17.005
estimates,908,1985,16.849
estimates,908,1986,16.732
estimates,908,1987,16.468
estimates,908,1988,16.15
estimates,908,1989,15.905
estimates,908,1990,15.801
estimates,908,1991,15.967
estimates,908,1992,16.221
estimates,908,1993,16.529
estimates,908,1994,16.841
estimates,908,1995,17.126
estimates,908,1996,17.554
estimates,908,1997,17.956
estimates,908,1998,18.313
estimates,908,1999,18.604
estimates,908,2000,18.822
estimates,908,2001,19.137
estimates,908,2002,19.37
estimates,908,2003,19.558
estimates,908,2004,19.741
estimates,908,2005,19.933
estimates,908,2006,20.313
estimates,908,2007,20.719
estimates,908,2008,21.094
estimates,908,2009,21.376
estimates,908,2010,21.551
estimates,908,2011,21.749
estimates,908,2012,21.845
estimates,908,2013,21.912
estimates,908,2014,22.038
estimates,908,2015,22.254
medium_variant,908,2015,22.254
medium_variant,908,2016,22.586
medium_variant,908,2017,22.999
medium_variant,908,2018,23.48
medium_variant,908,2019,24.006
medium_variant,908,2020,24.569
medium_variant,908,2021,25.266
medium_variant,908,2022,26.012
medium_variant,908,2023,26.792
medium_variant,908,2024,27.588
medium_variant,908,2025,28.391
medium_variant,908,2026,29.261
medium_variant,908,2027,30.131
medium_variant,908,2028,31.008
medium_variant,908,2029,31.89
medium_variant,908,2030,32.763
medium_variant,908,2031,33.641
medium_variant,908,2032,34.52
medium_variant,908,2033,35.37
medium_variant,908,2034,36.165
medium_variant,908,2035,36.9
medium_variant,908,2036,37.584
medium_variant,908,2037,38.206
medium_variant,908,2038,38.796
medium_variant,908,2039,39.377
medium_variant,908,2040,39.946
medium_variant,908,2041,40.47
medium_variant,908,2042,40.994
medium_variant,908,2043,41.509
medium_variant,908,2044,42.005
medium_variant,908,2045,42.487
medium_variant,908,2046,42.953
medium_variant,908,2047,43.419
medium_variant,908,2048,43.898
medium_variant,908,2049,44.401
medium_variant,908,2050,44.926
medium_variant,908,2051,45.433
medium_variant,908,2052,45.972
medium_variant,908,2053,46.533
medium_variant,908,2054,47.09
medium_variant,908,2055,47.62
medium_variant,908,2056,48.061
medium_variant,908,2057,48.506
medium_variant,908,2058,48.918
medium_variant,908,2059,49.247
medium_variant,908,2060,49.468
medium_variant,908,2061,49.513
medium_variant,908,2062,49.492
medium_variant,908,2063,49.41
medium_variant,908,2064,49.277
medium_variant,908,2065,49.103
medium_variant,908,2066,48.795
medium_variant,908,2067,48.475
medium_variant,908,2068,48.164
medium_variant,908,2069,47.889
medium_variant,908,2070,47.667
medium_variant,908,2071,47.388
medium_variant,908,2072,47.183
