country,variant,year,oldagedependencyratio2569
600,estimates,1950,5.26699013758418
600,estimates,1955,5.42741510022947
600,estimates,1960,5.75597793164542
600,estimates,1965,6.04404724089479
600,estimates,1970,6.28422447878661
600,estimates,1975,6.45526224838302
600,estimates,1980,6.51151582290432
600,estimates,1985,6.59583203845395
600,estimates,1990,6.72578876031746
600,estimates,1995,6.99336238892397
600,estimates,2000,7.48939591899287
600,estimates,2005,7.54292115358196
600,estimates,2010,7.968283233103
600,constantfertility,2015,8.34973260733526
600,constantmortality,2015,8.34973260733526
600,estimates,2015,8.34973260733526
600,highvariant,2015,8.34973260733526
600,instantreplacement,2015,8.34973260733526
600,lowvariant,2015,8.34973260733526
600,mediumvariant,2015,8.34973260733526
600,nochange,2015,8.34973260733526
600,zeromigration,2015,8.34973260733526
600,constantfertility,2020,9.03642925278778
600,constantmortality,2020,8.99454296408611
600,highvariant,2020,9.03642925278778
600,instantreplacement,2020,9.03642925278778
600,lowvariant,2020,9.03642925278778
600,mediumvariant,2020,9.03642925278778
600,nochange,2020,8.99454296408611
600,zeromigration,2020,8.87204363667723
600,constantfertility,2025,10.1140478654792
600,constantmortality,2025,10.0104340478785
600,highvariant,2025,10.1140478654792
600,instantreplacement,2025,10.1140478654792
600,lowvariant,2025,10.1140478654792
600,mediumvariant,2025,10.1140478654792
600,nochange,2025,10.0104340478785
600,zeromigration,2025,9.78764265632823
600,constantfertility,2030,11.1638176031533
600,constantmortality,2030,10.9692001030872
600,highvariant,2030,11.1638176031533
600,instantreplacement,2030,11.1638176031533
600,lowvariant,2030,11.1638176031533
600,mediumvariant,2030,11.1638176031533
600,nochange,2030,10.9692001030872
600,zeromigration,2030,10.7003521462867
600,constantfertility,2035,12.067947323754
600,constantmortality,2035,11.755563024152
600,highvariant,2035,12.067947323754
600,instantreplacement,2035,12.067947323754
600,lowvariant,2035,12.067947323754
600,mediumvariant,2035,12.067947323754
600,nochange,2035,11.755563024152
600,zeromigration,2035,11.529483132044
600,constantfertility,2040,12.8462396821307
600,constantmortality,2040,12.385075843646
600,highvariant,2040,12.8462396821307
600,instantreplacement,2040,12.8462396821307
600,lowvariant,2040,12.8462396821307
600,mediumvariant,2040,12.8462396821307
600,nochange,2040,12.385075843646
600,zeromigration,2040,12.3376060293145
600,constantfertility,2045,13.2943481398318
600,constantmortality,2045,12.7721841147563
600,highvariant,2045,13.2145569511155
600,instantreplacement,2045,13.6298756415689
600,lowvariant,2045,13.5942525805349
600,mediumvariant,2045,13.4017228245042
600,nochange,2045,12.6692909773339
600,zeromigration,2045,12.9971482787413
600,constantfertility,2050,14.500445750499
600,constantmortality,2050,13.9838598146479
600,highvariant,2050,14.3122339450602
600,instantreplacement,2050,15.2342144772336
600,lowvariant,2050,15.3945715967327
600,mediumvariant,2050,14.833688766093
600,nochange,2050,13.6677805580728
600,zeromigration,2050,14.4962685331726
600,constantfertility,2055,16.6829502181561
600,constantmortality,2055,16.2394778062898
600,highvariant,2055,16.3651941960725
600,instantreplacement,2055,17.9612084680846
600,lowvariant,2055,18.6111501322053
600,mediumvariant,2055,17.4160668198499
600,nochange,2055,15.5510717626419
600,zeromigration,2055,17.11960418179
600,constantfertility,2060,19.1804144184727
600,constantmortality,2060,18.9075323172193
600,highvariant,2060,18.7923966818126
600,instantreplacement,2060,21.1949757337168
600,lowvariant,2060,22.6428354547843
600,mediumvariant,2060,20.5419617619909
600,nochange,2060,17.6443838530782
600,zeromigration,2060,20.2682300103404
600,constantfertility,2065,21.4106032551357
600,constantmortality,2065,21.4348682955348
600,highvariant,2065,21.0230135935618
600,instantreplacement,2065,24.3961138728422
600,lowvariant,2065,27.0216083316338
600,mediumvariant,2065,23.6704998635366
600,nochange,2065,19.3708231470688
600,zeromigration,2065,23.4191437217432
600,constantfertility,2070,23.1445116059179
600,constantmortality,2070,23.6253740282617
600,highvariant,2070,22.8158552598798
600,instantreplacement,2070,27.3733584849151
600,lowvariant,2070,31.6624298267323
600,mediumvariant,2070,26.6009927372568
600,nochange,2070,20.5283348297142
600,zeromigration,2070,26.3532267931216
600,constantfertility,2075,23.5844023953883
600,constantmortality,2075,24.6143915094603
600,highvariant,2075,23.3695584339462
