continent,year,variant,freq,agebroad,percentagetotaldeaths
905,1950,estimates,5yearly,0_4,9.26159960269972
905,1950,estimates,5yearly,0_14,10.1857800975778
905,1950,estimates,5yearly,0_19,10.9366401037578
905,1950,estimates,5yearly,0_24,11.9829658090742
905,1950,estimates,5yearly,5_14,0.924180494878075
905,1950,estimates,5yearly,15plus,89.8142199024222
905,1950,estimates,5yearly,15_24,1.79718571149644
905,1950,estimates,5yearly,15_49,13.2540335418534
905,1950,estimates,5yearly,15_59,26.304620726574
905,1950,estimates,5yearly,15_64,35.8418561944191
905,1950,estimates,5yearly,20plus,89.0633598962422
905,1950,estimates,5yearly,20_64,35.0909961882392
905,1950,estimates,5yearly,20_69,46.5047249768544
905,1950,estimates,5yearly,25plus,88.0170341909258
905,1950,estimates,5yearly,25_69,45.458399271538
905,1950,estimates,5yearly,40plus,83.4035078049922
905,1950,estimates,5yearly,50plus,76.5601863605688
905,1950,estimates,5yearly,60plus,63.5095991758482
905,1950,estimates,5yearly,65plus,53.9723637080031
905,1950,estimates,5yearly,70plus,42.5586349193878
905,1950,estimates,5yearly,80plus,18.6198857703058
905,1950,estimates,5yearly,90plus,3.95022957928738
905,1955,estimates,5yearly,0_4,8.33845252964327
905,1955,estimates,5yearly,0_14,9.23627658792864
905,1955,estimates,5yearly,0_19,9.93999519698397
905,1955,estimates,5yearly,0_24,10.8061500536775
905,1955,estimates,5yearly,5_14,0.897824058285367
905,1955,estimates,5yearly,15plus,90.7637234120713
905,1955,estimates,5yearly,15_24,1.5698734657489
905,1955,estimates,5yearly,15_49,11.7880159267134
905,1955,estimates,5yearly,15_59,24.3633317140517
905,1955,estimates,5yearly,15_64,33.5553174760699
905,1955,estimates,5yearly,20plus,90.060004803016
905,1955,estimates,5yearly,20_64,32.8515988670146
905,1955,estimates,5yearly,20_69,44.2069047193471
905,1955,estimates,5yearly,25plus,89.1938499463225
905,1955,estimates,5yearly,25_69,43.3407498626535
905,1955,estimates,5yearly,40plus,85.282769344476
905,1955,estimates,5yearly,50plus,78.9757074853579
905,1955,estimates,5yearly,60plus,66.4003916980197
905,1955,estimates,5yearly,65plus,57.2084059360014
905,1955,estimates,5yearly,70plus,45.853100083669
905,1955,estimates,5yearly,80plus,20.5889725822352
905,1955,estimates,5yearly,90plus,3.72863178741281
905,1960,estimates,5yearly,0_4,6.83527771783949
905,1960,estimates,5yearly,0_14,7.7087873721983
905,1960,estimates,5yearly,0_19,8.4625895308085
905,1960,estimates,5yearly,0_24,9.33550064768857
905,1960,estimates,5yearly,5_14,0.873509654358809
905,1960,estimates,5yearly,15plus,92.2912126278017
905,1960,estimates,5yearly,15_24,1.62671327549027
905,1960,estimates,5yearly,15_49,11.3405200438535
905,1960,estimates,5yearly,15_59,23.6784571448687
905,1960,estimates,5yearly,15_64,32.8560250557933
905,1960,estimates,5yearly,20plus,91.5374104691915
905,1960,estimates,5yearly,20_64,32.1022228971831
905,1960,estimates,5yearly,20_69,43.0247913209225
905,1960,estimates,5yearly,25plus,90.6644993523115
905,1960,estimates,5yearly,25_69,42.1518802040424
905,1960,estimates,5yearly,40plus,87.1029578809176
905,1960,estimates,5yearly,50plus,80.9506925839482
905,1960,estimates,5yearly,60plus,68.612755482933
905,1960,estimates,5yearly,65plus,59.4351875720084
905,1960,estimates,5yearly,70plus,48.512619148269
905,1960,estimates,5yearly,80plus,22.716404522468
905,1960,estimates,5yearly,90plus,4.05338710837515
905,1965,estimates,5yearly,0_4,5.01053195612864
905,1965,estimates,5yearly,0_14,5.88049411061629
905,1965,estimates,5yearly,0_19,6.81308023889123
905,1965,estimates,5yearly,0_24,7.9316300002938
905,1965,estimates,5yearly,5_14,0.869962154487647
905,1965,estimates,5yearly,15plus,94.1195058893837
905,1965,estimates,5yearly,15_24,2.05113588967751
905,1965,estimates,5yearly,15_49,11.5993977744636
905,1965,estimates,5yearly,15_59,23.6967643083593
905,1965,estimates,5yearly,15_64,32.8839818380084
905,1965,estimates,5yearly,20plus,93.1869197611088
905,1965,estimates,5yearly,20_64,31.9513957097335
905,1965,estimates,5yearly,20_69,42.8136368544495
905,1965,estimates,5yearly,25plus,92.0683699997062
905,1965,estimates,5yearly,25_69,41.6950870930469
905,1965,estimates,5yearly,40plus,88.5810960621905
905,1965,estimates,5yearly,50plus,82.5201081149201
905,1965,estimates,5yearly,60plus,70.4227415810243
905,1965,estimates,5yearly,65plus,61.2355240513753
905,1965,estimates,5yearly,70plus,50.3732829066593
905,1965,estimates,5yearly,80plus,24.6111555696084
905,1965,estimates,5yearly,90plus,4.62378239165764
905,1970,estimates,5yearly,0_4,3.63078852569897
905,1970,estimates,5yearly,0_14,4.43181829655128
905,1970,estimates,5yearly,0_19,5.47289724292696
905,1970,estimates,5yearly,0_24,6.78833515024666
905,1970,estimates,5yearly,5_14,0.801029770852304
905,1970,estimates,5yearly,15plus,95.5681817034487
905,1970,estimates,5yearly,15_24,2.35651685369538
905,1970,estimates,5yearly,15_49,11.42361653225
905,1970,estimates,5yearly,15_59,23.1108346502398
905,1970,estimates,5yearly,15_64,31.9132404839681
905,1970,estimates,5yearly,20plus,94.5271027570731
905,1970,estimates,5yearly,20_64,30.8721615375924
905,1970,estimates,5yearly,20_69,41.7461514618236
905,1970,estimates,5yearly,25plus,93.2116648497533
905,1970,estimates,5yearly,25_69,40.4307135545039
905,1970,estimates,5yearly,40plus,89.6747830695436
905,1970,estimates,5yearly,50plus,84.1445651711987
905,1970,estimates,5yearly,60plus,72.4573470532089
905,1970,estimates,5yearly,65plus,63.6549412194807
905,1970,estimates,5yearly,70plus,52.7809512952495
905,1970,estimates,5yearly,80plus,26.9661879726487
905,1970,estimates,5yearly,90plus,5.49287915915509
905,1975,estimates,5yearly,0_4,2.88883860971066
905,1975,estimates,5yearly,0_14,3.53497653518146
905,1975,estimates,5yearly,0_19,4.53044862730116
905,1975,estimates,5yearly,0_24,5.91063988805877
905,1975,estimates,5yearly,5_14,0.646137925470803
905,1975,estimates,5yearly,15plus,96.4650234648186
905,1975,estimates,5yearly,15_24,2.3756633528773
905,1975,estimates,5yearly,15_49,10.6048739687488
905,1975,estimates,5yearly,15_59,21.5300675152514
905,1975,estimates,5yearly,15_64,30.0758700435729
905,1975,estimates,5yearly,20plus,95.4695513726988
905,1975,estimates,5yearly,20_64,29.0803979514532
905,1975,estimates,5yearly,20_69,39.8365947313809
905,1975,estimates,5yearly,25plus,94.0893601119412
905,1975,estimates,5yearly,25_69,38.4564034706233
905,1975,estimates,5yearly,40plus,90.4680909068149
905,1975,estimates,5yearly,50plus,85.8601494960697
905,1975,estimates,5yearly,60plus,74.9349559495671
905,1975,estimates,5yearly,65plus,66.3891534212457
905,1975,estimates,5yearly,70plus,55.6329566413179
905,1975,estimates,5yearly,80plus,29.6080480479367
905,1975,estimates,5yearly,90plus,6.91391040435896
905,1980,estimates,5yearly,0_4,2.3964285904489
905,1980,estimates,5yearly,0_14,2.88272647064567
905,1980,estimates,5yearly,0_19,3.66761819043612
905,1980,estimates,5yearly,0_24,4.88341170977815
905,1980,estimates,5yearly,5_14,0.486297880196767
905,1980,estimates,5yearly,15plus,97.1172735293543
905,1980,estimates,5yearly,15_24,2.00068523913248
905,1980,estimates,5yearly,15_49,9.68193187728894
905,1980,estimates,5yearly,15_59,19.2000454459114
905,1980,estimates,5yearly,15_64,27.3716552430557
905,1980,estimates,5yearly,20plus,96.3323818095639
905,1980,estimates,5yearly,20_64,26.5867635232653
905,1980,estimates,5yearly,20_69,37.1568878071815
905,1980,estimates,5yearly,25plus,95.1165882902219
905,1980,estimates,5yearly,25_69,35.9410942878395
905,1980,estimates,5yearly,40plus,91.3779697394139
905,1980,estimates,5yearly,50plus,87.4353416520654
905,1980,estimates,5yearly,60plus,77.917228083443
905,1980,estimates,5yearly,65plus,69.7456182862986
905,1980,estimates,5yearly,70plus,59.1754940023824
905,1980,estimates,5yearly,80plus,32.3207238681572
905,1980,estimates,5yearly,90plus,8.63051586435106
905,1985,estimates,5yearly,0_4,2.15986052622157
905,1985,estimates,5yearly,0_14,2.58502886966665
905,1985,estimates,5yearly,0_19,3.24422258216281
905,1985,estimates,5yearly,0_24,4.28667874017233
905,1985,estimates,5yearly,5_14,0.425168343445082
905,1985,estimates,5yearly,15plus,97.4149711303334
905,1985,estimates,5yearly,15_24,1.70164987050568
905,1985,estimates,5yearly,15_49,9.97024021902905
905,1985,estimates,5yearly,15_59,18.0340667157586
905,1985,estimates,5yearly,15_64,25.5049176625473
905,1985,estimates,5yearly,20plus,96.7557774178372
905,1985,estimates,5yearly,20_64,24.8457239500511
