global,year,variant,gender,freq,agebroad,percentagetotaldeaths
900,1950,estimates,female,5yearly,0_4,39.9684208219839
900,1950,estimates,male,5yearly,0_4,40.7639194880644
900,1950,estimates,female,5yearly,0_14,45.346034553399
900,1950,estimates,male,5yearly,0_14,46.0517873231173
900,1950,estimates,female,5yearly,0_19,47.4741099335304
900,1950,estimates,male,5yearly,0_19,48.3202357377491
900,1950,estimates,female,5yearly,0_24,49.9019157986227
900,1950,estimates,male,5yearly,0_24,50.9291643706026
900,1950,estimates,female,5yearly,5_14,5.37761373141502
900,1950,estimates,male,5yearly,5_14,5.2878678350529
900,1950,estimates,female,5yearly,15plus,54.653965446601
900,1950,estimates,male,5yearly,15plus,53.9482126768826
900,1950,estimates,female,5yearly,15_24,4.55588124522378
900,1950,estimates,male,5yearly,15_24,4.87737704748527
900,1950,estimates,female,5yearly,15_49,18.526607417049
900,1950,estimates,male,5yearly,15_49,19.2628026952622
900,1950,estimates,female,5yearly,15_59,25.6240032795622
900,1950,estimates,male,5yearly,15_59,28.1400774331545
900,1950,estimates,female,5yearly,15_64,30.5146841799016
900,1950,estimates,male,5yearly,15_64,33.6103520256472
900,1950,estimates,female,5yearly,20plus,52.5258900664695
900,1950,estimates,male,5yearly,20plus,51.6797642622509
900,1950,estimates,female,5yearly,20_64,28.3866087997701
900,1950,estimates,male,5yearly,20_64,31.3419036110154
900,1950,estimates,female,5yearly,20_69,34.0889555998728
900,1950,estimates,male,5yearly,20_69,37.1123883803361
900,1950,estimates,female,5yearly,25plus,50.0980842013772
900,1950,estimates,male,5yearly,25plus,49.0708356293974
900,1950,estimates,female,5yearly,25_69,31.6611497347806
900,1950,estimates,male,5yearly,25_69,34.5034597474826
900,1950,estimates,female,5yearly,40plus,42.2229390664314
900,1950,estimates,male,5yearly,40plus,41.4781464147173
900,1950,estimates,female,5yearly,50plus,36.127358029552
900,1950,estimates,male,5yearly,50plus,34.6854099816205
900,1950,estimates,female,5yearly,60plus,29.0299621670387
900,1950,estimates,male,5yearly,60plus,25.8081352437281
900,1950,estimates,female,5yearly,65plus,24.1392812666994
900,1950,estimates,male,5yearly,65plus,20.3378606512355
900,1950,estimates,female,5yearly,70plus,18.4369344665967
900,1950,estimates,male,5yearly,70plus,14.5673758819148
900,1950,estimates,female,5yearly,80plus,6.90635776141243
900,1950,estimates,male,5yearly,80plus,4.56597675892778
900,1950,estimates,female,5yearly,90plus,1.01400816730153
900,1950,estimates,male,5yearly,90plus,0.503405372836345
