region,year,variant,gender,freq,agebroad,percentagetotaldeaths
948,1950,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1950,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1950,estimates,female,5yearly,0_4,48.9343631887013
948,1950,estimates,male,5yearly,0_4,50.019736680678
948,1950,estimates,female,5yearly,0_14,55.6033461008095
948,1950,estimates,male,5yearly,0_14,55.9798814268463
948,1950,estimates,female,5yearly,0_19,58.2534632607171
948,1950,estimates,male,5yearly,0_19,58.5198679284255
948,1950,estimates,female,5yearly,0_24,61.2074065114623
948,1950,estimates,male,5yearly,0_24,61.5097456488586
948,1950,estimates,female,5yearly,5_14,6.66898291210826
948,1950,estimates,male,5yearly,5_14,5.96014474616836
948,1950,estimates,female,5yearly,15plus,44.3966538991905
948,1950,estimates,male,5yearly,15plus,44.0201185731537
948,1950,estimates,female,5yearly,15_24,5.6040604106528
948,1950,estimates,male,5yearly,15_24,5.52986422201225
948,1950,estimates,female,5yearly,15_49,20.2002910252511
948,1950,estimates,male,5yearly,15_49,20.0608715747831
948,1950,estimates,female,5yearly,15_59,26.3644169068382
948,1950,estimates,male,5yearly,15_59,26.8667541418093
948,1950,estimates,female,5yearly,15_64,29.912143671772
948,1950,estimates,male,5yearly,15_64,30.6093731655818
948,1950,estimates,female,5yearly,20plus,41.7465367392829
948,1950,estimates,male,5yearly,20plus,41.4801320715745
948,1950,estimates,female,5yearly,20_64,27.2620265118644
948,1950,estimates,male,5yearly,20_64,28.0693866640027
948,1950,estimates,female,5yearly,20_69,31.0286899711684
948,1950,estimates,male,5yearly,20_69,31.865375235363
948,1950,estimates,female,5yearly,25plus,38.7925934885377
948,1950,estimates,male,5yearly,25plus,38.4902543511414
948,1950,estimates,female,5yearly,25_69,28.0747467204231
948,1950,estimates,male,5yearly,25_69,28.8754975149299
948,1950,estimates,female,5yearly,40plus,29.9556103713599
948,1950,estimates,male,5yearly,40plus,30.0050042709247
948,1950,estimates,female,5yearly,50plus,24.1963628739394
948,1950,estimates,male,5yearly,50plus,23.9592469983706
948,1950,estimates,female,5yearly,60plus,18.0322369923523
948,1950,estimates,male,5yearly,60plus,17.1533644313444
948,1950,estimates,female,5yearly,65plus,14.4845102274185
948,1950,estimates,male,5yearly,65plus,13.4107454075719
948,1950,estimates,female,5yearly,70plus,10.7178467681146
948,1950,estimates,male,5yearly,70plus,9.6147568362115
948,1950,estimates,female,5yearly,80plus,3.80621527541271
948,1950,estimates,male,5yearly,80plus,3.08092448700833
948,1950,estimates,female,5yearly,90plus,0.549730527702725
948,1950,estimates,male,5yearly,90plus,0.335031080876033
948,1955,estimates,female,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1955,estimates,male,5yearly,"Region, subregion, country or area *","Less developed regions, excluding China"
948,1955,estimates,female,5yearly,0_4,49.2405994875734
948,1955,estimates,male,5yearly,0_4,50.6952089346499
948,1955,estimates,female,5yearly,0_14,55.8376046807277
948,1955,estimates,male,5yearly,0_14,56.5899330231049
948,1955,estimates,female,5yearly,0_19,58.2770737218596
948,1955,estimates,male,5yearly,0_19,58.9503094622378
948,1955,estimates,female,5yearly,0_24,61.0545041878751
948,1955,estimates,male,5yearly,0_24,61.7285680323876
948,1955,estimates,female,5yearly,5_14,6.59700519315425
948,1955,estimates,male,5yearly,5_14,5.89472408845497
948,1955,estimates,female,5yearly,15plus,44.1623953192724
948,1955,estimates,male,5yearly,15plus,43.4100669768951
948,1955,estimates,female,5yearly,15_24,5.21689950714748
948,1955,estimates,male,5yearly,15_24,5.13863500928272
948,1955,estimates,female,5yearly,15_49,19.4759845613086
948,1955,estimates,male,5yearly,15_49,19.1034986481332
948,1955,estimates,female,5yearly,15_59,25.7446891104911
948,1955,estimates,male,5yearly,15_59,26.0720966149875
948,1955,estimates,female,5yearly,15_64,29.3553531209226
948,1955,estimates,male,5yearly,15_64,29.9098471531625
