agebroad,gender,percentagetotalpopulation,continent,variant,year
0_1,female,6.344,935,estimates,1950
0_4,female,14.321,935,estimates,1950
0_14,female,36.221,935,estimates,1950
0_17,female,42.244,935,estimates,1950
0_19,female,46.054,935,estimates,1950
0_24,female,54.719,935,estimates,1950
3_4,female,5.151,935,estimates,1950
3_5,female,7.541,935,estimates,1950
3_6,female,9.844,935,estimates,1950
4_5,female,4.893,935,estimates,1950
4_6,female,7.197,935,estimates,1950
5_14,female,21.9,935,estimates,1950
5_10,female,13.438,935,estimates,1950
5_11,female,15.583,935,estimates,1950
6_9,female,8.9,935,estimates,1950
6_10,female,11.048,935,estimates,1950
6_11,female,13.193,935,estimates,1950
6_12,female,15.33,935,estimates,1950
7_10,female,8.744,935,estimates,1950
7_12,female,13.026,935,estimates,1950
11_16,female,12.51,935,estimates,1950
11_17,female,14.485,935,estimates,1950
11_18,female,16.416,935,estimates,1950
12_14,female,6.316,935,estimates,1950
12_16,female,10.365,935,estimates,1950
12_17,female,12.34,935,estimates,1950
12_18,female,14.27,935,estimates,1950
13_17,female,10.203,935,estimates,1950
13_18,female,12.133,935,estimates,1950
13_19,female,14.013,935,estimates,1950
15_17,female,6.023,935,estimates,1950
18_23,female,10.831,935,estimates,1950
15_24,female,18.499,935,estimates,1950
15_49,female,49.432,935,estimates,1950
15_59,female,56.555,935,estimates,1950
15_64,female,59.264,935,estimates,1950
20_64,female,49.431,935,estimates,1950
20_69,female,51.419,935,estimates,1950
25_49,female,30.933,935,estimates,1950
25_64,female,40.765,935,estimates,1950
25_69,female,42.753,935,estimates,1950
15plus,female,63.779,935,estimates,1950
16plus,female,61.741,935,estimates,1950
17plus,female,59.731,935,estimates,1950
18plus,female,57.756,935,estimates,1950
20plus,female,53.946,935,estimates,1950
21plus,female,52.117,935,estimates,1950
25plus,female,45.281,935,estimates,1950
50plus,female,14.347,935,estimates,1950
60plus,female,7.224,935,estimates,1950
65plus,female,4.515,935,estimates,1950
70plus,female,2.527,935,estimates,1950
75plus,female,1.209,935,estimates,1950
80plus,female,0.452,935,estimates,1950
85plus,female,0.128,935,estimates,1950
90plus,female,0.029,935,estimates,1950
total,female,100,935,estimates,1950
0_1,male,6.256,935,estimates,1950
0_4,male,14.238,935,estimates,1950
0_14,male,36.593,935,estimates,1950
0_17,male,42.719,935,estimates,1950
0_19,male,46.607,935,estimates,1950
0_24,male,55.543,935,estimates,1950
3_4,male,5.17,935,estimates,1950
3_5,male,7.587,935,estimates,1950
3_6,male,9.926,935,estimates,1950
4_5,male,4.937,935,estimates,1950
4_6,male,7.276,935,estimates,1950
5_14,male,22.355,935,estimates,1950
5_10,male,13.694,935,estimates,1950
5_11,male,15.893,935,estimates,1950
6_9,male,9.077,935,estimates,1950
6_10,male,11.277,935,estimates,1950
6_11,male,13.475,935,estimates,1950
6_12,male,15.664,935,estimates,1950
7_10,male,8.937,935,estimates,1950
7_12,male,13.324,935,estimates,1950
11_16,male,12.781,935,estimates,1950
11_17,male,14.787,935,estimates,1950
11_18,male,16.752,935,estimates,1950
12_14,male,6.462,935,estimates,1950
12_16,male,10.583,935,estimates,1950
12_17,male,12.588,935,estimates,1950
12_18,male,14.553,935,estimates,1950
13_17,male,10.399,935,estimates,1950
13_18,male,12.365,935,estimates,1950
13_19,male,14.288,935,estimates,1950
15_17,male,6.126,935,estimates,1950
18_23,male,11.14,935,estimates,1950
15_24,male,18.95,935,estimates,1950
15_49,male,50.3,935,estimates,1950
15_59,male,57.366,935,estimates,1950
15_64,male,59.837,935,estimates,1950
20_64,male,49.822,935,estimates,1950
20_69,male,51.506,935,estimates,1950
25_49,male,31.349,935,estimates,1950
25_64,male,40.886,935,estimates,1950
25_69,male,42.57,935,estimates,1950
15plus,male,63.407,935,estimates,1950
16plus,male,61.33,935,estimates,1950
17plus,male,59.287,935,estimates,1950
18plus,male,57.281,935,estimates,1950
20plus,male,53.393,935,estimates,1950
21plus,male,51.513,935,estimates,1950
25plus,male,44.457,935,estimates,1950
50plus,male,13.108,935,estimates,1950
60plus,male,6.042,935,estimates,1950
65plus,male,3.571,935,estimates,1950
70plus,male,1.887,935,estimates,1950
75plus,male,0.837,935,estimates,1950
80plus,male,0.279,935,estimates,1950
85plus,male,0.071,935,estimates,1950
90plus,male,0.014,935,estimates,1950
total,male,100,935,estimates,1950
0_1,female,6.697,935,estimates,1951
0_4,female,14.911,935,estimates,1951
0_14,female,36.643,935,estimates,1951
0_17,female,42.601,935,estimates,1951
0_19,female,46.401,935,estimates,1951
0_24,female,55.053,935,estimates,1951
3_4,female,5.29,935,estimates,1951
3_5,female,7.719,935,estimates,1951
