agebroad,percentagetotalpopulation,continent,variant,year
0_1,4.442,908,estimates,1950
0_4,9.413,908,estimates,1950
0_14,26.325,908,estimates,1950
0_17,31.425,908,estimates,1950
0_19,34.823,908,estimates,1950
0_24,43.8,908,estimates,1950
3_4,3.163,908,estimates,1950
3_5,4.637,908,estimates,1950
3_6,6.106,908,estimates,1950
4_5,3.002,908,estimates,1950
4_6,4.471,908,estimates,1950
5_14,16.911,908,estimates,1950
5_10,9.365,908,estimates,1950
5_11,11.227,908,estimates,1950
6_9,6.157,908,estimates,1950
6_10,7.89,908,estimates,1950
6_11,9.752,908,estimates,1950
6_12,11.689,908,estimates,1950
7_10,6.421,908,estimates,1950
7_12,10.22,908,estimates,1950
11_16,10.999,908,estimates,1950
11_17,12.647,908,estimates,1950
11_18,14.316,908,estimates,1950
12_14,5.684,908,estimates,1950
12_16,9.137,908,estimates,1950
12_17,10.784,908,estimates,1950
12_18,12.454,908,estimates,1950
13_17,8.848,908,estimates,1950
13_18,10.517,908,estimates,1950
13_19,12.245,908,estimates,1950
15_17,5.1,908,estimates,1950
18_23,10.619,908,estimates,1950
15_24,17.475,908,estimates,1950
15_49,51.966,908,estimates,1950
15_59,61.838,908,estimates,1950
15_64,65.713,908,estimates,1950
20_64,57.215,908,estimates,1950
20_69,60.353,908,estimates,1950
25_49,34.491,908,estimates,1950
25_64,48.238,908,estimates,1950
25_69,51.375,908,estimates,1950
15plus,73.675,908,estimates,1950
16plus,71.911,908,estimates,1950
17plus,70.223,908,estimates,1950
18plus,68.575,908,estimates,1950
20plus,65.177,908,estimates,1950
21plus,63.405,908,estimates,1950
25plus,56.2,908,estimates,1950
50plus,21.709,908,estimates,1950
60plus,11.837,908,estimates,1950
65plus,7.962,908,estimates,1950
70plus,4.825,908,estimates,1950
75plus,2.489,908,estimates,1950
80plus,1.027,908,estimates,1950
85plus,0.346,908,estimates,1950
90plus,0.082,908,estimates,1950
total,100,908,estimates,1950
0_1,4.445,908,estimates,1951
0_4,9.89,908,estimates,1951
0_14,26.316,908,estimates,1951
0_17,31.529,908,estimates,1951
0_19,34.797,908,estimates,1951
0_24,43.609,908,estimates,1951
3_4,3.438,908,estimates,1951
3_5,4.979,908,estimates,1951
3_6,6.459,908,estimates,1951
4_5,3.183,908,estimates,1951
4_6,4.663,908,estimates,1951
5_14,16.426,908,estimates,1951
5_10,9.077,908,estimates,1951
5_11,10.788,908,estimates,1951
6_9,5.928,908,estimates,1951
6_10,7.537,908,estimates,1951
6_11,9.248,908,estimates,1951
6_12,11.086,908,estimates,1951
7_10,6.057,908,estimates,1951
7_12,9.606,908,estimates,1951
