agebroad,gender,percentagetotalpopulation,global,variant,year
"Region, subregion, country or area *",female,WORLD,900,estimates,1950
0_1,female,5.817,900,estimates,1950
0_4,female,13.07,900,estimates,1950
0_14,female,33.448,900,estimates,1950
0_17,female,39.069,900,estimates,1950
0_19,female,42.683,900,estimates,1950
0_24,female,51.316,900,estimates,1950
3_4,female,4.68,900,estimates,1950
3_5,female,6.855,900,estimates,1950
3_6,female,8.958,900,estimates,1950
4_5,female,4.449,900,estimates,1950
4_6,female,6.552,900,estimates,1950
5_14,female,20.378,900,estimates,1950
5_10,female,12.377,900,estimates,1950
5_11,female,14.403,900,estimates,1950
6_9,female,8.193,900,estimates,1950
6_10,female,10.202,900,estimates,1950
6_11,female,12.228,900,estimates,1950
6_12,female,14.255,900,estimates,1950
7_10,female,8.099,900,estimates,1950
7_12,female,12.152,900,estimates,1950
11_16,female,11.783,900,estimates,1950
11_17,female,13.621,900,estimates,1950
11_18,female,15.437,900,estimates,1950
12_14,female,5.975,900,estimates,1950
12_16,female,9.757,900,estimates,1950
12_17,female,11.596,900,estimates,1950
12_18,female,13.411,900,estimates,1950
13_17,female,9.569,900,estimates,1950
13_18,female,11.384,900,estimates,1950
13_19,female,13.182,900,estimates,1950
15_17,female,5.621,900,estimates,1950
18_23,female,10.58,900,estimates,1950
15_24,female,17.868,900,estimates,1950
15_49,female,49.811,900,estimates,1950
15_59,female,57.786,900,estimates,1950
15_64,female,60.865,900,estimates,1950
20_64,female,51.631,900,estimates,1950
20_69,female,54.001,900,estimates,1950
25_49,female,31.943,900,estimates,1950
25_64,female,42.998,900,estimates,1950
25_69,female,45.368,900,estimates,1950
15plus,female,66.552,900,estimates,1950
16plus,female,64.642,900,estimates,1950
17plus,female,62.77,900,estimates,1950
18plus,female,60.931,900,estimates,1950
20plus,female,57.317,900,estimates,1950
21plus,female,55.54,900,estimates,1950
25plus,female,48.684,900,estimates,1950
50plus,female,16.741,900,estimates,1950
60plus,female,8.766,900,estimates,1950
65plus,female,5.687,900,estimates,1950
70plus,female,3.317,900,estimates,1950
75plus,female,1.676,900,estimates,1950
80plus,female,0.686,900,estimates,1950
85plus,female,0.234,900,estimates,1950
90plus,female,0.063,900,estimates,1950
total,female,100,900,estimates,1950
"Region, subregion, country or area *",male,WORLD,900,estimates,1950
0_1,male,6.037,900,estimates,1950
0_4,male,13.614,900,estimates,1950
0_14,male,35.068,900,estimates,1950
0_17,male,40.942,900,estimates,1950
0_19,male,44.706,900,estimates,1950
0_24,male,53.644,900,estimates,1950
3_4,male,4.896,900,estimates,1950
3_5,male,7.179,900,estimates,1950
3_6,male,9.391,900,estimates,1950
4_5,male,4.665,900,estimates,1950
4_6,male,6.878,900,estimates,1950
5_14,male,21.454,900,estimates,1950
5_10,male,13.033,900,estimates,1950
5_11,male,15.169,900,estimates,1950
6_9,male,8.631,900,estimates,1950
6_10,male,10.75,900,estimates,1950
6_11,male,12.886,900,estimates,1950
6_12,male,15.021,900,estimates,1950
7_10,male,8.538,900,estimates,1950
7_12,male,12.809,900,estimates,1950
11_16,male,12.377,900,estimates,1950
11_17,male,14.294,900,estimates,1950
11_18,male,16.185,900,estimates,1950
12_14,male,6.285,900,estimates,1950
12_16,male,10.241,900,estimates,1950
12_17,male,12.158,900,estimates,1950
12_18,male,14.049,900,estimates,1950
13_17,male,10.023,900,estimates,1950
13_18,male,11.914,900,estimates,1950
13_19,male,13.788,900,estimates,1950
15_17,male,5.874,900,estimates,1950
18_23,male,11.003,900,estimates,1950
15_24,male,18.576,900,estimates,1950
15_49,male,50.217,900,estimates,1950
15_59,male,57.745,900,estimates,1950
15_64,male,60.463,900,estimates,1950
20_64,male,50.825,900,estimates,1950
20_69,male,52.807,900,estimates,1950
25_49,male,31.641,900,estimates,1950
25_64,male,41.887,900,estimates,1950
25_69,male,43.869,900,estimates,1950
15plus,male,64.932,900,estimates,1950
16plus,male,62.931,900,estimates,1950
17plus,male,60.975,900,estimates,1950
18plus,male,59.058,900,estimates,1950
20plus,male,55.294,900,estimates,1950
21plus,male,53.442,900,estimates,1950
