region,year,variant,gender,agebroad,percentagetotalpopulation
923,1950,Estimates,female,total,100
923,1950,Estimates,male,total,100
923,1950,Estimates,female,0_1,4.70845854705981
923,1950,Estimates,male,0_1,5.97586246847474
923,1950,Estimates,female,0_4,9.09776164244834
923,1950,Estimates,male,0_4,11.4687055190635
923,1950,Estimates,female,0_14,25.760677820158
923,1950,Estimates,male,0_14,31.9849823697017
923,1950,Estimates,female,0_17,30.8595274726917
923,1950,Estimates,male,0_17,38.174753278617
923,1950,Estimates,female,0_19,34.3469116314772
923,1950,Estimates,male,0_19,42.2944962972516
923,1950,Estimates,female,0_24,44.4791692192584
923,1950,Estimates,male,0_24,53.6242079987181
923,1950,Estimates,female,3_4,2.69626323003806
923,1950,Estimates,male,3_4,3.36131765924699
923,1950,Estimates,female,3_5,3.90354661472995
923,1950,Estimates,male,3_5,4.85267604888334
923,1950,Estimates,female,3_6,5.1257629699994
923,1950,Estimates,male,3_6,6.35728369459399
923,1950,Estimates,female,4_5,2.47717706814181
923,1950,Estimates,male,4_5,3.0688167189715
923,1950,Estimates,female,4_6,3.69939342341125
923,1950,Estimates,male,4_6,4.57342436468214
923,1950,Estimates,female,5_10,8.47550176545624
923,1950,Estimates,male,5_10,10.4355820856184
923,1950,Estimates,female,5_11,10.4774465888432
923,1950,Estimates,male,5_11,12.9038491212498
923,1950,Estimates,female,5_14,16.6629161777097
923,1950,Estimates,male,5_14,20.5162768506383
923,1950,Estimates,female,6_9,5.50901451430981
923,1950,Estimates,male,6_9,6.77708448229068
923,1950,Estimates,female,6_10,7.26821838076435
923,1950,Estimates,male,6_10,8.94422369598201
923,1950,Estimates,female,6_11,9.27016320415128
923,1950,Estimates,male,6_11,11.4124907316135
923,1950,Estimates,female,6_12,11.4094903674218
923,1950,Estimates,male,6_12,14.0500311203809
923,1950,Estimates,female,7_10,6.04600202549491
923,1950,Estimates,male,7_10,7.43961605027137
923,1950,Estimates,female,7_12,10.1872740121524
923,1950,Estimates,male,7_12,12.5454234746703
923,1950,Estimates,female,11_16,11.680296503114
923,1950,Estimates,male,11_16,14.3380178888418
923,1950,Estimates,female,11_17,13.2862640647871
923,1950,Estimates,male,11_17,16.2704656739352
923,1950,Estimates,female,11_18,14.9576296439263
923,1950,Estimates,male,11_18,18.2576083539523
923,1950,Estimates,female,12_14,6.18546958886649
923,1950,Estimates,male,12_14,7.61242772938846
923,1950,Estimates,female,12_16,9.67835167972709
923,1950,Estimates,male,12_16,11.8697508532103
923,1950,Estimates,female,12_17,11.2843192414002
923,1950,Estimates,male,12_17,13.8021986383037
923,1950,Estimates,female,12_18,12.9556848205394
923,1950,Estimates,male,12_18,15.7893413183208
923,1950,Estimates,female,13_17,9.14499207812961
923,1950,Estimates,male,13_17,11.1646582495362
923,1950,Estimates,female,13_18,10.8163576572688
923,1950,Estimates,male,13_18,13.1518009295533
923,1950,Estimates,female,13_19,12.6323762369152
923,1950,Estimates,male,13_19,15.2844012681708
923,1950,Estimates,female,15plus,74.239322179842
923,1950,Estimates,male,15plus,68.0150176302983
923,1950,Estimates,female,15_17,5.09884965253366
923,1950,Estimates,male,15_17,6.18977090891525
923,1950,Estimates,female,15_24,18.7184913991004
923,1950,Estimates,male,15_24,21.6392256290163
923,1950,Estimates,female,15_49,54.5838423263001
923,1950,Estimates,male,15_49,53.102491490144
923,1950,Estimates,female,15_59,63.7608614253641
923,1950,Estimates,male,15_59,60.6034280746154
923,1950,Estimates,female,15_64,67.3097675100314
923,1950,Estimates,male,15_64,63.2968748228751
923,1950,Estimates,female,16plus,72.4203006804871
923,1950,Estimates,male,16plus,65.7913481225247
923,1950,Estimates,female,17plus,70.7464400889814
923,1950,Estimates,male,17plus,63.7576945064764
923,1950,Estimates,female,18plus,69.1404725273084
923,1950,Estimates,male,18plus,61.825246721383
923,1950,Estimates,female,18_23,11.6551550896719
923,1950,Estimates,male,18_23,13.3900145043051
923,1950,Estimates,female,20plus,65.6530883685228
923,1950,Estimates,male,20plus,57.7055037027484
923,1950,Estimates,female,20_64,58.7235336987122
923,1950,Estimates,male,20_64,52.9873608953253
923,1950,Estimates,female,20_69,61.5210840418119
923,1950,Estimates,male,20_69,55.0476869566656
923,1950,Estimates,female,21plus,63.7188353908913
923,1950,Estimates,male,21plus,55.4595353592479
923,1950,Estimates,female,25plus,55.5208307807417
923,1950,Estimates,male,25plus,46.3757920012819
923,1950,Estimates,female,25_49,35.8653509271997
923,1950,Estimates,male,25_49,31.4632658611277
923,1950,Estimates,female,25_64,48.5912761109311
923,1950,Estimates,male,25_64,41.6576491938588
923,1950,Estimates,female,25_69,51.3888264540307
923,1950,Estimates,male,25_69,43.7179752551991
923,1950,Estimates,female,50plus,19.655479853542
923,1950,Estimates,male,50plus,14.9125261401543
923,1950,Estimates,female,60plus,10.4784607544779
923,1950,Estimates,male,60plus,7.41158955568283
923,1950,Estimates,female,65plus,6.9295546698106
923,1950,Estimates,male,65plus,4.71814280742312
923,1950,Estimates,female,70plus,4.13200432671094
923,1950,Estimates,male,70plus,2.65781674608282
923,1950,Estimates,female,75plus,2.18524000815158
923,1950,Estimates,male,75plus,1.31135376604845
923,1950,Estimates,female,80plus,0.939334227799939
923,1950,Estimates,male,80plus,0.520458527002074
923,1955,Estimates,female,total,100
923,1955,Estimates,male,total,100
923,1955,Estimates,female,0_1,4.01092775707908
923,1955,Estimates,male,0_1,5.0265274443907
923,1955,Estimates,female,0_4,10.0943301221169
923,1955,Estimates,male,0_4,12.5825408978108
923,1955,Estimates,female,0_14,24.6885924969271
923,1955,Estimates,male,0_14,30.3136176277865
923,1955,Estimates,female,0_17,30.2397804118697
923,1955,Estimates,male,0_17,36.9478124774623
923,1955,Estimates,female,0_19,34.0321479181604
923,1955,Estimates,male,0_19,41.4755044858772
923,1955,Estimates,female,0_24,41.9835768885716
923,1955,Estimates,male,0_24,50.81461751797
923,1955,Estimates,female,3_4,4.01949419364592
923,1955,Estimates,male,3_4,4.98451620181264
923,1955,Estimates,female,3_5,5.91076304477042
923,1955,Estimates,male,3_5,7.31916889962301
923,1955,Estimates,female,3_6,7.69448154661756
923,1955,Estimates,male,3_6,9.51407447051282
923,1955,Estimates,female,4_5,3.87081163394544
923,1955,Estimates,male,4_5,4.78567793679384
923,1955,Estimates,female,4_6,5.65453013579257
923,1955,Estimates,male,4_6,6.98058350768365
923,1955,Estimates,female,5_10,9.62558904992343
923,1955,Estimates,male,5_10,11.7837731559326
923,1955,Estimates,female,5_11,10.787477616159
923,1955,Estimates,male,5_11,13.1808376285814
923,1955,Estimates,female,5_14,14.5942623748102
923,1955,Estimates,male,5_14,17.7310767299758
923,1955,Estimates,female,6_9,6.42566347713085
923,1955,Estimates,male,6_9,7.8654976019343
923,1955,Estimates,female,6_10,7.73432019879892
923,1955,Estimates,male,6_10,9.44912045812224
923,1955,Estimates,female,6_11,8.89620876503453
923,1955,Estimates,male,6_11,10.8461849307711
923,1955,Estimates,female,6_12,10.0152605037026
923,1955,Estimates,male,6_12,12.1845873013256
923,1955,Estimates,female,7_10,5.95060169695179
923,1955,Estimates,male,7_10,7.25421488723243
923,1955,Estimates,female,7_12,8.23154200185546
923,1955,Estimates,male,7_12,9.98968173043582
923,1955,Estimates,female,11_16,8.50796943737578
923,1955,Estimates,male,11_16,10.1779256787509
923,1955,Estimates,female,11_17,10.5198612398294
923,1955,Estimates,male,11_17,12.5814984237189
923,1955,Estimates,female,11_18,12.4895231265416
923,1955,Estimates,male,11_18,14.9339954980501
923,1955,Estimates,female,12_14,3.80678475865118
923,1955,Estimates,male,12_14,4.55023910139438
923,1955,Estimates,female,12_16,7.34608087114018
923,1955,Estimates,male,12_16,8.78086120610212
923,1955,Estimates,female,12_17,9.35797267359375
923,1955,Estimates,male,12_17,11.1844339510701
923,1955,Estimates,female,12_18,11.327634560306
923,1955,Estimates,male,12_18,13.5369310254013
923,1955,Estimates,female,13_17,8.23892093492568
923,1955,Estimates,male,13_17,9.84603158051554
923,1955,Estimates,female,13_18,10.2085828216379
923,1955,Estimates,male,13_18,12.1985286548468
923,1955,Estimates,female,13_19,12.0312884412164
923,1955,Estimates,male,13_19,14.3737235889305
923,1955,Estimates,female,15plus,75.3114075030728
923,1955,Estimates,male,15plus,69.6863823722134
923,1955,Estimates,female,15_17,5.55118791494258
