agebroad,gender,percentagetotalpopulation,region,variant,year
0,female,4.154,947,estimates,1950
0_1,female,7.301,947,estimates,1950
0_4,female,16.776,947,estimates,1950
0_14,female,41.312,947,estimates,1950
0_17,female,47.453,947,estimates,1950
0_19,female,51.282,947,estimates,1950
0_24,female,59.933,947,estimates,1950
3_4,female,6.143,947,estimates,1950
3_5,female,8.996,947,estimates,1950
3_6,female,11.728,947,estimates,1950
4_5,female,5.845,947,estimates,1950
4_6,female,8.576,947,estimates,1950
5_14,female,24.536,947,estimates,1950
5_10,female,15.581,947,estimates,1950
5_11,female,17.907,947,estimates,1950
6_9,female,10.344,947,estimates,1950
6_10,female,12.728,947,estimates,1950
6_11,female,15.054,947,estimates,1950
6_12,female,17.323,947,estimates,1950
7_10,female,9.997,947,estimates,1950
7_12,female,14.591,947,estimates,1950
11_16,female,13.099,947,estimates,1950
11_17,female,15.096,947,estimates,1950
11_18,female,17.038,947,estimates,1950
12_14,female,6.629,947,estimates,1950
12_16,female,10.773,947,estimates,1950
12_17,female,12.77,947,estimates,1950
12_18,female,14.713,947,estimates,1950
13_17,female,10.501,947,estimates,1950
13_18,female,12.444,947,estimates,1950
13_19,female,14.33,947,estimates,1950
15_17,female,6.141,947,estimates,1950
18_23,female,10.848,947,estimates,1950
15_24,female,18.621,947,estimates,1950
15_49,female,46.804,947,estimates,1950
15_59,female,52.961,947,estimates,1950
15_64,female,55.135,947,estimates,1950
20_64,female,45.164,947,estimates,1950
20_69,female,46.764,947,estimates,1950
25_49,female,28.183,947,estimates,1950
25_64,female,36.513,947,estimates,1950
25_69,female,38.112,947,estimates,1950
15plus,female,58.688,947,estimates,1950
16plus,female,56.592,947,estimates,1950
17plus,female,54.544,947,estimates,1950
18plus,female,52.547,947,estimates,1950
20plus,female,48.718,947,estimates,1950
21plus,female,46.886,947,estimates,1950
25plus,female,40.067,947,estimates,1950
50plus,female,11.884,947,estimates,1950
60plus,female,5.727,947,estimates,1950
65plus,female,3.553,947,estimates,1950
70plus,female,1.954,947,estimates,1950
75plus,female,0.903,947,estimates,1950
80plus,female,0.317,947,estimates,1950
85plus,female,0.079,947,estimates,1950
90plus,female,0.014,947,estimates,1950
total,female,100,947,estimates,1950
0,male,4.298,947,estimates,1950
0_1,male,7.52,947,estimates,1950
0_4,male,17.243,947,estimates,1950
0_14,male,42.271,947,estimates,1950
0_17,male,48.552,947,estimates,1950
0_19,male,52.479,947,estimates,1950
0_24,male,61.361,947,estimates,1950
3_4,male,6.299,947,estimates,1950
3_5,male,9.218,947,estimates,1950
3_6,male,12.009,947,estimates,1950
4_5,male,5.985,947,estimates,1950
4_6,male,8.776,947,estimates,1950
5_14,male,25.028,947,estimates,1950
5_10,male,15.903,947,estimates,1950
5_11,male,18.271,947,estimates,1950
6_9,male,10.556,947,estimates,1950
6_10,male,12.984,947,estimates,1950
6_11,male,15.352,947,estimates,1950
6_12,male,17.663,947,estimates,1950
7_10,male,10.193,947,estimates,1950
7_12,male,14.872,947,estimates,1950
11_16,male,13.36,947,estimates,1950
11_17,male,15.406,947,estimates,1950
11_18,male,17.398,947,estimates,1950
12_14,male,6.756,947,estimates,1950
12_16,male,10.992,947,estimates,1950
12_17,male,13.038,947,estimates,1950
12_18,male,15.03,947,estimates,1950
13_17,male,10.727,947,estimates,1950
13_18,male,12.719,947,estimates,1950
13_19,male,14.654,947,estimates,1950
15_17,male,6.282,947,estimates,1950
18_23,male,11.137,947,estimates,1950
15_24,male,19.091,947,estimates,1950
15_49,male,47.385,947,estimates,1950
15_59,male,52.998,947,estimates,1950
15_64,male,54.885,947,estimates,1950
20_64,male,44.677,947,estimates,1950
20_69,male,46.016,947,estimates,1950
25_49,male,28.294,947,estimates,1950
25_64,male,35.794,947,estimates,1950
25_69,male,37.134,947,estimates,1950
15plus,male,57.729,947,estimates,1950
16plus,male,55.588,947,estimates,1950
17plus,male,53.493,947,estimates,1950
18plus,male,51.448,947,estimates,1950
20plus,male,47.521,947,estimates,1950
21plus,male,45.64,947,estimates,1950
25plus,male,38.639,947,estimates,1950
50plus,male,10.345,947,estimates,1950
60plus,male,4.731,947,estimates,1950
65plus,male,2.844,947,estimates,1950
70plus,male,1.505,947,estimates,1950
75plus,male,0.656,947,estimates,1950
80plus,male,0.221,947,estimates,1950
85plus,male,0.049,947,estimates,1950
90plus,male,0.007,947,estimates,1950
total,male,100,947,estimates,1950
0,female,4.078,947,estimates,1951
0_1,female,7.341,947,estimates,1951
0_4,female,16.903,947,estimates,1951
0_14,female,41.525,947,estimates,1951
0_17,female,47.641,947,estimates,1951
0_19,female,51.465,947,estimates,1951
