agebroad,percentagetotalpopulation,region,variant,year
0,4.066,902,estimates,1950
0_1,6.558,902,estimates,1950
0_4,14.88,902,estimates,1950
0_14,37.622,902,estimates,1950
0_17,43.734,902,estimates,1950
0_19,47.59,902,estimates,1950
0_24,56.39,902,estimates,1950
3_4,5.382,902,estimates,1950
3_5,7.885,902,estimates,1950
3_6,10.298,902,estimates,1950
4_5,5.122,902,estimates,1950
4_6,7.535,902,estimates,1950
5_14,22.742,902,estimates,1950
5_10,14.036,902,estimates,1950
5_11,16.256,902,estimates,1950
6_9,9.302,902,estimates,1950
6_10,11.533,902,estimates,1950
6_11,13.753,902,estimates,1950
6_12,15.955,902,estimates,1950
7_10,9.12,902,estimates,1950
7_12,13.542,902,estimates,1950
11_16,12.821,902,estimates,1950
11_17,14.818,902,estimates,1950
11_18,16.77,902,estimates,1950
12_14,6.486,902,estimates,1950
12_16,10.601,902,estimates,1950
12_17,12.598,902,estimates,1950
12_18,14.55,902,estimates,1950
13_17,10.396,902,estimates,1950
13_18,12.348,902,estimates,1950
13_19,14.253,902,estimates,1950
15_17,6.112,902,estimates,1950
18_23,10.997,902,estimates,1950
15_24,18.768,902,estimates,1950
15_49,49.209,902,estimates,1950
15_59,56.063,902,estimates,1950
15_64,58.53,902,estimates,1950
20_64,48.561,902,estimates,1950
20_69,50.306,902,estimates,1950
25_49,30.44,902,estimates,1950
25_64,39.762,902,estimates,1950
25_69,41.506,902,estimates,1950
15plus,62.378,902,estimates,1950
16plus,60.302,902,estimates,1950
17plus,58.264,902,estimates,1950
18plus,56.266,902,estimates,1950
20plus,52.41,902,estimates,1950
21plus,50.553,902,estimates,1950
25plus,43.61,902,estimates,1950
50plus,13.17,902,estimates,1950
60plus,6.315,902,estimates,1950
65plus,3.848,902,estimates,1950
70plus,2.104,902,estimates,1950
75plus,0.984,902,estimates,1950
80plus,0.357,902,estimates,1950
85plus,0.104,902,estimates,1950
90plus,0.026,902,estimates,1950
total,100,902,estimates,1950
0,3.979,902,estimates,1951
0_1,6.895,902,estimates,1951
0_4,15.419,902,estimates,1951
0_14,38.019,902,estimates,1951
0_17,44.081,902,estimates,1951
0_19,47.92,902,estimates,1951
0_24,56.702,902,estimates,1951
3_4,5.5,902,estimates,1951
3_5,8.036,902,estimates,1951
3_6,10.465,902,estimates,1951
4_5,5.205,902,estimates,1951
4_6,7.634,902,estimates,1951
5_14,22.599,902,estimates,1951
5_10,14.015,902,estimates,1951
5_11,16.188,902,estimates,1951
6_9,9.284,902,estimates,1951
6_10,11.479,902,estimates,1951
6_11,13.651,902,estimates,1951
6_12,15.813,902,estimates,1951
7_10,9.05,902,estimates,1951
7_12,13.384,902,estimates,1951
11_16,12.665,902,estimates,1951
11_17,14.647,902,estimates,1951
11_18,16.588,902,estimates,1951
12_14,6.412,902,estimates,1951
12_16,10.492,902,estimates,1951
12_17,12.474,902,estimates,1951
12_18,14.416,902,estimates,1951
13_17,10.313,902,estimates,1951
13_18,12.254,902,estimates,1951
13_19,14.151,902,estimates,1951
15_17,6.063,902,estimates,1951
18_23,10.96,902,estimates,1951
15_24,18.683,902,estimates,1951
15_49,48.908,902,estimates,1951
15_59,55.712,902,estimates,1951
15_64,58.136,902,estimates,1951
20_64,48.235,902,estimates,1951
20_69,49.969,902,estimates,1951
25_49,30.225,902,estimates,1951
25_64,39.453,902,estimates,1951
25_69,41.187,902,estimates,1951
15plus,61.981,902,estimates,1951
16plus,59.921,902,estimates,1951
17plus,57.901,902,estimates,1951
18plus,55.919,902,estimates,1951
20plus,52.08,902,estimates,1951
21plus,50.23,902,estimates,1951
25plus,43.298,902,estimates,1951
50plus,13.073,902,estimates,1951
60plus,6.27,902,estimates,1951
65plus,3.845,902,estimates,1951
70plus,2.112,902,estimates,1951
75plus,1.003,902,estimates,1951
80plus,0.377,902,estimates,1951
85plus,0.111,902,estimates,1951
90plus,0.027,902,estimates,1951
total,100,902,estimates,1951
0,3.901,902,estimates,1952
0_1,7.261,902,estimates,1952
0_4,15.99,902,estimates,1952
0_14,38.475,902,estimates,1952
0_17,44.491,902,estimates,1952
0_19,48.301,902,estimates,1952
0_24,57.053,902,estimates,1952
3_4,5.622,902,estimates,1952
3_5,8.198,902,estimates,1952
3_6,10.652,902,estimates,1952
4_5,5.299,902,estimates,1952
4_6,7.753,902,estimates,1952
5_14,22.485,902,estimates,1952
5_10,14.047,902,estimates,1952
5_11,16.184,902,estimates,1952
6_9,9.301,902,estimates,1952
6_10,11.471,902,estimates,1952
6_11,13.608,902,estimates,1952
6_12,15.723,902,estimates,1952
7_10,9.017,902,estimates,1952
7_12,13.269,902,estimates,1952
11_16,12.491,902,estimates,1952
11_17,14.454,902,estimates,1952
11_18,16.379,902,estimates,1952
12_14,6.301,902,estimates,1952
12_16,10.354,902,estimates,1952
12_17,12.317,902,estimates,1952
12_18,14.243,902,estimates,1952
13_17,10.203,902,estimates,1952
13_18,12.128,902,estimates,1952
13_19,14.013,902,estimates,1952
15_17,6.016,902,estimates,1952
18_23,10.904,902,estimates,1952
15_24,18.578,902,estimates,1952
15_49,48.572,902,estimates,1952
15_59,55.331,902,estimates,1952
15_64,57.707,902,estimates,1952
20_64,47.88,902,estimates,1952
20_69,49.601,902,estimates,1952
25_49,29.994,902,estimates,1952
25_64,39.129,902,estimates,1952
25_69,40.85,902,estimates,1952
15plus,61.525,902,estimates,1952
16plus,59.476,902,estimates,1952
17plus,57.473,902,estimates,1952
18plus,55.509,902,estimates,1952
20plus,51.699,902,estimates,1952
21plus,49.857,902,estimates,1952
25plus,42.947,902,estimates,1952
50plus,12.954,902,estimates,1952
60plus,6.195,902,estimates,1952
65plus,3.819,902,estimates,1952
70plus,2.098,902,estimates,1952
75plus,1.004,902,estimates,1952
80plus,0.387,902,estimates,1952
85plus,0.115,902,estimates,1952
90plus,0.028,902,estimates,1952
total,100,902,estimates,1952
0,3.837,902,estimates,1953
0_1,7.409,902,estimates,1953
0_4,16.396,902,estimates,1953
0_14,38.849,902,estimates,1953
0_17,44.824,902,estimates,1953
0_19,48.608,902,estimates,1953
0_24,57.333,902,estimates,1953
3_4,5.749,902,estimates,1953
3_5,8.371,902,estimates,1953
3_6,10.86,902,estimates,1953
4_5,5.403,902,estimates,1953
4_6,7.892,902,estimates,1953
5_14,22.452,902,estimates,1953
5_10,14.146,902,estimates,1953
5_11,16.26,902,estimates,1953
6_9,9.367,902,estimates,1953
6_10,11.523,902,estimates,1953
6_11,13.637,902,estimates,1953
6_12,15.72,902,estimates,1953
7_10,9.035,902,estimates,1953
7_12,13.232,902,estimates,1953
11_16,12.331,902,estimates,1953
11_17,14.282,902,estimates,1953
11_18,16.193,902,estimates,1953
12_14,6.192,902,estimates,1953
12_16,10.217,902,estimates,1953
12_17,12.168,902,estimates,1953
12_18,14.079,902,estimates,1953
13_17,10.085,902,estimates,1953
13_18,11.996,902,estimates,1953
13_19,13.869,902,estimates,1953
15_17,5.975,902,estimates,1953
18_23,10.853,902,estimates,1953
15_24,18.485,902,estimates,1953
15_49,48.304,902,estimates,1953
15_59,55.041,902,estimates,1953
15_64,57.374,902,estimates,1953
20_64,47.615,902,estimates,1953
20_69,49.324,902,estimates,1953
25_49,29.819,902,estimates,1953
25_64,38.889,902,estimates,1953
25_69,40.599,902,estimates,1953
15plus,61.151,902,estimates,1953
16plus,59.122,902,estimates,1953
17plus,57.127,902,estimates,1953
18plus,55.176,902,estimates,1953
20plus,51.392,902,estimates,1953
21plus,49.559,902,estimates,1953
25plus,42.667,902,estimates,1953
50plus,12.847,902,estimates,1953
60plus,6.111,902,estimates,1953
65plus,3.777,902,estimates,1953
70plus,2.068,902,estimates,1953
75plus,0.988,902,estimates,1953
80plus,0.386,902,estimates,1953
85plus,0.114,902,estimates,1953
90plus,0.028,902,estimates,1953
total,100,902,estimates,1953
0,3.787,902,estimates,1954
0_1,7.444,902,estimates,1954
0_4,16.594,902,estimates,1954
0_14,39.108,902,estimates,1954
0_17,45.035,902,estimates,1954
0_19,48.801,902,estimates,1954
0_24,57.512,902,estimates,1954
3_4,5.872,902,estimates,1954
3_5,8.544,902,estimates,1954
3_6,11.074,902,estimates,1954
4_5,5.511,902,estimates,1954
4_6,8.041,902,estimates,1954
5_14,22.514,902,estimates,1954
5_10,14.301,902,estimates,1954
5_11,16.404,902,estimates,1954
6_9,9.472,902,estimates,1954
6_10,11.628,902,estimates,1954
6_11,13.732,902,estimates,1954
6_12,15.795,902,estimates,1954
7_10,9.099,902,estimates,1954
7_12,13.265,902,estimates,1954
11_16,12.194,902,estimates,1954
11_17,14.141,902,estimates,1954
11_18,16.043,902,estimates,1954
12_14,6.111,902,estimates,1954
12_16,10.091,902,estimates,1954
12_17,12.037,902,estimates,1954
12_18,13.94,902,estimates,1954
13_17,9.974,902,estimates,1954
13_18,11.877,902,estimates,1954
13_19,13.74,902,estimates,1954
15_17,5.927,902,estimates,1954
18_23,10.822,902,estimates,1954
15_24,18.404,902,estimates,1954
15_49,48.126,902,estimates,1954
15_59,54.863,902,estimates,1954
15_64,57.169,902,estimates,1954
20_64,47.476,902,estimates,1954
20_69,49.173,902,estimates,1954
25_49,29.722,902,estimates,1954
25_64,38.765,902,estimates,1954
25_69,40.462,902,estimates,1954
15plus,60.892,902,estimates,1954
16plus,58.892,902,estimates,1954
17plus,56.911,902,estimates,1954
18plus,54.965,902,estimates,1954
20plus,51.199,902,estimates,1954
21plus,49.373,902,estimates,1954
25plus,42.488,902,estimates,1954
50plus,12.766,902,estimates,1954
60plus,6.03,902,estimates,1954
65plus,3.723,902,estimates,1954
70plus,2.026,902,estimates,1954
75plus,0.957,902,estimates,1954
80plus,0.371,902,estimates,1954
85plus,0.108,902,estimates,1954
90plus,0.026,902,estimates,1954
total,100,902,estimates,1954
0,3.749,902,estimates,1955
0_1,7.381,902,estimates,1955
0_4,16.654,902,estimates,1955
0_14,39.295,902,estimates,1955
0_17,45.154,902,estimates,1955
0_19,48.915,902,estimates,1955
0_24,57.618,902,estimates,1955
3_4,5.971,902,estimates,1955
3_5,8.688,902,estimates,1955
3_6,11.258,902,estimates,1955
4_5,5.606,902,estimates,1955
4_6,8.176,902,estimates,1955
5_14,22.641,902,estimates,1955
5_10,14.477,902,estimates,1955
5_11,16.581,902,estimates,1955
6_9,9.591,902,estimates,1955
6_10,11.759,902,estimates,1955
6_11,13.863,902,estimates,1955
6_12,15.917,902,estimates,1955
7_10,9.189,902,estimates,1955
7_12,13.347,902,estimates,1955
11_16,12.088,902,estimates,1955
11_17,14.023,902,estimates,1955
11_18,15.925,902,estimates,1955
12_14,6.06,902,estimates,1955
