continent,year,variant,gender,age1yearinterval,population
908,1950,estimates,female,"Region, subregion, country or area *",EUROPE
908,1950,estimates,male,"Region, subregion, country or area *",EUROPE
908,1950,estimates,female,0,6417.288
908,1950,estimates,male,0,6694.426
908,1950,estimates,female,1,5533.022
908,1950,estimates,male,1,5760.357
908,1950,estimates,female,2,4873.27
908,1950,estimates,male,2,5061.482
908,1950,estimates,female,3,4412.946
908,1950,estimates,male,3,4571.392
908,1950,estimates,female,4,4126.969
908,1950,estimates,male,4,4263.669
908,1950,estimates,female,5,3990.252
908,1950,estimates,male,5,4111.894
908,1950,estimates,female,6,3977.712
908,1950,estimates,male,6,4089.658
908,1950,estimates,female,7,4064.267
908,1950,estimates,male,7,4170.543
908,1950,estimates,female,8,4224.83
908,1950,estimates,male,8,4328.133
908,1950,estimates,female,9,4434.318
908,1950,estimates,male,9,4536.01
908,1950,estimates,female,10,4709.037
908,1950,estimates,male,10,4810.324
908,1950,estimates,female,11,5065.287
908,1950,estimates,male,11,5167.22
908,1950,estimates,female,12,5271.045
908,1950,estimates,male,12,5367.475
908,1950,estimates,female,13,5218.439
908,1950,estimates,male,13,5299.574
908,1950,estimates,female,14,5006.557
908,1950,estimates,male,14,5064.771
908,1950,estimates,female,15,4830.424
908,1950,estimates,male,15,4862.777
908,1950,estimates,female,16,4636.709
908,1950,estimates,male,16,4637.952
908,1950,estimates,female,17,4541.512
908,1950,estimates,male,17,4510.004
908,1950,estimates,female,18,4617.61
908,1950,estimates,male,18,4553.511
908,1950,estimates,female,19,4796.592
908,1950,estimates,male,19,4696.954
908,1950,estimates,female,20,4935.829
908,1950,estimates,male,20,4800.035
908,1950,estimates,female,21,5062.078
908,1950,estimates,male,21,4897.783
908,1950,estimates,female,22,5139.35
908,1950,estimates,male,22,4911.885
908,1950,estimates,female,23,5134.796
908,1950,estimates,male,23,4791.494
908,1950,estimates,female,24,5067.871
908,1950,estimates,male,24,4580.19
908,1950,estimates,female,25,5016.722
908,1950,estimates,male,25,4390.094
908,1950,estimates,female,26,4996.745
908,1950,estimates,male,26,4219.966
908,1950,estimates,female,27,4859.386
908,1950,estimates,male,27,3997.491
