continent,year,variant,age5yearinterval,population
905,1950,estimates,0_4,18882.286
905,1950,estimates,5_9,15108.637
905,1950,estimates,10_14,12705.622
905,1950,estimates,15_19,12301.109
905,1950,estimates,20_24,13365.38
905,1950,estimates,25_29,13991.143
905,1950,estimates,30_34,13181.927
905,1950,estimates,35_39,12532.678
905,1950,estimates,40_44,11528.801
905,1950,estimates,45_49,9225.469
905,1950,estimates,50_54,9294.675
905,1950,estimates,55_59,8208.688
905,1950,estimates,60_64,7188.694
905,1950,estimates,65_69,5904.576
905,1950,estimates,70_74,3844.566
905,1950,estimates,75_79,2400.521
905,1950,estimates,80plus,1950.096
905,1955,estimates,0_4,21222.197
905,1955,estimates,5_9,18950.726
905,1955,estimates,10_14,15336.369
905,1955,estimates,15_19,12546.977
905,1955,estimates,20_24,12037.075
905,1955,estimates,25_29,13455.99
905,1955,estimates,30_34,14075.345
905,1955,estimates,35_39,13213.304
905,1955,estimates,40_44,12421.501
905,1955,estimates,45_49,10898.846
905,1955,estimates,50_54,9632.148
905,1955,estimates,55_59,8713.252
905,1955,estimates,60_64,7798.97
905,1955,estimates,65_69,6427.863
905,1955,estimates,70_74,4618.19
905,1955,estimates,75_79,2869.148
905,1955,estimates,80plus,2383.664
905,1960,estimates,0_4,22981.338
905,1960,estimates,5_9,21339.611
905,1960,estimates,10_14,19099.715
905,1960,estimates,15_19,15108.85
905,1960,estimates,20_24,12724.423
905,1960,estimates,25_29,12666.175
905,1960,estimates,30_34,13706.095
905,1960,estimates,35_39,14149.245
905,1960,estimates,40_44,13098.003
905,1960,estimates,45_49,12281.091
905,1960,estimates,50_54,11203.108
905,1960,estimates,55_59,9225.316
905,1960,estimates,60_64,8178.914
905,1960,estimates,65_69,6882.122
905,1960,estimates,70_74,5135.363
905,1960,estimates,75_79,3533.053
905,1960,estimates,80plus,2854.439
905,1965,estimates,0_4,22053.328
905,1965,estimates,5_9,23156.5
905,1965,estimates,10_14,21509.413
905,1965,estimates,15_19,19131.35
905,1965,estimates,20_24,15307.065
905,1965,estimates,25_29,13072.849
905,1965,estimates,30_34,12869.078
905,1965,estimates,35_39,13710.804
905,1965,estimates,40_44,14037.32
905,1965,estimates,45_49,12858.902
905,1965,estimates,50_54,11859.906
905,1965,estimates,55_59,10829.836
