continent,year,variant,gender,agebroad,population
905,1950,estimates,female,total,85783.791
905,1950,estimates,male,total,85831.077
905,1950,estimates,female,0_1,3944.845
905,1950,estimates,male,0_1,4122.51
905,1950,estimates,female,0_4,9230.183
905,1950,estimates,male,0_4,9652.103
905,1950,estimates,female,0_14,22861.468
905,1950,estimates,male,0_14,23835.077
905,1950,estimates,female,0_17,26465.22
905,1950,estimates,male,0_17,27534.826
905,1950,estimates,female,0_19,28947.843
905,1950,estimates,male,0_19,30049.811
905,1950,estimates,female,0_24,35653.689
905,1950,estimates,male,0_24,36709.345
905,1950,estimates,female,3_4,3442.45
905,1950,estimates,male,3_4,3601.966
905,1950,estimates,female,3_5,5049.745
905,1950,estimates,male,3_5,5283.472
905,1950,estimates,female,3_6,6587.041
905,1950,estimates,male,3_6,6890.977
905,1950,estimates,female,4_5,3289.174
905,1950,estimates,male,4_5,3441.381
905,1950,estimates,female,4_6,4826.47
905,1950,estimates,male,4_6,5048.886
905,1950,estimates,female,5_10,8701.419
905,1950,estimates,male,5_10,9083.821
905,1950,estimates,female,5_11,9970.952
905,1950,estimates,male,5_11,10401.183
905,1950,estimates,female,5_14,13631.285
905,1950,estimates,male,5_14,14182.974
905,1950,estimates,female,6_9,5782.22
905,1950,estimates,male,6_9,6037.616
905,1950,estimates,female,6_10,7094.124
905,1950,estimates,male,6_10,7402.315
905,1950,estimates,female,6_11,8363.657
905,1950,estimates,male,6_11,8719.677
905,1950,estimates,female,6_12,9600.766
905,1950,estimates,male,6_12,10000.296
905,1950,estimates,female,7_10,5556.828
905,1950,estimates,male,7_10,5794.81
905,1950,estimates,female,7_12,8063.47
905,1950,estimates,male,7_12,8392.791
905,1950,estimates,female,11_16,7327.991
905,1950,estimates,male,11_16,7564.875
905,1950,estimates,female,11_17,8533.618
905,1950,estimates,male,11_17,8798.902
905,1950,estimates,female,11_18,9760.178
905,1950,estimates,male,11_18,10046.326
905,1950,estimates,female,12_14,3660.333
905,1950,estimates,male,12_14,3781.791
905,1950,estimates,female,12_16,6058.458
905,1950,estimates,male,12_16,6247.513
905,1950,estimates,female,12_17,7264.085
905,1950,estimates,male,12_17,7481.54
905,1950,estimates,female,12_18,8490.645
905,1950,estimates,male,12_18,8728.964
905,1950,estimates,female,13_17,6026.976
905,1950,estimates,male,13_17,6200.921
905,1950,estimates,female,13_18,7253.536
905,1950,estimates,male,13_18,7448.345
905,1950,estimates,female,13_19,8509.599
905,1950,estimates,male,13_19,8715.906
905,1950,estimates,female,15plus,62922.323
905,1950,estimates,male,15plus,61996
