agebroad,gender,population,continent,variant,year
0_1,female,11950.31,908,estimates,1950
0_4,female,25363.495,908,estimates,1950
0_14,female,71325.239,908,estimates,1950
0_17,female,85333.884,908,estimates,1950
0_19,female,94748.086,908,estimates,1950
0_24,female,120088.01,908,estimates,1950
3_4,female,8539.915,908,estimates,1950
3_5,female,12530.167,908,estimates,1950
3_6,female,16507.879,908,estimates,1950
4_5,female,8117.221,908,estimates,1950
4_6,female,12094.933,908,estimates,1950
5_14,female,45961.744,908,estimates,1950
5_10,female,25400.416,908,estimates,1950
5_11,female,30465.703,908,estimates,1950
6_9,female,16701.127,908,estimates,1950
6_10,female,21410.164,908,estimates,1950
6_11,female,26475.451,908,estimates,1950
6_12,female,31746.496,908,estimates,1950
7_10,female,17432.452,908,estimates,1950
7_12,female,27768.784,908,estimates,1950
11_16,female,30028.461,908,estimates,1950
11_17,female,34569.973,908,estimates,1950
11_18,female,39187.583,908,estimates,1950
12_14,female,15496.041,908,estimates,1950
12_16,female,24963.174,908,estimates,1950
12_17,female,29504.686,908,estimates,1950
12_18,female,34122.296,908,estimates,1950
13_17,female,24233.641,908,estimates,1950
13_18,female,28851.251,908,estimates,1950
13_19,female,33647.843,908,estimates,1950
15_17,female,14008.645,908,estimates,1950
18_23,female,29686.255,908,estimates,1950
15_24,female,48762.771,908,estimates,1950
15_49,female,152554.122,908,estimates,1950
15_59,female,183245.997,908,estimates,1950
15_64,female,195584.146,908,estimates,1950
20_64,female,172161.299,908,estimates,1950
20_69,female,182197.997,908,estimates,1950
25_49,female,103791.351,908,estimates,1950
25_64,female,146821.375,908,estimates,1950
25_69,female,156858.073,908,estimates,1950
15plus,female,221558.724,908,estimates,1950
16plus,female,216728.3,908,estimates,1950
17plus,female,212091.591,908,estimates,1950
18plus,female,207550.079,908,estimates,1950
20plus,female,198135.877,908,estimates,1950
21plus,female,193200.048,908,estimates,1950
25plus,female,172795.953,908,estimates,1950
50plus,female,69004.602,908,estimates,1950
60plus,female,38312.727,908,estimates,1950
65plus,female,25974.578,908,estimates,1950
70plus,female,15937.88,908,estimates,1950
75plus,female,8418.895,908,estimates,1950
80plus,female,3600.49,908,estimates,1950
85plus,female,1267.651,908,estimates,1950
90plus,female,317.674,908,estimates,1950
total,female,292883.963,908,estimates,1950
0_1,male,12454.783,908,estimates,1950
0_4,male,26351.326,908,estimates,1950
0_14,male,73296.928,908,estimates,1950
0_17,male,87307.661,908,estimates,1950
0_19,male,96558.126,908,estimates,1950
0_24,male,120539.513,908,estimates,1950
3_4,male,8835.061,908,estimates,1950
3_5,male,12946.955,908,estimates,1950
3_6,male,17036.613,908,estimates,1950
4_5,male,8375.563,908,estimates,1950
4_6,male,12465.221,908,estimates,1950
