agebroad,population,continent,variant,year
"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN,904,estimates,1950
0_1,11722.078,904,estimates,1950
0_4,27074.374,904,estimates,1950
0_14,67994.195,904,estimates,1950
0_17,78282.43,904,estimates,1950
0_19,84775.885,904,estimates,1950
0_24,99925.501,904,estimates,1950
3_4,9976.151,904,estimates,1950
3_5,14642.826,904,estimates,1950
3_6,19133.681,904,estimates,1950
4_5,9537.105,904,estimates,1950
4_6,14027.96,904,estimates,1950
5_14,40919.821,904,estimates,1950
5_10,25799.719,904,estimates,1950
5_11,29721.287,904,estimates,1950
6_9,17133.893,904,estimates,1950
6_10,21133.044,904,estimates,1950
6_11,25054.612,904,estimates,1950
6_12,28892.423,904,estimates,1950
7_10,16642.189,904,estimates,1950
7_12,24401.568,904,estimates,1950
11_16,22068.418,904,estimates,1950
11_17,25408.337,904,estimates,1950
11_18,28682.261,904,estimates,1950
12_14,11198.534,904,estimates,1950
12_16,18146.85,904,estimates,1950
12_17,21486.769,904,estimates,1950
12_18,24760.693,904,estimates,1950
13_17,17648.958,904,estimates,1950
13_18,20922.882,904,estimates,1950
13_19,24142.413,904,estimates,1950
15_17,10288.235,904,estimates,1950
18_23,18781.026,904,estimates,1950
15_24,31931.306,904,estimates,1950
15_49,80899.956,904,estimates,1950
15_59,91359.767,904,estimates,1950
15_64,94914.531,904,estimates,1950
20_64,78132.841,904,estimates,1950
20_69,80689.075,904,estimates,1950
25_49,48968.65,904,estimates,1950
25_64,62983.225,904,estimates,1950
25_69,65539.459,904,estimates,1950
15plus,100923.498,904,estimates,1950
16plus,97400.211,904,estimates,1950
17plus,93975.182,904,estimates,1950
18plus,90635.263,904,estimates,1950
20plus,84141.808,904,estimates,1950
21plus,80977.289,904,estimates,1950
25plus,68992.192,904,estimates,1950
50plus,20023.542,904,estimates,1950
60plus,9563.731,904,estimates,1950
65plus,6008.967,904,estimates,1950
70plus,3452.733,904,estimates,1950
75plus,1740.123,904,estimates,1950
80plus,753.736,904,estimates,1950
85plus,328.213,904,estimates,1950
90plus,128.633,904,estimates,1950
total,168917.693,904,estimates,1950
"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN,904,estimates,1951
0_1,12286.662,904,estimates,1951
0_4,28280.466,904,estimates,1951
0_14,70280.484,904,estimates,1951
0_17,80806.815,904,estimates,1951
0_19,87386.713,904,estimates,1951
0_24,102805.453,904,estimates,1951
3_4,10381.818,904,estimates,1951
3_5,15219.816,904,estimates,1951
3_6,19862.461,904,estimates,1951
4_5,9900.466,904,estimates,1951
4_6,14543.111,904,estimates,1951
5_14,42000.018,904,estimates,1951
5_10,26560.973,904,estimates,1951
5_11,30548.612,904,estimates,1951
6_9,17638.786,904,estimates,1951
6_10,21722.975,904,estimates,1951
6_11,25710.614,904,estimates,1951
6_12,29618.748,904,estimates,1951
7_10,17080.33,904,estimates,1951
7_12,24976.103,904,estimates,1951
11_16,22556.533,904,estimates,1951
11_17,25965.376,904,estimates,1951
11_18,29288.514,904,estimates,1951
12_14,11451.406,904,estimates,1951
12_16,18568.894,904,estimates,1951
12_17,21977.737,904,estimates,1951
12_18,25300.875,904,estimates,1951
13_17,18069.603,904,estimates,1951
13_18,21392.741,904,estimates,1951
13_19,24649.501,904,estimates,1951
15_17,10526.331,904,estimates,1951
18_23,19054.31,904,estimates,1951
15_24,32524.969,904,estimates,1951
15_49,82645.654,904,estimates,1951
15_59,93401.227,904,estimates,1951
15_64,97038.809,904,estimates,1951
20_64,79932.58,904,estimates,1951
20_69,82560.712,904,estimates,1951
25_49,50120.685,904,estimates,1951
