continent,year,variant,agebroad,population
909,1950,Estimates,total,12681.946
909,1950,Estimates,0_1,660.174
909,1950,Estimates,0_4,1535.43
909,1950,Estimates,0_14,3786.643
909,1950,Estimates,0_17,4356.072
909,1950,Estimates,0_19,4739.784
909,1950,Estimates,0_24,5756.954
909,1950,Estimates,3_4,569.228
909,1950,Estimates,3_5,834.508
909,1950,Estimates,3_6,1088.26
909,1950,Estimates,4_5,543.105
909,1950,Estimates,4_6,796.857
909,1950,Estimates,5_10,1438.671
909,1950,Estimates,5_11,1649.759
909,1950,Estimates,5_14,2251.213
909,1950,Estimates,6_9,955.815
909,1950,Estimates,6_10,1173.391
909,1950,Estimates,6_11,1384.479
909,1950,Estimates,6_12,1589.822
909,1950,Estimates,7_10,919.639
909,1950,Estimates,7_12,1336.07
909,1950,Estimates,11_16,1193.925
909,1950,Estimates,11_17,1381.971
909,1950,Estimates,11_18,1571.928
909,1950,Estimates,12_14,601.454
909,1950,Estimates,12_16,982.837
909,1950,Estimates,12_17,1170.883
909,1950,Estimates,12_18,1360.84
909,1950,Estimates,13_17,965.54
909,1950,Estimates,13_18,1155.497
909,1950,Estimates,13_19,1349.252
909,1950,Estimates,15plus,8895.303
909,1950,Estimates,15_17,569.429
909,1950,Estimates,15_24,1970.311
909,1950,Estimates,15_49,6315.285
909,1950,Estimates,15_59,7478.684
909,1950,Estimates,15_64,7961.492
909,1950,Estimates,16plus,8703.002
909,1950,Estimates,17plus,8513.92
909,1950,Estimates,18plus,8325.874
909,1950,Estimates,18_23,1194.316
909,1950,Estimates,20plus,7942.162
909,1950,Estimates,20_64,7008.351
909,1950,Estimates,20_69,7385.367
909,1950,Estimates,21plus,7744.584
909,1950,Estimates,25plus,6924.992
909,1950,Estimates,25_49,4344.974
909,1950,Estimates,25_64,5991.181
909,1950,Estimates,25_69,6368.197
909,1950,Estimates,50plus,2580.018
909,1950,Estimates,60plus,1416.619
909,1950,Estimates,65plus,933.811
909,1950,Estimates,70plus,556.795
909,1950,Estimates,75plus,291.737
909,1950,Estimates,80plus,131.272
909,1955,Estimates,total,14175.059
909,1955,Estimates,0_1,695.657
909,1955,Estimates,0_4,1729.658
909,1955,Estimates,0_14,4533.712
909,1955,Estimates,0_17,5181.415
909,1955,Estimates,0_19,5586.844
909,1955,Estimates,0_24,6573.87
909,1955,Estimates,3_4,685.258
909,1955,Estimates,3_5,1017.221
909,1955,Estimates,3_6,1339.652
909,1955,Estimates,4_5,671.732
909,1955,Estimates,4_6,994.163
909,1955,Estimates,5_10,1826.766
909,1955,Estimates,5_11,2087.156
909,1955,Estimates,5_14,2804.054
909,1955,Estimates,6_9,1220.767
909,1955,Estimates,6_10,1494.803
909,1955,Estimates,6_11,1755.193
909,1955,Estimates,6_12,2003.357
909,1955,Estimates,7_10,1172.372
909,1955,Estimates,7_12,1680.926
909,1955,Estimates,11_16,1415.492
909,1955,Estimates,11_17,1624.991
909,1955,Estimates,11_18,1829.59
909,1955,Estimates,12_14,716.898
909,1955,Estimates,12_16,1155.102
909,1955,Estimates,12_17,1364.601
909,1955,Estimates,12_18,1569.2
909,1955,Estimates,13_17,1116.437
909,1955,Estimates,13_18,1321.036
909,1955,Estimates,13_19,1521.866
909,1955,Estimates,15plus,9641.347
909,1955,Estimates,15_17,647.703
909,1955,Estimates,15_24,2040.158
909,1955,Estimates,15_49,6840.212
909,1955,Estimates,15_59,8089.016
909,1955,Estimates,15_64,8587.363
