continent,variant,gender,year,population
908,Estimates,female,1950,292734.982
908,Estimates,male,1950,256354.125
908,Estimates,female,1951,295086.852
908,Estimates,male,1951,259027.074
908,Estimates,female,1952,297626.643
908,Estimates,male,1952,261898.518
908,Estimates,female,1953,300279.634
908,Estimates,male,1953,264881.953
908,Estimates,female,1954,302988.746
908,Estimates,male,1954,267912.962
908,Estimates,female,1955,305714.534
908,Estimates,male,1955,270949.203
908,Estimates,female,1956,308436.079
908,Estimates,male,1956,273971.584
908,Estimates,female,1957,311150.099
908,Estimates,male,1957,276983.1
908,Estimates,female,1958,313868.301
908,Estimates,male,1958,280005.32
908,Estimates,female,1959,316612.958
908,Estimates,male,1959,283072.665
908,Estimates,female,1960,319403.636
908,Estimates,male,1960,286214.93
908,Estimates,female,1961,322243.086
908,Estimates,male,1961,289438.786
908,Estimates,female,1962,325104.817
908,Estimates,male,1962,292711.531
908,Estimates,female,1963,327927.843
908,Estimates,male,1963,295954.124
908,Estimates,female,1964,330631.677
908,Estimates,male,1964,299060.907
908,Estimates,female,1965,333160.535
908,Estimates,male,1965,301957.597
908,Estimates,female,1966,335485.491
908,Estimates,male,1966,304609.784
908,Estimates,female,1967,337626.201
908,Estimates,male,1967,307041.278
908,Estimates,female,1968,339635.602
908,Estimates,male,1968,309308.092
908,Estimates,female,1969,341592.776
908,Estimates,male,1969,311495.853
908,Estimates,female,1970,343554.522
908,Estimates,male,1970,313666.924
908,Estimates,female,1971,345538.565
908,Estimates,male,1971,315838.094
908,Estimates,female,1972,347525.417
908,Estimates,male,1972,317989.661
908,Estimates,female,1973,349490.171
908,Estimates,male,1973,320104.248
908,Estimates,female,1974,351393.151
908,Estimates,male,1974,322151.918
908,Estimates,female,1975,353206.226
908,Estimates,male,1975,324111.566
908,Estimates,female,1976,354924.368
908,Estimates,male,1976,325984.483
908,Estimates,female,1977,356560.291
908,Estimates,male,1977,327782.603
908,Estimates,female,1978,358124.632
908,Estimates,male,1978,329508.156
908,Estimates,female,1979,359633.971
908,Estimates,male,1979,331165.001
908,Estimates,female,1980,361101.028
908,Estimates,male,1980,332758.411
908,Estimates,female,1981,362523.532
908,Estimates,male,1981,334278.478
908,Estimates,female,1982,363898.437
908,Estimates,male,1982,335729.398
908,Estimates,female,1983,365236.385
908,Estimates,male,1983,337146.701
908,Estimates,female,1984,366550.615
908,Estimates,male,1984,338577.695
908,Estimates,female,1985,367847.81
908,Estimates,male,1985,340051.144
908,Estimates,female,1986,369129.999
908,Estimates,male,1986,341580.845
908,Estimates,female,1987,370385.917
908,Estimates,male,1987,343141.795
908,Estimates,female,1988,371591.682
908,Estimates,male,1988,344675.488
908,Estimates,female,1989,372715.102
908,Estimates,male,1989,346100.763
908,Estimates,female,1990,373730.03
908,Estimates,male,1990,347356.281
908,Estimates,female,1991,374643.025
908,Estimates,male,1991,348435.905
908,Estimates,female,1992,375454.24
908,Estimates,male,1992,349350.319
908,Estimates,female,1993,376125.418
908,Estimates,male,1993,350077.745
908,Estimates,female,1994,376608.449
908,Estimates,male,1994,350596.595
908,Estimates,female,1995,376877.756
908,Estimates,male,1995,350900.684
908,Estimates,female,1996,376914.762
908,Estimates,male,1996,350975.592
