continent,variant,year,population
905,estimates,1950,172602.624
905,estimates,1951,175069.6
905,estimates,1952,177873.957
905,estimates,1953,180940.689
905,estimates,1954,184201.252
905,estimates,1955,187593.528
905,estimates,1956,191061.864
905,estimates,1957,194557.057
905,estimates,1958,198036.251
905,estimates,1959,201462.9
905,estimates,1960,204806.567
905,estimates,1961,208042.55
905,estimates,1962,211151.75
905,estimates,1963,214120.517
905,estimates,1964,216940.935
905,estimates,1965,219611.692
905,estimates,1966,222121.858
905,estimates,1967,224480.144
905,estimates,1968,226731.322
905,estimates,1969,228937.026
905,estimates,1970,231144.706
905,estimates,1971,233371.459
905,estimates,1972,235615.13
905,estimates,1973,237880.386
905,estimates,1974,240166.138
905,estimates,1975,242471.964
905,estimates,1976,244806.858
905,estimates,1977,247177.281
905,estimates,1978,249575.805
905,estimates,1979,251990.474
905,estimates,1980,254413.646
905,estimates,1981,256844.077
905,estimates,1982,259288.526
905,estimates,1983,261756.859
905,estimates,1984,264262.669
905,estimates,1985,266816.288
905,estimates,1986,269426.276
905,estimates,1987,272092.914
905,estimates,1988,274808.654
905,estimates,1989,277561.437
905,estimates,1990,280345.44
905,estimates,1991,283142.82
905,estimates,1992,285962.467
905,estimates,1993,288855.675
905,estimates,1994,291892.257
905,estimates,1995,295113.733
905,estimates,1996,298550.675
905,estimates,1997,302165.132
905,estimates,1998,305846.481
905,estimates,1999,309442.255
905,estimates,2000,312845.026
905,estimates,2001,316004.041
905,estimates,2002,318955.126
905,estimates,2003,321783.263
905,estimates,2004,324616.926
905,estimates,2005,327545.823
905,estimates,2006,330601.133
905,estimates,2007,333743.187
905,estimates,2008,336906.35
905,estimates,2009,339993.501
905,estimates,2010,342936.927
905,estimates,2011,345716.402
905,estimates,2012,348362.053
905,estimates,2013,350917.629
905,estimates,2014,353448.548
905,constant_fertility,2015,356003.541
905,constant_mortality,2015,356003.541
905,estimates,2015,356003.541
905,high_variant,2015,356003.541
905,instant_replacement,2015,356003.541
905,low_variant,2015,356003.541
905,medium_variant,2015,356003.541
905,momentum,2015,356003.541
905,no_change,2015,356003.541
905,zero_migration,2015,356003.541
905,constant_fertility,2016,358581.003
905,constant_mortality,2016,358462.461
905,high_variant,2016,358936.701
905,instant_replacement,2016,358945.642
