country,year,variant,gender,age1yearinterval,population
332,1950,estimates,female,0,50.645
332,1950,estimates,male,0,51.586
332,1950,estimates,female,1,48.762
332,1950,estimates,male,1,49.633
332,1950,estimates,female,2,47.122
332,1950,estimates,male,2,47.926
332,1950,estimates,female,3,45.698
332,1950,estimates,male,3,46.435
332,1950,estimates,female,4,44.462
332,1950,estimates,male,4,45.133
332,1950,estimates,female,5,43.387
332,1950,estimates,male,5,43.991
332,1950,estimates,female,6,42.444
332,1950,estimates,male,6,42.979
332,1950,estimates,female,7,41.606
332,1950,estimates,male,7,42.069
332,1950,estimates,female,8,40.846
332,1950,estimates,male,8,41.233
332,1950,estimates,female,9,40.136
332,1950,estimates,male,9,40.44
332,1950,estimates,female,10,39.495
332,1950,estimates,male,10,39.711
332,1950,estimates,female,11,38.943
332,1950,estimates,male,11,39.064
332,1950,estimates,female,12,38.217
332,1950,estimates,male,12,38.231
332,1950,estimates,female,13,37.196
332,1950,estimates,male,13,37.089
332,1950,estimates,female,14,35.994
332,1950,estimates,male,14,35.751
332,1950,estimates,female,15,34.849
332,1950,estimates,male,15,34.47
332,1950,estimates,female,16,33.719
332,1950,estimates,male,16,33.209
332,1950,estimates,female,17,32.649
332,1950,estimates,male,17,31.973
332,1950,estimates,female,18,31.686
332,1950,estimates,male,18,30.792
332,1950,estimates,female,19,30.807
332,1950,estimates,male,19,29.665
332,1950,estimates,female,20,29.931
332,1950,estimates,male,20,28.552
332,1950,estimates,female,21,29.063
332,1950,estimates,male,21,27.445
332,1950,estimates,female,22,28.29
332,1950,estimates,male,22,26.486
332,1950,estimates,female,23,27.643
332,1950,estimates,male,23,25.735
332,1950,estimates,female,24,27.087
332,1950,estimates,male,24,25.132
332,1950,estimates,female,25,26.551
332,1950,estimates,male,25,24.553
332,1950,estimates,female,26,26.045
332,1950,estimates,male,26,24.019
332,1950,estimates,female,27,25.548
332,1950,estimates,male,27,23.501
332,1950,estimates,female,28,25.041
332,1950,estimates,male,28,22.974
332,1950,estimates,female,29,24.53
332,1950,estimates,male,29,22.449
332,1950,estimates,female,30,24.04
332,1950,estimates,male,30,21.96
332,1950,estimates,female,31,23.567
332,1950,estimates,male,31,21.493
332,1950,estimates,female,32,23.088
332,1950,estimates,male,32,21.049
332,1950,estimates,female,33,22.596
332,1950,estimates,male,33,20.627
332,1950,estimates,female,34,22.095
332,1950,estimates,male,34,20.218
332,1950,estimates,female,35,21.595
332,1950,estimates,male,35,19.815
332,1950,estimates,female,36,21.093
332,1950,estimates,male,36,19.423
332,1950,estimates,female,37,20.586
332,1950,estimates,male,37,18.99
332,1950,estimates,female,38,20.071
332,1950,estimates,male,38,18.489
332,1950,estimates,female,39,19.55
332,1950,estimates,male,39,17.946
332,1950,estimates,female,40,19.018
332,1950,estimates,male,40,17.402
332,1950,estimates,female,41,18.474
332,1950,estimates,male,41,16.841
332,1950,estimates,female,42,17.923
332,1950,estimates,male,42,16.311
332,1950,estimates,female,43,17.367
332,1950,estimates,male,43,15.838
332,1950,estimates,female,44,16.8
332,1950,estimates,male,44,15.394
332,1950,estimates,female,45,16.224
332,1950,estimates,male,45,14.93
332,1950,estimates,female,46,15.647
332,1950,estimates,male,46,14.465
332,1950,estimates,female,47,15.02
332,1950,estimates,male,47,13.935
332,1950,estimates,female,48,14.321
332,1950,estimates,male,48,13.307
332,1950,estimates,female,49,13.576
332,1950,estimates,male,49,12.615
332,1950,estimates,female,50,12.844
332,1950,estimates,male,50,11.937
332,1950,estimates,female,51,12.126
332,1950,estimates,male,51,11.272
332,1950,estimates,female,52,11.406
332,1950,estimates,male,52,10.584
332,1950,estimates,female,53,10.684
332,1950,estimates,male,53,9.87
332,1950,estimates,female,54,9.977
332,1950,estimates,male,54,9.152
