country,year,variant,age1yearinterval,population
214,1950,Estimates,0,103.458
214,1950,Estimates,1,94.227
214,1950,Estimates,2,86.518
214,1950,Estimates,3,80.178
214,1950,Estimates,4,75.063
214,1950,Estimates,5,71.027
214,1950,Estimates,6,67.919
214,1950,Estimates,7,65.595
214,1950,Estimates,8,63.907
214,1950,Estimates,9,62.704
214,1950,Estimates,10,62.001
214,1950,Estimates,11,61.808
214,1950,Estimates,12,61.186
214,1950,Estimates,13,59.676
214,1950,Estimates,14,57.6019999999999
214,1950,Estimates,15,55.7740000000001
214,1950,Estimates,16,54.0539999999999
214,1950,Estimates,17,52.2430000000002
214,1950,Estimates,18,50.325
214,1950,Estimates,19,48.346
214,1950,Estimates,20,46.3619999999999
214,1950,Estimates,21,44.3620000000001
214,1950,Estimates,22,42.46
214,1950,Estimates,23,40.713
214,1950,Estimates,24,39.085
214,1950,Estimates,25,37.4739999999999
214,1950,Estimates,26,35.9010000000001
214,1950,Estimates,27,34.395
214,1950,Estimates,28,32.9649999999999
214,1950,Estimates,29,31.6079999999999
214,1950,Estimates,30,30.3040000000001
214,1950,Estimates,31,29.0540000000001
214,1950,Estimates,32,27.8679999999999
214,1950,Estimates,33,26.7470000000001
214,1950,Estimates,34,25.6849999999999
214,1950,Estimates,35,24.672
214,1950,Estimates,36,23.7089999999998
214,1950,Estimates,37,22.7920000000001
214,1950,Estimates,38,21.924
214,1950,Estimates,39,21.0999999999999
214,1950,Estimates,40,20.3130000000001
214,1950,Estimates,41,19.5619999999999
214,1950,Estimates,42,18.8410000000001
214,1950,Estimates,43,18.1390000000001
214,1950,Estimates,44,17.4589999999998
214,1950,Estimates,45,16.8069999999998
214,1950,Estimates,46,16.1800000000003
214,1950,Estimates,47,15.5720000000001
214,1950,Estimates,48,14.9749999999999
214,1950,Estimates,49,14.3939999999998
214,1950,Estimates,50,13.8290000000002
214,1950,Estimates,51,13.2799999999997
214,1950,Estimates,52,12.7460000000001
214,1950,Estimates,53,12.2249999999999
214,1950,Estimates,54,11.7160000000003
214,1950,Estimates,55,11.2179999999998
214,1950,Estimates,56,10.732
214,1950,Estimates,57,10.2489999999998
214,1950,Estimates,58,9.77300000000014
214,1950,Estimates,59,9.30000000000018
214,1950,Estimates,60,8.83500000000004
214,1950,Estimates,61,8.37999999999965
214,1950,Estimates,62,7.92800000000034
214,1950,Estimates,63,7.47599999999966
214,1950,Estimates,64,7.02800000000025
214,1950,Estimates,65,6.58699999999999
214,1950,Estimates,66,6.1579999999999
214,1950,Estimates,67,5.73199999999997
214,1950,Estimates,68,5.30999999999995
214,1950,Estimates,69,4.89699999999993
214,1950,Estimates,70,4.49400000000014
214,1950,Estimates,71,4.10199999999986
214,1950,Estimates,72,3.72500000000036
214,1950,Estimates,73,3.35599999999977
214,1950,Estimates,74,3
214,1950,Estimates,75,2.66300000000001
214,1950,Estimates,76,2.33899999999994
214,1950,Estimates,77,2.04300000000012
214,1950,Estimates,78,1.78099999999995
214,1950,Estimates,79,1.54800000000023
214,1950,Estimates,80plus,7.16699999999975
214,1951,Estimates,0,109.1
214,1951,Estimates,1,100.66
214,1951,Estimates,2,92.19
214,1951,Estimates,3,85.056
214,1951,Estimates,4,79.1300000000001
214,1951,Estimates,5,74.29
214,1951,Estimates,6,70.4
214,1951,Estimates,7,67.324
214,1951,Estimates,8,64.995
214,1951,Estimates,9,63.314
214,1951,Estimates,10,62.1170000000001
214,1951,Estimates,11,61.361
214,1951,Estimates,12,61.064
214,1951,Estimates,13,60.375
214,1951,Estimates,14,58.864
214,1951,Estimates,15,56.8330000000001
214,1951,Estimates,16,55.0319999999999
214,1951,Estimates,17,53.3309999999999
214,1951,Estimates,18,51.5520000000001
214,1951,Estimates,19,49.683
214,1951,Estimates,20,47.7619999999999
214,1951,Estimates,21,45.838
214,1951,Estimates,22,43.9010000000001
214,1951,Estimates,23,42.0529999999999
214,1951,Estimates,24,40.346
214,1951,Estimates,25,38.748
214,1951,Estimates,26,37.1690000000001
214,1951,Estimates,27,35.624
214,1951,Estimates,28,34.1419999999998
214,1951,Estimates,29,32.7250000000001
214,1951,Estimates,30,31.376
214,1951,Estimates,31,30.076
214,1951,Estimates,32,28.828
214,1951,Estimates,33,27.644
214,1951,Estimates,34,26.528
214,1951,Estimates,35,25.47
214,1951,Estimates,36,24.461
214,1951,Estimates,37,23.5
214,1951,Estimates,38,22.5819999999999
214,1951,Estimates,39,21.712
214,1951,Estimates,40,20.8850000000002
214,1951,Estimates,41,20.0940000000001
214,1951,Estimates,42,19.3389999999999
214,1951,Estimates,43,18.6129999999998
214,1951,Estimates,44,17.9119999999998
214,1951,Estimates,45,17.2320000000004
214,1951,Estimates,46,16.5799999999999
214,1951,Estimates,47,15.953
214,1951,Estimates,48,15.3440000000001
214,1951,Estimates,49,14.7439999999997
214,1951,Estimates,50,14.1590000000001
214,1951,Estimates,51,13.5909999999999
214,1951,Estimates,52,13.0370000000003
214,1951,Estimates,53,12.4989999999998
214,1951,Estimates,54,11.9720000000002
214,1951,Estimates,55,11.4559999999997
214,1951,Estimates,56,10.9520000000002
214,1951,Estimates,57,10.46
214,1951,Estimates,58,9.9699999999998
214,1951,Estimates,59,9.48800000000028
214,1951,Estimates,60,9.00999999999976
214,1951,Estimates,61,8.53999999999996
214,1951,Estimates,62,8.07999999999993
214,1951,Estimates,63,7.62300000000005
214,1951,Estimates,64,7.16800000000012
214,1951,Estimates,65,6.71599999999989
214,1951,Estimates,66,6.27400000000034
214,1951,Estimates,67,5.84199999999964
214,1951,Estimates,68,5.41700000000037
214,1951,Estimates,69,4.99699999999984
214,1951,Estimates,70,4.58699999999999
214,1951,Estimates,71,4.19000000000005
214,1951,Estimates,72,3.80400000000009
214,1951,Estimates,73,3.43499999999995
214,1951,Estimates,74,3.07799999999997
214,1951,Estimates,75,2.73499999999967
214,1951,Estimates,76,2.41200000000026
214,1951,Estimates,77,2.10300000000007
214,1951,Estimates,78,1.82299999999987
214,1951,Estimates,79,1.58100000000013
214,1951,Estimates,80plus,7.56099999999998
214,1952,Estimates,0,114.553
214,1952,Estimates,1,104.595
214,1952,Estimates,2,98.045
214,1952,Estimates,3,90.319
214,1952,Estimates,4,83.745
214,1952,Estimates,5,78.2209999999999
214,1952,Estimates,6,73.647
214,1952,Estimates,7,69.898
214,1952,Estimates,8,66.846
214,1952,Estimates,9,64.509
214,1952,Estimates,10,62.832
214,1952,Estimates,11,61.6379999999999
214,1952,Estimates,12,60.828
214,1952,Estimates,13,60.4290000000001
214,1952,Estimates,14,59.6689999999999
214,1952,Estimates,15,58.1560000000002
214,1952,Estimates,16,56.165
214,1952,Estimates,17,54.3869999999999
214,1952,Estimates,18,52.702
214,1952,Estimates,19,50.953
214,1952,Estimates,20,49.1280000000002
214,1952,Estimates,21,47.2629999999999
214,1952,Estimates,22,45.394
214,1952,Estimates,23,43.5170000000001
214,1952,Estimates,24,41.72
214,1952,Estimates,25,40.049
214,1952,Estimates,26,38.48
214,1952,Estimates,27,36.9269999999999
214,1952,Estimates,28,35.4100000000001
214,1952,Estimates,29,33.9479999999999
214,1952,Estimates,30,32.5440000000001
214,1952,Estimates,31,31.1969999999999
214,1952,Estimates,32,29.9000000000001
214,1952,Estimates,33,28.653
214,1952,Estimates,34,27.4690000000001
214,1952,Estimates,35,26.3539999999998
214,1952,Estimates,36,25.3010000000002
214,1952,Estimates,37,24.2919999999999
214,1952,Estimates,38,23.3310000000001
214,1952,Estimates,39,22.413
214,1952,Estimates,40,21.538
214,1952,Estimates,41,20.7059999999997
214,1952,Estimates,42,19.9100000000003
214,1952,Estimates,43,19.1500000000001
214,1952,Estimates,44,18.4189999999999
214,1952,Estimates,45,17.7149999999997
214,1952,Estimates,46,17.0360000000001
214,1952,Estimates,47,16.3820000000001
214,1952,Estimates,48,15.7550000000001
214,1952,Estimates,49,15.143
214,1952,Estimates,50,14.5389999999998
214,1952,Estimates,51,13.9500000000003
214,1952,Estimates,52,13.375
214,1952,Estimates,53,12.819
214,1952,Estimates,54,12.2739999999999
214,1952,Estimates,55,11.7400000000002
214,1952,Estimates,56,11.2179999999998
214,1952,Estimates,57,10.7049999999999
214,1952,Estimates,58,10.2060000000001
214,1952,Estimates,59,9.71000000000004
214,1952,Estimates,60,9.2199999999998
214,1952,Estimates,61,8.73700000000008
214,1952,Estimates,62,8.26000000000022
214,1952,Estimates,63,7.79499999999962
214,1952,Estimates,64,7.33300000000008
214,1952,Estimates,65,6.87300000000005
214,1952,Estimates,66,6.41800000000012
214,1952,Estimates,67,5.971
214,1952,Estimates,68,5.53800000000001
214,1952,Estimates,69,5.11200000000008
214,1952,Estimates,70,4.69399999999996
214,1952,Estimates,71,4.28699999999981
214,1952,Estimates,72,3.89300000000003
214,1952,Estimates,73,3.51400000000012
214,1952,Estimates,74,3.15200000000004
214,1952,Estimates,75,2.80600000000004
214,1952,Estimates,76,2.47599999999966
214,1952,Estimates,77,2.16600000000017
214,1952,Estimates,78,1.87100000000009
214,1952,Estimates,79,1.60799999999972
214,1952,Estimates,80plus,7.81700000000009
214,1953,Estimates,0,119.725
214,1953,Estimates,1,109.794
214,1953,Estimates,2,101.046
214,1953,Estimates,3,95.573
214,1953,Estimates,4,88.578
214,1953,Estimates,5,82.555
214,1953,Estimates,6,77.427
214,1953,Estimates,7,73.11
214,1953,Estimates,8,69.496
214,1953,Estimates,9,66.465
214,1953,Estimates,10,64.115
214,1953,Estimates,11,62.4399999999999
214,1953,Estimates,12,61.2500000000001
214,1953,Estimates,13,60.383
214,1953,Estimates,14,59.8809999999999
214,1953,Estimates,15,59.05
214,1953,Estimates,16,57.5320000000002
214,1953,Estimates,17,55.577
214,1953,Estimates,18,53.8199999999999
214,1953,Estimates,19,52.1500000000001
214,1953,Estimates,20,50.4279999999999
214,1953,Estimates,21,48.644
214,1953,Estimates,22,46.8320000000001
214,1953,Estimates,23,45.0159999999998
214,1953,Estimates,24,43.1950000000002
214,1953,Estimates,25,41.4469999999999
214,1953,Estimates,26,39.8109999999999
214,1953,Estimates,27,38.2660000000001
214,1953,Estimates,28,36.74
214,1953,Estimates,29,35.2470000000001
214,1953,Estimates,30,33.8029999999999
214,1953,Estimates,31,32.4080000000001
214,1953,Estimates,32,31.0639999999999
214,1953,Estimates,33,29.769
214,1953,Estimates,34,28.5180000000003
214,1953,Estimates,35,27.3329999999996
214,1953,Estimates,36,26.2190000000001
214,1953,Estimates,37,25.1680000000001
214,1953,Estimates,38,24.1590000000001
214,1953,Estimates,39,23.1949999999997
214,1953,Estimates,40,22.2750000000001
214,1953,Estimates,41,21.3960000000002
214,1953,Estimates,42,20.558
214,1953,Estimates,43,19.7539999999999
214,1953,Estimates,44,18.9879999999998
214,1953,Estimates,45,18.2520000000004
214,1953,Estimates,46,17.5439999999999
214,1953,Estimates,47,16.864
214,1953,Estimates,48,16.2089999999998
214,1953,Estimates,49,15.5790000000002
